"AidData Project ID","gef_id","Agency","Lead agency","Secondary agency(ies)","Region","List of regions","Country","List of participating countries","Countries listed by Code (ISO 3166-1 alpha-2)","Focal Area","Focal Area single-letter-code","List of project's focal areas","Title(2)","GEF replenishment phase","Type acronym","Type","Status","Trust Fund acronym","Trust Fund","Executing partner / agency","Type of executing partner / agency","Type acronym of parent (or empty if standalone)","Category (empty: standalone, parent, child)","Biosafety project?","Targeted research project?","National Capacity Self Assessement (NCSA)?","National Adaptation Programme of Action (NAPA)?","isNonExpedited","National Portfolio Formulation Exercises (NPFE)?","National communications project?","Small Grants Programme (SGP)?","Sustainable Forest Management (SFM)?","Requires second review?","Primary GEFSEC Program Manager","ID of secondary GEFSEC Program Manager","UNDP Project ID","World Bank Project ID","GEF3 OP list","GEF4 SP list","GEF4 SP-ID list","GEF5 FA Objective list","Keyword ID list","Code of business plan allocation item","World Bank Trust Fund number","(Sum of all) Approved PPG(s)","Project Preparation Grant (PPG)","Project Development Facility block A (PDF-A)","Project Development Facility block B (PDF-B)","Project Development Facility block C (PDF-C)","Pre-Investment Facility (PRIF)","Agency fees paid separately for PPG","Agency fees paid separately for PDF-B","GEF Project Grant PIF stage","GEF Project Grant CEO approve stage","GEF Project Grant CEO endorse stage","Agency Fee PIF stage","Agency Fee CEO approve stage","Agency Fee CEO endorse stage","Cofinance PIF stage","Cofinance CEO approve stage","Cofinance CEO endorse stage","Date of receipt or first PMIS entry","PIF Clearance or PIF Approval Date","Expected date of entry into work program","Date of entry into work program","Date of project approval","Date of CEO approval (MSP / EA)","Date of CEO endorsement (FSP)","Date of dropping (before project approval)","Date of cancelation (after project approval)","Date of PIF rejection by CEO","Date of technical rejection by Program Manager","Date of rejection by CEO at CEO approve stage","Date of rejection by CEO at CEO endorse stage","Date of Parent / Program rejection by Council","Date of approval by Agency","Expected date of Grant signing","Actual date of Grant signing","Expected date of implementation start","Actual date of implementation start","Expected date of closure","Actual date of closure","Expected date of financial closure","Date of financial closure","Expected date of Internal Completion Report (ICR)","Date of Internal Completion Report (ICR)","Expected date of Parent endorsement by Council","Date of Parent endorsement by Council","Expected date of effectiveness","Date of effectiveness","Expected date of mid term review","Date of mid term review","GEFNewRegionList"
"906001152851","9391","IUCN","IUCN","","CEX","","Global","","1W","Multi Focal Area","M","M;B;C;L;I;","The Global Environmental Commons. Solutions for a Crowded Planet","GEF - 6","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","IUCN","GEF Agency","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Astrid Hillers","368377","","","","","","","","","","15000","15000","","","","","1350","","2000000","2000000","","180000","180000","","2330000","2330000","","17-Feb-16","","","","22-Feb-16","22-Feb-16","","","","","","","","","","","","","","","","","","","","","","","","","","CEX,"
"906001152853","9163","CI","CI","","CEX","","Global","","1W","Land Degradation","L","L","Enabling the use of Global Data Sources to assess and Monitor Land Degradation at Multiple Scales","GEF - 6","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ulrich Apel","349360","","","","","","","","","","2445","2445","","","","","220","","1828217","1828217","","164540","164540","","10002000","10002000","","18-Jun-15","","","","23-Nov-15","23-Nov-15","","","","","","","","","","","","","","","","","","","","","","","","","","CEX,"
"906001152855","5798","FAO","FAO","","AFR","","Regional","Morocco, Mauritania, Tunisia","00, MA, TN, MR","Land Degradation","L","L","Adaptive Management and Monitoring of the Maghreb's Oases Systems","GEF - 5","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","Associative Network for the Sustanable Dev of Oases, hosted and coordinated by the Center d'Actions et de Realisations Internationals - CARI., government of Tunisia and Morocco","Multilateral","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","","","","","","","LD-4; ","","","","100000","100000","","","","","9500","","1726484","1726484","","164016","164016","","4163890","6315000","","14-Apr-14","12-Jun-14","","","12-Jun-14","7-Jul-15","","","","","","","","","","","","","","","","","","","","","","","","","","AFR, REG,"
"906001152857","2373","IFAD","IFAD","","LAC","","Brazil","","BR","Land Degradation","L","L","Sustainable Land Management in the Semi-Arid Sertao","GEF - 3","FP","Full Size Project","Project Completion","GET","GEF Trust Fund","Ministry of Agrarian Development","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","","","-15-","","","","","","","300000","","","300000","","","","","5943000","","5943000","565000","","","9226000","","9201000","2-Oct-03","","1-Nov-04","19-Nov-04","19-Nov-04","","14-Dec-05","","","","","","","","31-Jan-06","","29-Dec-06","","4-Dec-07","30-Sep-13","30-Sep-13","","","","","","","","29-Dec-06","26-Oct-10","","LAC,"
"906001152859","3384","World Bank","World Bank","","AFR","","Nigeria","","NG","Land Degradation","L","L","SIP: Scaling up SLM Practice, Knowledge, and Coordination in Key Nigerian States","GEF - 4","FP","Full Size Project","Project Completion","GET","GEF Trust Fund","Federal Ministry of Agriculture�s National Food Reserve Agency ","Government","SIP","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jean-Marc Sinnassamy","","","","-15-","LD-2;LD-3;",";16;17;","","","","","200000","200000","","","","","","","6800000","","6800000","0","","","60000000","","99100000","6-Nov-07","22-Jan-08","","14-Jun-07","14-Jun-07","","3-May-10","","","","","","","","8-Jul-10","","","1-Jul-10","25-Nov-10","31-Dec-13","31-Dec-13","","","","","","","","","1-Jul-12","","AFR,"
"906001152861","4362","UNDP","UNDP","","AFR","","Kenya","","KE","Multi Focal Area","M","M;B;C;L;","Fifth Operational Phase of the GEF Small Grants Program in Kenya ","GEF - 5","FP","Full Size Project","Under Implmentation","GET","GEF Trust Fund","UNOPS","Multilateral","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Danielius Pivoriunas","","4520","","","","","BD-2; LD-1; LD-2; CD-5; IW-3; CD-2; CCM-3; CD-2; LD-2; CCM-3; ","","","","0","","","","","","","","5000000","","5000000","400000","","400000","5500000","","5500000","10-Sep-10","15-Feb-11","1-Mar-11","29-Mar-11","29-Mar-11","","28-Dec-11","","","","","","","","27-Feb-12","","","","26-Feb-12","29-Feb-16","","","","","","","","","","","","AFR,"
"906001152863","3490","UNDP","UNDP","","AFR","","Guinea","","GN","Land Degradation","L","L","LDC/SIDS Portfolio Project: Capacity Building to Combat Desertification and Land Degradation in Guinea","GEF - 3","MSP","Medium Size Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Agriculture, Livestock, Environment, Water and Forests","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3385","","-15-","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7-Mar-08","","","","7-Mar-08","","","","","","","","","","","","","AFR,"
"906001152865","3960","World Bank","World Bank","","AFR","","Regional","Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR","00, CM, CF, ZR, GQ, GA, CG","Multi Focal Area","M","M;L;M;","CBSP-Capacity Building for Regional Coordination of Sustainable Forest Management in the Congo Basin under the GEF Program for the Congo Basin","GEF - 4","MSP","Medium Size Project","Project Completion","GET","GEF Trust Fund","COMIFAC (Central African Forest Commission)","Multilateral","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jean-Marc Sinnassamy","298074","","","","BD-4;",";4;","","","","","50000","50000","","","","","5000","","815000","815000","","81500","81500","","1107750","3026000","","10-Apr-09","8-Jul-09","","","8-Jul-09","27-May-11","","","","","","","","","11-Jul-11","","","30-Jun-11","2-Aug-11","30-Jun-14","30-Jun-14","","","","","","","","","","","AFR, REG,"
"906001152867","3872","World Bank","World Bank","","AFR","AFR, AFR","Regional","Ethiopia, Kenya, Madagascar, Niger, Uganda, Congo DR","00, NE, ZR, ET, MG, KE, UG","Land Degradation","L","L","SIP: Monitoring Carbon and Environmental and Socio-Economic Co-Benefits of BioCF Projects in SSA ","GEF - 4","MSP","Medium Size Project","CEO Approved","GET","GEF Trust Fund","CCBA, WCS, CI, ICRISAT","NGO","SIP","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ulrich Apel","329964","","","","LD-3;LD-1;LD-2;",";17;15;16;","","","","","0","","","","","","","","915000","915000","","","","","12867500","10422000","","15-Jan-09","21-Jan-09","","","21-Jan-09","22-Jul-10","","","","","","","","","","","","30-Nov-10","","31-Mar-12","","","","","","","","","","30-Sep-11","","AFR, REG,"
"906001152869","3231","UNDP","UNDP","","ECA","","Regional","Kyrgyzstan, Kazakhstan, Tajikistan, Turkmenistan, Uzbekistan","00, KZ, KG, TM, UZ, TJ","Land Degradation","L","L","CACILM: Multicountry Capacity Building Project","GEF - 3","FP","Full Size Project","Project Completion","GET","GEF Trust Fund","UNDP","Multilateral","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","3790","","-15-","","","","","","","135000","135000","","","","","","","2865000","","2865000","","","","","","3311500","17-Sep-07","","","28-Aug-06","28-Aug-06","","23-Jun-09","","","","","","","","","","","30-Nov-09","10-Dec-09","1-Dec-12","1-Feb-13","","","31-Dec-13","","","","","","31-Dec-12","","ECA, REG,"
