AidData Project ID,round,gef_id,Agency,Lead agency,Secondary agency(ies),Region,List of regions,Country,List of participating countries,Countries listed by Code (ISO 3166-1 alpha-2),Focal Area,Focal Area single-letter-code,List of project's focal areas,GEF replenishment phase,Type acronym,Type,Status,Trust Fund acronym,Trust Fund,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",Biosafety project?,Targeted research project?,National Capacity Self Assessement (NCSA)?,National Adaptation Programme of Action (NAPA)?,isNonExpedited,National Portfolio Formulation Exercises (NPFE)?,National communications project?,Small Grants Programme (SGP)?,Sustainable Forest Management (SFM)?,Requires second review?,Primary GEFSEC Program Manager,ID of secondary GEFSEC Program Manager,UNDP Project ID,World Bank Project ID,GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,GEFNewRegionList,is_valid,project_id,project_title
906001223964,Programmatic,5452,World Bank,World Bank,,Asia,,China,,CN,International Waters,I,I,GEF - 5,FP,Full-Sized Project,CEO Endorsed,GET,GEF Trust Fund,,,PAS,Child,False,False,False,False,False,False,False,False,False,False,Christian Severin,439285.0,,127815.0,,,,IW-2; ,,,,0,,,,,,,,5100000.0,,5100000.0,408000.0,,408000.0,208200000.0,,208200000.0,10-Jun-13,,,9-Nov-11,9-Nov-11,,13-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,"Asia,",1,906001223964,Guangdong Agricultural Pollution Control 
906001223966,Programmatic,3267,World Bank,World Bank,,Asia,,Yemen,,YE,Climate Change,C,C,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,"Ministry of Agriculture, Government of Yemen",Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Saliha Dobardzic,,,103922.0,-SPA-,,,,,,,200000,200000.0,,,,,,,4000000.0,,4000000.0,420000.0,,420000.0,4080000.0,,31738000.0,24-Oct-06,2-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,28-Apr-10,,,,,,,,,,,31-Aug-10,28-Jun-10,5-Mar-15,,,,,,,,,,31-Aug-12,,"ECA,",1,906001223966,MENARID: Adaptation to Climate Change Using Agrobiodiversity Resources in the Rainfed Highlands of Yemen
906001223968,Programmatic,5221,World Bank,World Bank,,AFR,,Ghana,,GH,Multi Focal Area,M,M;B;C;L;M;,GEF - 5,FP,Full-Sized Project,CEO Endorsed,GET,GEF Trust Fund,National Government of Ghana,Government,PAS,Child,False,False,False,False,False,False,False,False,True,False,Jean-Marc Sinnassamy,186795.0,,,,,,BD-1; LD-3; CCM-5; SFM/REDD+-1; ,,,,0,,,,,,,,8750000.0,,8750000.0,700000.0,,700000.0,59500000.0,,59500000.0,12-Dec-12,,,26-May-11,26-May-11,,22-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,",1,906001223968,PSG-Additional financing - Sustainable Land and Water Management Project
906001223970,Programmatic,3837,World Bank,World Bank,,AFR,,Liberia,,LR,Biodiversity,B,B,GEF - 4,MSP,Medium-Sized Project,Under Implmentation,GET,GEF Trust Fund,Forestry Development Authority in collaboration with the Liberia Forestry Initiative,Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Charlotte Gobin,,,,-3-,,,,,,,0,,,,,,,,950000.0,950000.0,,95000.0,95000.0,,9168000.0,9288000.0,,24-Oct-08,17-Nov-08,,,17-Nov-08,22-Apr-10,,,,,,,,,,,,31-Jul-10,15-Mar-11,30-Jun-15,,,,,,,,,,31-Jul-12,,"AFR,",1,906001223970,SPWA-BD: Biodiversity Conservation through Expanding the Protected Area Network in Liberia (EXPAN)
906001223972,Programmatic,3575,UNDP,UNDP,,AFR,,Guinea-Bissau,,GW,Biodiversity,B,B,GEF - 4,MSP,Medium-Sized Project,Under Implmentation,GET,GEF Trust Fund,Institute for Protected Areas and Biodiversity (IBAP),Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Charlotte Gobin,,3650.0,,,BD-3;,;3;,,,,,50000,50000.0,,,,,,,950000.0,950000.0,,100000.0,100000.0,,3500000.0,3920000.0,,19-Dec-07,14-Jan-08,,,14-Jan-08,29-Apr-10,,,,,,,,,,,,30-Jun-10,9-Jul-10,30-Sep-14,,,,,,,,30-Nov-09,,30-Aug-12,,"AFR,",1,906001223972,SPWA-BD: Support for the Consolidation of a Protected Area System in Guinea-Bissau's Forest Belt
906001223974,Programmatic,5252,World Bank,World Bank,,AFR,,Niger,,NE,Multi Focal Area,M,M;B;C;L;M;,GEF - 5,FP,Full-Sized Project,CEO Endorsed,GET,GEF Trust Fund,Ministry of Agriculture,Government,PAS,Child,False,False,False,False,False,False,False,False,True,False,Jean-Marc Sinnassamy,353429.0,,132306.0,,,,LD-1; LD-3; BD-1; BD-2; SFM/REDD+-1; CCM-5; ,,,,0,,,,,,,,4518518.0,,4518518.0,361481.0,,361481.0,43652000.0,,43652000.0,10-Jan-13,,,26-May-11,26-May-11,,23-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,",1,906001223974,GGW: Third Phase of the Community Action Program
906001223976,Programmatic,3992,UNDP,UNDP,,Asia,,China,,CN,Biodiversity,B,B,GEF - 4,FP,Full-Sized Project,Under Implmentation,GET,GEF Trust Fund,"Qinghai Finance Bureau, Qinghai Provincial Government",Government,PAN,Child,False,False,False,False,False,False,False,False,False,True,Yoko Watanabe,226576.0,4179.0,,,BD-1;,;1;,,,,,100000,100000.0,,,,,10000.0,,5354545.0,,5354545.0,535455.0,,535454.0,18500000.0,,18349000.0,23-Apr-09,15-Oct-09,31-Mar-10,17-Mar-10,17-Mar-10,,5-Apr-12,,,,,,,,14-Sep-12,,,31-Jul-12,14-Sep-12,30-Nov-17,,,,,,,,,,30-Apr-15,,"Asia,",1,906001223976,CBPF: Strengthening the Effectiveness of the Protected Area System in Qinghai Province
906001223978,Programmatic,3706,UNDP,UNDP,,Asia,,China,,CN,Biodiversity,B,B,GEF - 4,MSP,Medium-Sized Project,Project Completion,GET,GEF Trust Fund,Ministry of Environmental Protection,Government,PAN,Child,False,False,False,False,False,False,False,False,False,False,Yoko Watanabe,,4187.0,,,BD-1;BD-2;,;1;2;,,,,,0,,,,,,,,909000.0,,,90900.0,,,1926200.0,,1926200.0,13-Jun-08,23-Jun-08,,,23-Jun-08,5-Sep-08,,,,,,,,,,,,,16-Dec-08,31-Oct-10,31-Oct-10,,,,,,,,,,,"Asia,",1,906001223978,CBPF: Emergency Biodiversity Conservation Measures for the Recovery and Reconstruction of Wenchuan Earthquake Hit Regions in Sichuan Province
906001223980,Programmatic,5186,World Bank,World Bank,,REG,"AFR, Asia",Regional,"Algeria, Egypt, Jordan, Morocco, Tunisia","00, DZ, EG, JO, MA, TN",Land Degradation,L,L,GEF - 5,MSP,Medium-Sized Project,Under Implmentation,GET,GEF Trust Fund,MENA Desert Ecosystems and Livelihoods Program MENA DELP,Government,PAS,Child,False,False,False,False,False,False,False,False,False,False,Mohamed Bakarr,,,130343.0,,,,LD-3; ,,,,0,,,,,,,,1000000.0,1000000.0,,80000.0,80000.0,,487500.0,487500.0,,18-Oct-12,,,,30-Nov-12,30-Nov-12,,,,,,,,,23-May-13,,,,10-Jun-13,31-Dec-17,,,,,,,,,,,,"AFR, ECA, REG,",1,906001223980,MENA: Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project
906001223982,Programmatic,9118,UNEP,UNEP,,AFR,,Regional,"Angola, Burkina Faso, Burundi, Benin, Botswana, Central African Republic, Congo, Cameroon, Cabo Verde, Djibouti, Algeria, Egypt, Eritrea, Ethiopia, Gabon, Ghana, Gambia, Guinea, Guinea-Bissau, Kenya, Comoros, Liberia, Lesotho, Libya, Morocco, Madagascar, Mali, Mauritania, Mauritius, Malawi, Mozambique, Namibia, Niger, Nigeria, Rwanda, Seychelles, Sudan, Senegal, Somalia, Swaziland, Chad, Togo, Tunisia, Tanzania, Uganda, South Africa, Zambia, Congo DR, Zimbabwe","00, DZ, AO, BJ, BW, BF, BI, CM, CV, CF, TD, KM, ZR, CG, DJ, ER, ET, EG, GA, GM, GH, GN, GW, KE, LS, LR, LY, MG, MW, ML, MR, MU, MZ, MA, NA, NE, NG, RW, SN, SC, SO, ZA, SD, SZ, TG, UG, TZ, TN, ZM, ZW",Biodiversity,B,B,GEF - 6,MSP,Medium-Sized Project,CEO Approved,GET,GEF Trust Fund,Country National Executinig Agencies,Multilateral,,,False,False,False,False,False,False,False,False,False,False,Jaime Cavelier,270938.0,,,,,,,,,,0,,,,,,,,1368550.0,1368550.0,,130012.0,130012.0,,1225000.0,1225000.0,,27-Apr-15,,,,18-May-15,18-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR, SIDS, REG,",1,906001223982,Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION
