GEF ID,List of project's focal areas,GEF Phase,Title,Project start date,Open-Ended Response,TE,PIR,Mid-term evaluation,CEO-endorsed/approved document,Open-Ended Response,Countries,Administrative regions/ counties/ provinces,Municipalities/ cities/ towns,Ecosystems/ ecological units/ sites at intervention level,Response,Please provide the document/s and page number/s where these maps or images can be found.,Response,Please include any notes or comments you may have on the availability of project location information in the documents.,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response
1275,M,GEF - 2,Community-based Integrated Ecosytem Management Program under the Community Action Program,12/11/2003,Regions: Agadez; Diffa; Dosso; Maradi; Tahoua; Tillabery; Zinder; Niamey,TE,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,M,GEF - 3,Nature Conservation and Flood Control in the Yangtze River Basin,1/1/2006,"The two demonstration sites selected (Baoxing and Laojunshan) represent different mixes of ecosystems and challenges to integrated management. Main vegetation types in the upper basin of the Yangtze River include subtropical evergreen broad-leafed forests, subtropical evergreen broad leafed and deciduous broad-leafed forests, subtropical coniferous forests, grass lands and wetlands. Main threats in the upper reach include habitat fragmentation, erosion of soil, loss of water retention capacity of vegetation and loss of wetlands. Baoxing and Laojunshan sites confront all of these threats, collectively. Besides, Baoxing is one of the regions with high precipitation and runoff in the upper basin, while Laojunshan site is one of the regions with high sediment contribution to the upper reach of the Yangtze River.",TE,,,CEO-endorsed/approved document,Demonstration site--IEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,M,GEF - 2,"Climate, Water and Agriculture:  Impacts on and Adaptation of Agro-Ecological Systems in Africa",9/12/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,M,GEF - 3,"Reducing Dependence on POPs and other Agro-Chemicals in the Senegal and Niger River Basins through Integrated Production, Pest and Pollution Management",4/23/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,M,GEF - 3,Rio de Janeiro Integrated Ecosystem Management in Production Landscapes of the North-Northwestern Fluminense,12/30/2005,"The project area, the North and Northwestern Fluminense (NNWF) administrative regions,  encompassing 22 municipalities covering an area of 15,000 km2 and with about 30,000 family farms,  had the largest stands of remaining Atlantic Forest in the State.  48 microcathments in 24 municipalities:  OURO and BONSUCESSO in PORCIÚNCULA; VARRE-SAI and INVERNO in VARRE-SAI; CONCEIÇÃO and BELA  VISTA E SÃO SEBASTIÃO in NATIVIDADE; CÓRREGO DO LAMBARI  and LIBERDADE in BOM JESUS DO ITABAPOANA; CÓRREGO DO MARAMBAIA (CAMPINHO)  and CUBATÃO in ITAPERUNA; JARARACA and RIBEIRÃO DO CAMPO II in LAJE DO MURIAÉ; MÉDIO RIBEIRÃO  DO BONITO and MÉDIO RIBEIRÃO SANTO ANTÔNIO in MIRACEMA; SANTA MARIA and CÓRREGO UBÁ in SÃO  JOSÉ DE UBÁ; RIBEIRÃO OURIVEIS A and RIBEIRÃO BOM JARDIM in SANTO ANTÔNIO DE PÁDUA; VALÃO  GRANDE II and VALÃO GRANDE I in CAMBUC; CÓRREGO MARIMBONDO and VALÃO CARQUEJA in ITALVA;  PITO ACESO and BARRA DO POMBA in APERIBÉ; VALÃO DO PAPAGAIO and CÓRREGO DAS AREIAS in  ITAOCARA; BREJO DA COBIÇA and FAZENDA TIPITI in SÃO FRANCISCO DO  ITABAPOANA; VALÃO DOS PIRES and VALÃO SÃO LUIS in CARDOSO MOREIRA; CÓRREGO VALÃO DOS  MILAGRES and CÓRREGO RIO DO COLÉGIO in SÃO FIDELIS; RIO URURAÍ and RIO PRETO in CAMPOS DOS  GOYTACAZES; CANAL DEGREDO and RIO DOCE in SÃO JOÃO DA BARRA; MÉDIO IMBÉ and SEDE in SANTA  MARIA MADALENA; BREJO PIEDADE and MORRO ALTO in QUISSAMÃ; CAIXA D’ÁGUA and BAIXO MACABÚ in  TRAJANO DE MORAIS; CÓRREGO SÃO DOMINGOS and RIO DO MEIO in CONCEIÇÃO DE MACABÚ; LAGOA  DE CARAPEBUS and CÓRREGO GRANDE in CARAPEBUS; RIO D’ANTAS and RIO DO LÍRIO in MACAÉ.  Micro-catchment Brejo da Cobiça – Municipality of São Francisco de Itabapoana, In this micro-catchment, sustainable  natural resources management practices were  implemented as follows: (i) 14 riparian forest recovery and conservation subprojects; (ii) 10 spring  protection subprojects; (iii) 4 pasture rotation subprojects; (iv) 3 crop rotation subprojects; and (v) 2  green/organic fertilizer subprojects.  Micro-catchment of Santa Maria/Cambiocó – Municipality of São José de Ubá ,",TE,,,,"microcatchment--IEM, sustainable agriculture, SLM,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,M,GEF - 3,Demonstrating the Development and Implementation of a Sustainable Island Resource Management Mechanism in a Small Island Developing State,8/27/2007,"TE pp.32-6 For information regarding demonstration project sites is as follows: ridge to reff co-management approach (south West region of Antigua), Tourism and waste watner(northwest coast)Codrington Lagoon(Barbuda National Park)",TE,,,,"protected area-sustainable Island Resource Management, integrated ecosystem management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,M,GEF - 3,Mount Kenya East Pilot Project for Natural Resource Management (MKEPP),8/8/2007,N/A,TE,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,M,GEF - 3,Prevention and Control of Dust and Sandstorms in Northeast Asia,12/11/2002,"(PIR 2006) Nine project sites have been identified. In addition to the four in PRC and the four in Mongolia, one joint  project across the borderline between PRC and Mongolia has been identified as a priority demonstration project",,PIR,,,demonstration project sites--to pilot and disseminate the best practices in addressing the causes of intensified DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,M,GEF - 3,"Renaturalization and Sustainable Management of Peatlands to Combat Land Degradation, Ensure Conservation of Globally Valuable Biodiversity, and Mitigate Climate Change",12/30/2005,Bartenikha   Dokudovskoe   Galoe   Miranka   Ladovo   Zhada   Grichino- Starobinskoe   Morochno   Osveyskoe   Obol   Bulev Mokh   Osinovskoe 1   Osinovskoe 2   Poplav Mokh   Shcherbinski Mokh   Zhadenovsky Mokh   ,TE,,,,peatland - renaturalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,M;C;I;,GEF - 4,Sustainable Management of the Water Resources of the la Plata Basin with Respect to the Effects of Climate Variability and Change,9/1/2010,"The project will be implemented in the La Plata Basin。    There are four project pilot sites under project component II (Pilot Demonstration Projects and scaling up strategy) (PD,p.38):    1. Pilot demonstration for the Biodiversity Conservation in the Regulated  Parana River. The experience to be gained will contribute to the strengthening of  integrated water resources management capacity in the Parana River basin, at the  confluence of the Parana and Paraguay Rivers and Saltos del Guayrá, where two of the  most important transboundary dams are located: Itaipu and Yacyretá.    2. Pilot demonstration for a Hydrological Alert System at the confluence  of the Paraguay and Parana Rivers. A monitoring and alert system for risk  management (prevention, contingency and rehabilitation) in the metropolitan axis of  Resistencia-Corrientes (Argentina) and Pilar (Paraguay) is envisioned.    3. Pilot demonstration to Resolve Water Use Conflicts in the Río  Cuareim/Quarai Basin.    4.Pilot demonstration to Erosion Control in the Pilcomayo River. This  project engages Bolivia/Argentina/Paraguay. The purpose is to generate local  management experience in reducing mining contamination and soil erosion, and  sedimentation and river system in the Pilcomayo River.",,,,CEO-endorsed/approved document,pilot projects within the project area: integrated water resource management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
