country_iso,mean,std,count
AFG,-102.120431569,182.635649358,4
AGO,-40.7159592472,11.552895479,3
ALB,250.477721478,,1
ARG,-152.85819479,332.292878555,25
ARM,120.179689349,166.73140906,44
AUS,183.484136802,,1
AZE,156.530479342,162.835255035,6
BDI,196.947426968,20.3522333355,15
BEN,-102.433838819,342.915065145,57
BFA,-138.303469066,271.745431855,18
BGD,-149.040619517,123.748985299,3
BGR,349.514950083,95.5107529186,69
BHS,-25.4799757651,0.0,8
BIH,246.91899676,164.466532171,8
BLR,202.350953204,194.429592817,15
BLZ,-65.3132618031,122.32750528,6
BOL,-0.979820550911,245.841265346,23
BRA,177.52052503,283.219431468,34
BTN,-223.202170934,254.591623874,3
BWA,-109.58854946,189.741964942,9
CAF,-19.6582852696,,1
CHL,149.538636064,114.61260472,7
CHN,74.3448586298,267.108113255,146
CIV,66.3471225388,108.884006442,4
CMR,167.346208937,432.850798844,17
COD,-55.8833296362,186.383112818,29
COG,-35.8322662671,23.9004649162,5
COL,-24.3457832335,186.281604054,48
CRI,-32.2665947647,145.722699493,2
CUB,146.456902478,196.927567955,8
CZE,37.9961194165,,1
DEU,152.517242639,,1
DJI,-39.2459677517,108.332677628,3
DOM,-85.0724604223,180.986382124,22
DZA,-55.7696274673,72.7019603605,9
ECU,71.8478032535,155.449711695,40
EGY,-36.1448514451,130.095257708,5
ERI,-89.870203115,276.493547613,9
ETH,-297.978436967,270.224566342,75
FRA,-163.267005636,283.182956026,4
GAB,-16.123181721,105.678951886,8
GEO,241.053587771,290.656362677,11
GHA,-65.5408558515,210.185112227,30
GIN,-185.446473802,60.4646548862,16
GMB,-183.188906162,51.3757741942,33
GNB,-291.862038272,102.828677803,12
GNQ,155.291430058,1.4639854775,4
GTM,-50.770809103,123.781545078,8
HND,5.80932913051,185.858099954,15
HRV,-47.1756302259,250.332458135,20
HTI,-150.530132084,196.974197291,8
HUN,152.517242639,,1
IDN,126.489669821,341.113343433,38
IND,-270.73089588,272.40476418,122
IRN,50.5013848025,131.972485528,54
ISR,-124.548089697,108.215191041,4
JAM,-51.3647653017,156.129047628,12
JOR,-70.2573525023,112.017269032,70
KAZ,215.760976314,300.649573135,29
KEN,-148.202606297,339.381969295,31
KGZ,209.554113726,227.092455473,32
KHM,-232.536965133,287.861926377,14
LAO,170.828760891,299.146893586,2
LBN,-674.724037349,,1
LBR,-206.378291732,391.953822711,2
LKA,-81.8992447115,431.849001508,15
LSO,-145.736913382,0.0,2
LTU,-270.045453406,286.453446608,2
LVA,396.456049036,,1
MAR,-6.98692439821,83.5599065935,41
MDA,152.517242639,,1
MDG,53.3498362065,208.794162027,21
MEX,-147.071237314,217.148491117,110
MKD,95.2566810277,80.9786628197,2
MLI,34.0470863182,127.403023493,58
MNE,114.98382866,137.752972459,7
MNG,147.801927761,124.797638224,9
MOZ,91.8501636248,245.067806021,10
MRT,142.658170282,85.171394152,18
MWI,205.354143014,172.182831142,3
MYS,242.169100948,490.356091272,10
NAM,-125.758585079,326.462577163,20
NER,-186.004305717,238.617810197,234
NGA,-165.688094582,235.103229215,66
NIC,310.970662961,114.258622586,7
NPL,-129.642645279,261.046053534,8
PAK,30.7152987766,169.478063585,21
PAN,-17.8763002185,94.8449893271,31
PER,-38.8667687067,264.614182173,26
PHL,-201.71752987,220.037159799,32
PNG,-142.129103183,0.0,3
PRY,157.219537,376.367183683,3
PSE,-227.510038817,,1
ROU,290.402181029,136.901724109,70
RUS,87.3103313507,302.765901258,59
RWA,114.22365201,114.134443739,7
SDN,56.9458665465,163.584236134,12
SEN,-37.860356775,139.593196651,80
SLE,-60.3608522235,,1
SLV,-160.038821707,0.0,3
SRB,274.225287189,105.011118993,22
SSD,53.6348073872,134.679902775,3
SUR,569.311301714,636.005966541,2
SVK,161.092790383,283.789206911,4
SWZ,476.669437124,424.167207664,6
TCD,-139.665172172,258.827849606,13
TGO,-71.1281141354,289.693590046,42
THA,-102.556631557,277.030763373,9
TJK,142.163888729,164.444489287,25
TKM,-66.8288862311,136.100953521,14
TUN,151.861396796,201.007861746,56
TUR,238.961394498,192.748340515,13
TZA,36.7978717118,174.893390896,25
UGA,-28.8598399678,240.154678186,37
UKR,-65.3136713009,202.397444158,2
URY,235.351475044,368.162160373,8
USA,219.877425515,,1
UZB,222.571410232,294.285064589,32
VEN,-121.252082395,222.482354507,3
VNM,-77.5120218835,336.393721636,46
ZAF,-192.611355491,285.319080555,21
ZMB,-23.7732315559,219.008409199,16
ZWE,-77.4377038374,186.792225963,6
