"AidData Project ID","round","gef_id","Agency","Lead agency","Secondary agency(ies)","Region","List of regions","Country","List of participating countries","Countries listed by Code (ISO 3166-1 alpha-2)","Focal Area","Focal Area single-letter-code","List of project's focal areas","GEF replenishment phase","Type acronym","Type","Status","Trust Fund acronym","Trust Fund","Executing partner / agency","Type of executing partner / agency","Type acronym of parent (or empty if standalone)","Category (empty: standalone, parent, child)","Biosafety project?","Targeted research project?","National Capacity Self Assessement (NCSA)?","National Adaptation Programme of Action (NAPA)?","isNonExpedited","National Portfolio Formulation Exercises (NPFE)?","National communications project?","Small Grants Programme (SGP)?","Sustainable Forest Management (SFM)?","Requires second review?","Primary GEFSEC Program Manager","ID of secondary GEFSEC Program Manager","UNDP Project ID","World Bank Project ID","GEF3 OP list","GEF4 SP list","GEF4 SP-ID list","GEF5 FA Objective list","Keyword ID list","Code of business plan allocation item","World Bank Trust Fund number","(Sum of all) Approved PPG(s)","Project Preparation Grant (PPG)","Project Development Facility block A (PDF-A)","Project Development Facility block B (PDF-B)","Project Development Facility block C (PDF-C)","Pre-Investment Facility (PRIF)","Agency fees paid separately for PPG","Agency fees paid separately for PDF-B","GEF Project Grant PIF stage","GEF Project Grant CEO approve stage","GEF Project Grant CEO endorse stage","Agency Fee PIF stage","Agency Fee CEO approve stage","Agency Fee CEO endorse stage","Cofinance PIF stage","Cofinance CEO approve stage","Cofinance CEO endorse stage","Date of receipt or first PMIS entry","PIF Clearance or PIF Approval Date","Expected date of entry into work program","Date of entry into work program","Date of project approval","Date of CEO approval (MSP / EA)","Date of CEO endorsement (FSP)","Date of dropping (before project approval)","Date of cancelation (after project approval)","Date of PIF rejection by CEO","Date of technical rejection by Program Manager","Date of rejection by CEO at CEO approve stage","Date of rejection by CEO at CEO endorse stage","Date of Parent / Program rejection by Council","Date of approval by Agency","Expected date of Grant signing","Actual date of Grant signing","Expected date of implementation start","Actual date of implementation start","Expected date of closure","Actual date of closure","Expected date of financial closure","Date of financial closure","Expected date of Internal Completion Report (ICR)","Date of Internal Completion Report (ICR)","Expected date of Parent endorsement by Council","Date of Parent endorsement by Council","Expected date of effectiveness","Date of effectiveness","Expected date of mid term review","Date of mid term review","GEFNewRegionList"
"906001223964","Programatic","5452","World Bank","World Bank","","Asia","","China","","CN","International Waters","I","I","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","","","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Christian Severin","439285","","127815","","","","IW-2; ","","","","0","","","","","","","","5100000","","5100000","408000","","408000","208200000","","208200000","10-Jun-13","","","9-Nov-11","9-Nov-11","","13-Aug-13","","","","","","","","","","","","","","","","","","","","","","","","","Asia,"
"906001223966","Programatic","3267","World Bank","World Bank","","Asia","","Yemen","","YE","Climate Change","C","C","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Agriculture, Government of Yemen","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Saliha Dobardzic","","","103922","-SPA-","","","","","","","200000","200000","","","","","","","4000000","","4000000","420000","","420000","4080000","","31738000","24-Oct-06","2-Oct-07","1-Nov-07","16-Nov-07","16-Nov-07","","28-Apr-10","","","","","","","","","","","31-Aug-10","28-Jun-10","5-Mar-15","","","","","","","","","","31-Aug-12","","ECA,"
"906001223968","Programatic","5221","World Bank","World Bank","","AFR","","Ghana","","GH","Multi Focal Area","M","M;B;C;L;M;","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","National Government of Ghana","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","186795","","","","","","BD-1; LD-3; CCM-5; SFM/REDD+-1; ","","","","0","","","","","","","","8750000","","8750000","700000","","700000","59500000","","59500000","12-Dec-12","","","26-May-11","26-May-11","","22-Apr-14","","","","","","","","","","","","","","","","","","","","","","","","","AFR,"
"906001223970","Programatic","3837","World Bank","World Bank","","AFR","","Liberia","","LR","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Forestry Development Authority in collaboration with the Liberia Forestry Initiative","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Charlotte Gobin","","","","-3-","","","","","","","0","","","","","","","","950000","950000","","95000","95000","","9168000","9288000","","24-Oct-08","17-Nov-08","","","17-Nov-08","22-Apr-10","","","","","","","","","","","","31-Jul-10","15-Mar-11","30-Jun-15","","","","","","","","","","31-Jul-12","","AFR,"
"906001223972","Programatic","3575","UNDP","UNDP","","AFR","","Guinea-Bissau","","GW","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Institute for Protected Areas and Biodiversity (IBAP)","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Charlotte Gobin","","3650","","","BD-3;",";3;","","","","","50000","50000","","","","","","","950000","950000","","100000","100000","","3500000","3920000","","19-Dec-07","14-Jan-08","","","14-Jan-08","29-Apr-10","","","","","","","","","","","","30-Jun-10","9-Jul-10","30-Sep-14","","","","","","","","30-Nov-09","","30-Aug-12","","AFR,"
"906001223974","Programatic","5252","World Bank","World Bank","","AFR","","Niger","","NE","Multi Focal Area","M","M;B;C;L;M;","GEF - 5","FP","Full-Sized Project","CEO Endorsed","GET","GEF Trust Fund","Ministry of Agriculture","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Jean-Marc Sinnassamy","353429","","132306","","","","LD-1; LD-3; BD-1; BD-2; SFM/REDD+-1; CCM-5; ","","","","0","","","","","","","","4518518","","4518518","361481","","361481","43652000","","43652000","10-Jan-13","","","26-May-11","26-May-11","","23-Apr-13","","","","","","","","","","","","","","","","","","","","","","","","","AFR,"
"906001223976","Programatic","3992","UNDP","UNDP","","Asia","","China","","CN","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Qinghai Finance Bureau, Qinghai Provincial Government","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yoko Watanabe","226576","4179","","","BD-1;",";1;","","","","","100000","100000","","","","","10000","","5354545","","5354545","535455","","535454","18500000","","18349000","23-Apr-09","15-Oct-09","31-Mar-10","17-Mar-10","17-Mar-10","","5-Apr-12","","","","","","","","14-Sep-12","","","31-Jul-12","14-Sep-12","30-Nov-17","","","","","","","","","","30-Apr-15","","Asia,"
"906001223978","Programatic","3706","UNDP","UNDP","","Asia","","China","","CN","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Ministry of Environmental Protection","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Yoko Watanabe","","4187","","","BD-1;BD-2;",";1;2;","","","","","0","","","","","","","","909000","","","90900","","","1926200","","1926200","13-Jun-08","23-Jun-08","","","23-Jun-08","5-Sep-08","","","","","","","","","","","","","16-Dec-08","31-Oct-10","31-Oct-10","","","","","","","","","","","Asia,"
"906001223980","Programatic","5186","World Bank","World Bank","","REG","AFR, Asia","Regional","Algeria, Egypt, Jordan, Morocco, Tunisia","00, DZ, EG, JO, MA, TN","Land Degradation","L","L","GEF - 5","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","MENA Desert Ecosystems and Livelihoods Program MENA DELP","Government","PAS","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","","","130343","","","","LD-3; ","","","","0","","","","","","","","1000000","1000000","","80000","80000","","487500","487500","","18-Oct-12","","","","30-Nov-12","30-Nov-12","","","","","","","","","23-May-13","","","","10-Jun-13","31-Dec-17","","","","","","","","","","","","AFR, ECA, REG,"
"906001223982","Programatic","9118","UNEP","UNEP","","AFR","","Regional","Angola, Burkina Faso, Burundi, Benin, Botswana, Central African Republic, Congo, Cameroon, Cabo Verde, Djibouti, Algeria, Egypt, Eritrea, Ethiopia, Gabon, Ghana, Gambia, Guinea, Guinea-Bissau, Kenya, Comoros, Liberia, Lesotho, Libya, Morocco, Madagascar, Mali, Mauritania, Mauritius, Malawi, Mozambique, Namibia, Niger, Nigeria, Rwanda, Seychelles, Sudan, Senegal, Somalia, Swaziland, Chad, Togo, Tunisia, Tanzania, Uganda, South Africa, Zambia, Congo DR, Zimbabwe","00, DZ, AO, BJ, BW, BF, BI, CM, CV, CF, TD, KM, ZR, CG, DJ, ER, ET, EG, GA, GM, GH, GN, GW, KE, LS, LR, LY, MG, MW, ML, MR, MU, MZ, MA, NA, NE, NG, RW, SN, SC, SO, ZA, SD, SZ, TG, UG, TZ, TN, ZM, ZW","Biodiversity","B","B","GEF - 6","MSP","Medium-Sized Project","CEO Approved","GET","GEF Trust Fund","Country National Executinig Agencies","Multilateral","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","270938","","","","","","","","","","0","","","","","","","","1368550","1368550","","130012","130012","","1225000","1225000","","27-Apr-15","","","","18-May-15","18-May-15","","","","","","","","","","","","","","","","","","","","","","","","","","AFR, SIDS, REG,"
