"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"udWTBvuS5oTLoReRzfeBYm","906001218518","","2015","C","USD","1324310.0"
"k5jibsVFfgSE5wRgDcksKL","906001218518","","2015","D","USD","1324310.0"
"SmtJ8L6d9ucbsKL5tKssZj","906001218608","","2013","C","USD","2654771.0"
"be5M8oBKXEWL6YFYV3fcag","906001218608","","2013","D","USD","2654771.0"
"84SW9msw9rJBASq8ZvT3Lg","906001218488","","2015","C","USD","2639726.0"
"EEWGgzCLQzPakHbFQRGgu2","906001218488","","2015","D","USD","2639726.0"
"myZ3agU7omvKp3Cb8fCHWR","906001218576","","2014","C","USD","1908676.0"
"W4AfJCTF7Mx3ZNViifaUoS","906001218584","","2014","C","USD","3371630.0"
"Vc99arsWYXRNzgujMMm7KX","906001218594","","2014","C","USD","4100000.0"
"ADBp9YqVyjYFvsb6PKjQJW","906001218576","","2014","D","USD","1908676.0"
"RAbc6ZnvY4AvqRpBm8xHTT","906001218584","","2014","D","USD","3371630.0"
"tMDvicM5NCyovMiDaSiwMF","906001218594","","2014","D","USD","4100000.0"
"nh2wvLwaLWoye7DEReQEJS","906001192073","","1994","C","USD","4300000.0"
"kdsfn74foN384HwK4jm8HG","906001192377","","2014","C","USD","6319635.0"
"W79EhvTT2GKfNAfTfyjBDU","906001192389","","2014","C","USD","7339450.0"
"9EwxTdvZvqXHEnK2QbSjrn","906001192377","","2014","D","USD","6319635.0"
"CPGcfYYmkszHhL2ZYEmmRE","906001192389","","2014","D","USD","7339450.0"
"9Nf26N4iKz4K7zHtpFbkz5","906001192197","","2008","C","USD","30000000.0"
"HtsYEQH9KoJJVyNXNDHJVT","906001192197","","2008","D","USD","30000000.0"
"Tx3j7NFjxqUrRhhFaqQ2V3","906001192319","","2014","C","USD","1300000.0"
"AejCpmkdAzCTBSSdzyPje9","906001192097","","1997","C","USD","5000000.0"
"YboBz68Ht4jML4ti2rXJxY","906001192101","","1997","C","USD","15500000.0"
"P5e6dTXFCQTHJnALSYjnVo","906001192101","","1997","D","USD","16500000.0"
"QcA3QHiDd8C2Yzkunutbb8","906001218642","","2014","C","USD","5354545.0"
"MBd7a8Xr4adSEzry6y673Z","906001218642","","2014","D","USD","5354545.0"
"PG8Gtv4Ty4Xub4b6xxhvhd","906001192295","","2014","C","USD","1438000.0"
"9SaCHR7M38wDNVy73L72Lm","906001192295","","2014","D","USD","1438000.0"
"H63MuFcGBiAoTAaxLSCyjC","906001192077","","2014","C","USD","7315597.0"
"fUFSiMgercVgEh4h78LY9P","906001192077","","2014","D","USD","7315597.0"
"NCKp4HEboFDczReqiMzXtP","906001224022","","2013","C","USD","4629630.0"
"anfxNFk4UF3nNmZVBtEtDF","906001224022","","2013","D","USD","4629630.0"
"LBKKsgELWKZZvKCSYD9Y2X","906001218568","","2014","C","USD","6027397.0"
"3JorBHF5D77msG49RBxiMf","906001218574","","2014","C","USD","1626484.0"
"WfH3DQnuVZuhXDqUzcovm7","906001218574","","2014","D","USD","1626484.0"
"gAxQYxJAzk4XBDVC3SaZ9H","906001218568","","2014","D","USD","6027397.0"
"ZSho2fPZPzydkXThrJQMkk","906001192297","","2013","C","USD","1000000.0"
"gzkfgS6C5qwCPXEf5Aug7B","906001192297","","2013","D","USD","1000000.0"
"eA6E8ynWcpceHsyGqUpura","906001192345","","2014","C","USD","611364.0"
"u9oeuBK5LigT9kYTtL95Zf","906001192345","","2014","D","USD","611364.0"
"3WFfiGxipz56WRahowsuQP","906001192189","","2014","C","USD","996000.0"
"SMT6H8Cg3TuDi5PRhstbMd","906001192189","","2014","D","USD","996000.0"
"Z7DhPTVgxnziF2er4XRdn9","906001224000","","2013","C","USD","6440000.0"
"M9PqWNTVFfds6dXG4nVqEj","906001224000","","2013","D","USD","6440000.0"
"Xa3REBo68R9H38qRD4Atfd","906001192285","","2014","C","USD","975000.0"
"JLJNjmah8GwMVgVY6SVey3","906001192285","","2014","D","USD","975000.0"
"BrmuQY6YAUUe4nxAdJAkJV","906001218632","","2014","C","USD","3990909.0"
"unym4iE8UgxnB5afmbdQ6V","906001218632","","2014","D","USD","3990909.0"
"mGArbjvNbynoantAtXsgVn","906001218582","","2015","C","USD","2838792.0"
"ZSxzmieKJtHDyu74VCjm9H","906001218582","","2015","D","USD","2838792.0"
"7ZhkUDXyaH6gfp3NcCHJRo","906001192361","","2014","C","USD","960046.0"
"ZTWEK7w7RHavJDeuSfnSug","906001192361","","2014","D","USD","960046.0"
"CPzNJBTFXYJvd3U9vEJh37","906001224050","","2015","C","USD","4810000.0"
"BzwF69azM4wwJQqLJrcLjT","906001224050","","2015","D","USD","4810000.0"
"vkVyGKbmBKCFLVbUsPDb2A","906001218496","","2016","C","USD","1762557.0"
"RoxNJABdNtEazm8sUVBfrf","906001218496","","2016","D","USD","1762557.0"
"ri4MaVGRmMQ7v9ZkGWKLcG","906001192061","","1999","C","USD","714830.0"
"myG2RkA2wAKMUBW7ETSTA7","906001218534","","2014","C","USD","1000000.0"
"27h44rKApnSeQakgBZvrNf","906001218534","","2014","D","USD","1000000.0"
"kdp3ixkdKokYgLihRBVfkg","906001218554","","2015","C","USD","6052114.0"
"eoMD2ssyE85R7HX7Rief5H","906001218554","","2015","D","USD","6052114.0"
"pbjbLHkJo2GBcg4uTcXu3f","906001223964","","2013","C","USD","5100000.0"
"W6TWiCfvWZ3katKMHJStoi","906001223964","","2013","D","USD","5100000.0"
"d9NN9KjiseEDD7zcxK6UNX","906001192241","","2013","C","USD","970000.0"
"TrP2mRHPWS7ocTeVLnkvDF","906001192241","","2013","D","USD","970000.0"
"siPfPrLaKM93NnSSWYrFE9","906001218434","","2016","C","USD","1397260.0"
"FhqufChCHwWFq9zojUMtYF","906001218434","","2016","D","USD","1397260.0"
"v9xc67cXwaEwoTWSLcgdX3","906001218472","","2016","C","USD","12000000.0"
"3NHK27EwomRZXyJx6xorcF","906001218472","","2016","D","USD","12000000.0"
"LgpNQgXbhkecrTuTM3EWFH","906001218630","","2013","C","USD","1283636.0"
"kEkoxDauLnJQ3MSedLWHvV","906001224024","","2013","C","USD","7731481.0"
"wEUJUs3FbbgnRjnSzzZzyG","906001218630","","2013","D","USD","1283636.0"
"NKRbWiiyaPv8oXL9rzNsYV","906001224024","","2013","D","USD","7731481.0"
"s9mv4RxqkD76SeFBgJNVT2","906001218532","","2014","C","USD","1762557.0"
"3z45gFmcqpX2XLizVmq3J4","906001218532","","2014","D","USD","1762557.0"
"wCt7AA2zKDrRjWtbAtvxpn","906001218428","","2016","C","USD","1420000.0"
"LPEnHnBaHCmCn35M37yjUY","906001218438","","2016","C","USD","863242.0"
"Zk5AysYz5D9oLxQrFZD4ah","906001218428","","2016","D","USD","1420000.0"
"ganj4CnD2R2UKWUvV9wW6D","906001218438","","2016","D","USD","863200.0"
"mRVCN2kwzBMJmVfwK39iX3","906001218620","","2014","C","USD","7481944.0"
"zyHJKh94p5ZSVc2VHkWvdL","906001218620","","2014","D","USD","7481944.0"
"QgM6giqMJd3rcyzA3FkPdH","906001218094","","2005","C","USD","1000000.0"
"wwm8Z9uNFPGtf3NeJ3Lmo3","906001218474","","2016","C","USD","5000000.0"
"KaQARQXNCB5MPf4nSh9VkY","906001218474","","2016","D","USD","5000000.0"
"Md8QzzfVTFvHv6iXmvxwHe","906001192139","","2010","C","USD","650000.0"
