transaction_year	value	donor	donor_iso3	donor_id
1960	12.24	multidonor	DAC	
1961	12.39	multidonor	DAC	
1962	12.88	multidonor	DAC	
1963	13.36	multidonor	DAC	
1964	13.59	multidonor	DAC	
1965	14.01	multidonor	DAC	
1966	14.28	multidonor	DAC	
1967	14.17	multidonor	DAC	
1968	14.74	multidonor	DAC	
1969	14.98	multidonor	DAC	
1970	15.75	multidonor	DAC	
1971	16.63	multidonor	DAC	
1972	18.6	multidonor	DAC	
1973	20.85	multidonor	DAC	
1974	23.1	multidonor	DAC	
1975	26.15	multidonor	DAC	
1976	27.03	multidonor	DAC	
1977	29.24	multidonor	DAC	
1978	33.56	multidonor	DAC	
1979	37.56	multidonor	DAC	
1980	41.32	multidonor	DAC	
1981	39.6	multidonor	DAC	
1982	39.01	multidonor	DAC	
1983	39	multidonor	DAC	
1984	38.18	multidonor	DAC	
1985	38.38	multidonor	DAC	
1986	46.6	multidonor	DAC	
1987	53.84	multidonor	DAC	
1988	57.78	multidonor	DAC	
1989	57.31	multidonor	DAC	
1990	63.93	multidonor	DAC	
1991	66.22	multidonor	DAC	
1992	69.72	multidonor	DAC	
1993	67.79	multidonor	DAC	
1994	70.9	multidonor	DAC	
1995	78.65	multidonor	DAC	
1996	74.62	multidonor	DAC	
1997	69.42	multidonor	DAC	
1998	68.48	multidonor	DAC	
1999	69.63	multidonor	DAC	
2000	67.24	multidonor	DAC	
2001	63.83	multidonor	DAC	
2002	66.15	multidonor	DAC	
2003	75.15	multidonor	DAC	
2004	81.92	multidonor	DAC	
2005	84.42	multidonor	DAC	
2006	86.33	multidonor	DAC	
2007	92.98	multidonor	DAC	
2008	97.64	multidonor	DAC	
2009	94.49	multidonor	DAC	
2010	95.44	multidonor	DAC	
2011	101.35	multidonor	DAC	
2012	99.06	multidonor	DAC	
2013	99.63	multidonor	DAC	
2014	100	multidonor	DAC	
2015	89.71	multidonor	DAC	
2016	89.71	multidonor	DAC	
