"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"906001152851","0","The Global Environmental Commons. Solutions for a Crowded Planet","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2016","2016","2229405.86334","2229405.86334"
"906001152853","1","Enabling the use of Global Data Sources to assess and Monitor Land Degradation at Multiple Scales","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","2037918.84963","2037918.84963"
"906001152855","1","Adaptive Management and Monitoring of the Maghreb's Oases Systems","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Africa, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","1924516.77628","1924516.77628"
"906001152857","1","Sustainable Land Management in the Semi-Arid Sertao","2007-01-04","start_actual","2013-01-30","end_actual","Global Environment Facility (GEF)","DAC","Brazil","BRA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2007","2013","6391697.13917","6391697.13917"
"906001152859","1","SIP: Scaling up SLM Practice, Knowledge, and Coordination in Key Nigerian States","2010-01-25","start_actual","2013-01-31","end_actual","Global Environment Facility (GEF)","DAC","Nigeria","NGA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2010","2013","7124895.22213","7124895.22213"
"906001152861","1","Fifth Operational Phase of the GEF Small Grants Program in Kenya ","2012-01-26","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Kenya","KEN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2012","2012","5047445.99233","5047445.99233"
"906001152863","1","LDC/SIDS Portfolio Project: Capacity Building to Combat Desertification and Land Degradation in Guinea","2008-01-07","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Guinea","GIN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2008","2008","",""
"906001152865","1","CBSP-Capacity Building for Regional Coordination of Sustainable Forest Management in the Congo Basin under the GEF Program for the Congo Basin","2011-01-02","start_actual","2014-01-30","end_actual","Global Environment Facility (GEF)","DAC","Africa, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2011","2014","804144.055254","804144.055254"
"906001152867","1","SIP: Monitoring Carbon and Environmental and Socio-Economic Co-Benefits of BioCF Projects in SSA ","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Africa, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2010","2010","958717.51886","958717.51886"
"906001152869","1","CACILM: Multicountry Capacity Building Project","2009-01-10","start_actual","2013-01-01","end_actual","Global Environment Facility (GEF)","DAC","Central Asia, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2009","2013","3032066.88538","3032066.88538"
"906001152871","1","CBSP Enhancing Institutional Capacities on REDD issues for Sustainable Forest Management in the Congo Basin","2011-01-30","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Africa, Regional Programs Multi-Country","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","12826837.6912","12826837.6912"
"906001152873","1","Support to 16 GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD","2014-01-07","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Global","Unspecified","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2014","2014","1045000.0","1045000.0"
"906001152875","1","SIP: Innovations in Micro Irrigation for Dryland Farmers","2010-01-09","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Senegal","SEN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2010","2010","953478.625314","961264.668902"
"906001152877","1","Supporting Sustainable Land Management in Steppe and Semi-arid Zones through Integrated Territorial Planning and Agro-environmental Incentives","","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Kazakhstan","KAZ","410","General environmental protection","41000","General environmental protection, combination of purposes","Pipeline/identification","2015","2015","2117935.57017","2117935.57017"
"906001152879","1","SIP: Mainstreaming Sustainable Land Management in Agropastoral Production Systems of Kenya","2011-01-18","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Kenya","KEN","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2011","2011","2990364.08485","2990364.08485"
"906001152881","1","Ecosystem Restoration of Riparian Forests in Sao Paulo","2005-01-08","start_actual","2011-01-27","end_actual","Global Environment Facility (GEF)","DAC","Brazil","BRA","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2011","8347547.97441","9180289.03104"
"906001152883","1","LDC/SIDS Portfolio Project: Capacity Building for Sustainable Land Management in Burundi","2006-01-06","start_actual","","end_actual","Global Environment Facility (GEF)","DAC","Burundi","BDI","410","General environmental protection","41000","General environmental protection, combination of purposes","Implementation","2006","2006","",""
"906001152885","1","LDC/SIDS Portfolio Project: Building Capacity and Mainstreaming Sustainable Land Management in Bhutan","2007-01-25","start_actual","2005-01-02","end_actual","Global Environment Facility (GEF)","DAC","Bhutan","BTN","410","General environmental protection","41000","General environmental protection, combination of purposes","Completion","2005","2007","",""
