"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"cKrmewbbdrQ6R47pCe9zmK","906001152857","","2007","C","USD","6391697.13917"
"K8RqPH2FNswGnhLnaJuzyU","906001152859","","2010","C","USD","7124895.22213"
"jKZFBeVLFuRPsdQ6VXL934","906001152861","","2012","C","USD","5047445.99233"
"WBRbRNLsiDYy2sLV5LNywe","906001152869","","2009","C","USD","3032066.88538"
"cRzrwcw8vT8eSGkuSX9DCb","906001152871","","2011","C","USD","12826837.6912"
"9XfDSmCH6382Sk4atiHj7d","906001152879","","2011","C","USD","2990364.08485"
"md7chj4fM3hXETwdchfgwa","906001152881","","2005","C","USD","8347547.97441"
"2xSpGRVF2TzRV8LgCEMHBW","906001152887","","2011","C","USD","2936359.15146"
"ZoQyA3kzr9zrRFAnb33jEg","906001152889","","2007","C","USD","10755001.0755"
"QS3KGJihAyMTjYc7qcBrdJ","906001152891","","2006","C","USD","3503996.29329"
"XorcR545EdY7AqhGi4QiNj","906001152893","","2007","C","USD","5575355.99054"
"eAZrFchujsRpYcn65awcxE","906001152895","","2011","C","USD","4144055.25407"
"Xeu5nHHicjivUWMMjUqDTG","906001152897","","2010","C","USD","7491617.77033"
"kTuNa75y4ymSZrZ2qMwSu4","906001152901","","2005","C","USD","3553660.27008"
"tKuTzVUxCdggM8KgGPiYak","906001152905","","2011","C","USD","4134188.45585"
"Yjq7aE4C8oCJ8wQQKXnLhJ","906001152907","","2006","C","USD","202294.683192"
"7WRTUVgK7beAQfNL4cnKfJ","906001152909","","2010","C","USD","7191571.66806"
"An3uHmSsjH93RtGEBJmDr3","906001152911","","2008","C","USD","2048340.84392"
"ukNCCTsFd3sp9GhHwRhVNM","906001152913","","2010","C","USD","5029337.80386"
"3THbjehe8MM88cj4orouyC","906001152917","","2008","C","USD","3584596.47685"
"vvBcv5r8hGu9cybNXzyf9Q","906001152919","","2006","C","USD","6950075.29248"
"FRpL6gepu2N6UvBLSr8c3b","906001152921","","2008","C","USD","2560426.0549"
"RyaXy8zEdEV7UkvdhQV9fn","906001152923","","2010","C","USD","6752933.78039"
"dUxPnRTenUYXYp9de5gTvh","906001152927","","2010","C","USD","10190695.7251"
"95tAtrXUcA66RciQQsKStX","906001152931","","2011","C","USD","2632757.7701"
"SsHFaYgBBHJ95gXKZRTntf","906001152935","","2008","C","USD","3072511.26587"
"w8TaMrd68m6Z7LrYrWCjVS","906001152939","","2010","C","USD","4728776.19447"
"zkeKKyhHor56WgKeyS62s7","906001152945","","2011","C","USD","4341391.21855"
"PtMv94uDVHb5by5EX9Gpob","906001152951","","2007","C","USD","6668100.66681"
"hbU97G8MwTS8uExwLvKpLj","906001152953","","2011","C","USD","3034712.38283"
"kaWVwNF655GTev5JPCJRPb","906001152955","","2009","C","USD","6864602.60345"
