906_ID,GEF_ID,Title,Focus Area,Sub-Foci,First Coder Initials,Second Coder Initials,Arbitrator Initials,
,,Hey ALL- this is Renee- the focus area is multi-focal for all projects. the sub foci is what you are to find and write down.Please go and edit your projects thanks:) ,,,,,,
,,Also guys this looks great! Your terminology is spot on! Lets keep this document beautiful!!,,,,,,
906001192295,5302,Capacity Development for the Integration of Global Environmental Commitments into National Policies and Development Decision Making,Multi-Focal,CD-2; CD-4; CD-5;  ,DG,AB,RR,
906001192103,3357,The GEF Earth Fund (formerly GEF Public-Private Partnership Fund),Multi-Focal,NONE MENTIONED,DG,MMF,RR,
906001192285,5097,Enhancing Capacity for Implementing Rio Conventions,Multi Focal,CD-2; CD-3; Project Mana;,EM,TH,RR,
906001192165,4259,The GEF Earth Fund: Conservation Agreement Private Partnership Platform (CAPPP),Multi Focal,BD-1;BD-2;BD-3;BD-4;BD-5;BD-8;LD-1;LD-2;CC-6; ,EM,GG,RR,
906001192139,4256,Making Ocean Life Count,Cross Focal,NONE MENTIONED,EM,ZC,RR,
906001192125,6947,Belarus Forestry Development Project,Multi Focal,BD-4;CCM-2; SFM-1; SFM-2;,EM,SW,RR,
906001192311,4765,Strengthening National and Decentralized Management for Global Environmental Benefits,Multi Focal,CD-4; Project Mana; ,EM,SW,RR,
906001192373,5560,Forest Conservation and Sustainability in the Heart of the Colombian Amazon,Multi Focal,BD-1;CCM-5;SFM/REDD-2;BD-2;,AAB,LM,RR,
906001192325,4080,SPWA - Participatory Biodiversity Conservation and Low Carbon Development in Pilot Ecovillages in Senegal,multi focal,BD-3;CC-4;CC-6; ,AAB,MSH,RR,
906001192085,4543,The GLOBE Legislator Forest Initiative,Multi Focal,"Deforestation, Capacity Building, forest Degredation | BD-2; CCM-5; CD-3; Project Mana; ",AAB,LK,RR,
906001192149,3541,TT-Pilot (GEF 4): Phase Out HCFCs and Promotion of HFC-free Energy Efficient Refrigeration and Air-Conditioning Systems in the Russian Federation Through Technology Transfer,Multi Focal,Ozone Depletion Substances | POPS-1;CC-2;CC-1; ,AAB,MMF,RR,
906001192233,5622,LME-EA Coral Triangle Initiative Project (COREMAPIII-CTI),Multi Focal,BD-1;BD-2;IW-2;,AAB,SW,RR,
906001192205,4817,Capacity Building For Environmental Policy Institutions For Integration Of Global Environment Commitments In The Investment And Development Decisions/Projects,Multi Focal,,EU,,,NEED TO FIND
906001192057,3589,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,Multi Focal,"Biodiversity, International Waters, Climate Change | BD SP2, SP4 and SP8; CC SP8-SPA; IW SP1",EU,AC,RR,
906001192155,3627,Strengthening Coordination for Effective Environmental Management (STREEM),Multi Focal,CB-2 (CROSS CUTTING CAPACITY BUILDING),TH,,RR,
,3332,Developing Institutional and Legal Capacity to Optimize Information and Monitoring System for Global Environmental Management in Armenia,Multi Focal,,TH,,,NEED TO FIND
906001192313,5295,"Generating, Accessing and Using Information and Knowledge Related to the Three Rio Conventions",Multi Focal,CD-2; CD-2; Project Mana;  ,TH,DG,RR,
906001192265,3980,CTI Integrated Natural Resources and Environmental Management Sector,Multi Focal,"Biodiversity, International Waters, Climate Change | BD-4;BD-5;IW-2;CC-6; ",TH,NL,RR,
906001192257,2503,International Assessment of Agricultural Science and Technology for Development (IAASTD),,,TH,,,NEED TO FIND
906001192173,3173,Meeting the Primary Obligations of the Rio Conventions through Strengthening Capacity to Implement Natural Resources Legislation,Multi Focal,"Biodiversity, Anti-Desertification, Capacity Building | CB-2;",AAB,LK,RR,
906001192189,5570,Mainstreaming Rio Convention Provisions into National Sectoral Policies,Multi Focal ,CD-3;,AAB,GG,RR,
906001192251,2885,Meso-American Barrier Reef System II,Multi Focal,"Biodiversity, International Waters | BD-SP1, SP2, SP4, and SP5; IW-SP1 and SP2",DG,,RR,
906001192089,4799,Implementing Integrated Measures for Minimizing Mercury Releases from Artisinal Gold Mining,Multi Focal,CHEM-3; IW-1; Project Mana;,AC,MSH,RR,
906001192351,5130,Integrating Global Environmental Priorities into National Policies and Programmes,Multi Focal,CD-2; CD-5; Project Mana,AC,,RR,
906001192271,5101,Strengthened Environmental Management Information System for Coastal Development to Meet Rio Convention Objectives,Multi Focal,CD-2;,AC,EM,RR,
906001192381,3591, PAS Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific - under the Pacific Alliance for Sustainability Program,Multi focal ,"Biodiversity, International Waters, Climate Change | BD-2;BD-4;IW-1;IW-2;CC-SPA",AC,,RR,
906001192287,5017,Developing Core Capacity for Decentralized MEA Implementation and Natural Resources Management in Afghanistan,Multi focal,CD-2; CD-3; CD-3; CD-4; CD-4; Project Mana; ,AC,,RR,
906001192367,5041,Strengthening Decentralized Management of the Environment to Meet Rio Convention Objectives,Multi focal,CD-4; Project Mana,EM,,RR,
906001192087,4652,GMS Forest and Biodiversity Program (GMS-FBP) - Creating Transboundary Links Through a Regional Support,Multi focal,"Biodiversity, Land and Forest Management | SFM/REDD+-1; CCA-1; CCA-2; ",DG,TH,RR,
906001192263,4183,Strengthening Environmental Fiscal Reform for National and Global Environment Management,Multi Focal,CB-2;,AC,TH,RR,
,,,,,,,,
906001192161,3623,Establishment of Incentives for the Conservation of Ecosystem Services of Global Significance,Multi Focal,"Biodiversity, Climate Change",KS,EM,RR,
906001192103,3357,The GEF Earth Fund (formerly GEF Public-Private Partnership Fund),,NONE MENTIONED,,,RR,
906001192207,3767,Strengthening National Policy and Knowledge Framework in Support of Sustainable Management of Brazils Forest Resources,Multi Focal,"Biodiversity, Climate Change | BD-SP 4; CC-SP6 ",AC,,RR,
906001192093,4029,Integrated Natural Resource Management in the Baikal Basin Transboundary Ecosystem,Multi focal area,"Biodiversity, International Waters | IW-SP3; BD SP-4 ",KS,,RR,
906001192151,2095,Sustainable Management of the Water Resources of the la Plata Basin with Respect to the Effects of Climate Variability and Change,Multi Focal,International Waters | IW-2;IW-4; ,AC,,RR,
906001192343,5178,"Strengthening Capacities to Measure, Report and Verify Indicators of Global Environment Benefits",Multi Focal,CD-2; CD-5; Project Mana,AC,,RR,
906001192135,3482,PRC-GEF Partnership: Land Degradation in Dryland Ecosystems: Project I-Capacity Building to Combat Land Degradation,Multi-Focal,"Land Degradation, Biodiversity, Climate Change | LD – SP1, SP2, SP3; BD – SP3, SP4, SP5, SP8; CC – SP6-bis.",ALB,,RR,
906001192347,5164,Capacity for Implementing Rio Conventions in Samoa,Multi-Focal,CD-2; CD-2; Project Mana; CD-3,ALB,,RR,
906001192243,1163,An Integrated Ecosystem Management Approach to Conserve Biodiversity and Minimize Habitat Fragmentation in Three Selected Model Areas in the Russian Arctic (ECORA),Multi-Focal,Biodiversity,TH,LK,,NEED TO FIND
906001192247,5048,Capacity Building for the Strategic Planning and Management of Natural Resources in Belize,Multi-Focal,CD-5; CD-4; CD-4; Project Mana;  ,SW,MMF,RR,
906001192269,4605,Management and Protection of Key Biodiversity Areas,Multi-Focal,BD-1;BD-2;CCM-5;SFM/REDD-1;,SW,,RR,
906001192151,2095,Sustainable Management of the Water Resources of the la Plata Basin with Respect to the Effects of Climate Variability and Change,Multi-Focal,International Waters | IW-2;IW-4,ALB,,RR,
906001192059,3981,Integrated Mangement in Lakes Apanas and Asturias Watershed,Multi Focal,"Biodiversity, Climate Change |  BD- SP3 and SP5, CC-SP6 ",SW,TH,RR,
906001192223,5399,Improvement of the Decision-making Process through Introduction of Mechanisms of Economic Assessment of Fulfilling National Obligations under Global Environmental Agreements,Multi Focal ,CD-2;,KS,TH,RR,
906001192241,4767,Capacity Development : Generating Global Environmental Benefits from Improved Local Planning and Decision-making systems in Burkina Faso,Multi Focal ,CD-2; CD-3,MSH,,RR,
906001192207,3767,SFM Strengthening National Policy and Knowledge Frameworks in Support of Sustainable Management of Brazil's Forest Resources,Multi Focal ,CC-6;CC-6; ,NL,,RR,
