GEF_ID,Agency,Lead agency,Secondary agency(ies),Region,List of regions,Country,List of participating countries,Countries listed by Code (ISO 3166-1 alpha-2),Focal Area,Focal Area single-letter-code ,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Type,Status,Trust Fund acronym,Trust Fund,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",Biosafety project?,Targeted research project?,National Capacity Self Assessement (NCSA)?,National Adaptation Programme of Action (NAPA)?,isNonExpedited,National Portfolio Formulation Exercises (NPFE)?,National communications project?,Small Grants Programme (SGP)?,Sustainable Forest Management (SFM)?,Requires second review?,Primary GEFSEC Program Manager,ID of secondary GEFSEC Program Manager,UNDP Project ID,World Bank Project ID,GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,Final Grant,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,GEFNewRegionList
1014,World Bank,World Bank,,ECA,,Regional,"Bulgaria, Romania, Georgia, Turkey, Russian Federation, Ukraine, Czech Republic, Slovak Republic, Hungary, Slovenia, Croatia, Moldova, Bosnia-Herzegovina, Serbia","00, BG, RO, GE, TR, RU, UA, CZ, SK, HU, SI, HR, MD, BA, YF",International Waters,I,I,"Danube/Black Sea Basin Strategic Partnership on Nutrient Reduction, Tranche I",GEF - 2,FP,Full Size Project,Council Approved,GET,GEF Trust Fund,UNOPS (in cooperation with ICPDR),Multilateral,IF,Parent,0,0,0,0,0,0,0,0,0,0,Alfred M. Duda,,,69053,-8-10-,,,,,,,0,,,0,,,,,0,,0,0,2535000,,,0,,0,22-Aug-01,,1-May-01,11-May-01,11-May-01,,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA, REG,"
2044,World Bank,World Bank,,ECA,,Regional,"Belarus, Bosnia-Herzegovina, Bulgaria, Croatia, Czech Republic, Georgia, Hungary, Moldova, Romania, Russian Federation, Serbia, Slovak Republic, Slovenia, Turkey, Ukraine","00, BY, BA, BG, HR, CZ, GE, HU, MD, RO, RU, YF, SK, SI, TR, UA",International Waters,I,I,Strategic Partnership for Nutrient Reduction in the Danube River and Black Sea - World Bank-GEF Nutrient Reduction Investment Fund: Tranche 3,GEF - 3,FP,Full Size Project,Council Approved,GET,GEF Trust Fund,Varies by project,,IF,Sibling,0,0,0,0,0,0,0,0,0,0,Alfred M. Duda,,,69053,-8-,,,,,,,0,,,,,,,,0,,0,0,3400000,,,0,,237182000,,,1-May-03,16-May-03,16-May-03,,,,,,,,,,,,,,,,,,,,,,,,,,,"ECA, REG,"
2601,World Bank,World Bank,,REG,"AFR, Asia, ECA",Regional,"Albania, Bosnia-Herzegovina, Bulgaria, Algeria, Egypt, Croatia, Lebanon, Libya, Morocco, Macedonia, Syria, Tunisia, Turkey, Serbia","00, AL, DZ, BA, BG, HR, EG, LB, LY, MK, MA, YF, SY, TN, TR",Multi Focal Area,M,M;B;I;,"World Bank-GEF Investment Fund for the Mediterranean Sea Large Marine Ecosystem Partnership, Tranche 1, 1st Allocation",GEF - 3,FP,Full Size Project,Council Approved,GET,GEF Trust Fund,UNEP/MAP,Multilateral,IF,Parent,0,0,0,0,0,0,0,0,0,0,Andrea Merla,,,97216,-9-2-,,,,,,,0,,,,,,,,0,,0,0,900000,,,0,,0,7-Oct-04,,2-Aug-06,28-Aug-06,28-Aug-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR, ECA, REG,"
5614,UNEP,UNEP,,Asia,,Indonesia,,ID,POPs,P,P,Umbrella - Test Project,GEF - 5,FP,Full Size Project,Dropped,GET,GEF Trust Fund,GoI,Government,,,0,0,0,0,0,0,0,0,0,0,Anil Sookdeo,,,,,,,,,,,0,,,,,,,,10000,,10000,10000,1000,,1000,1000,,1000,9-Oct-13,,,,,,,9-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,"Asia,"
1386,UNDP,UNDP,,AFR,,Guinea,,GN,Biodiversity,B,B,Clearing House Mechanism Enabling Activity,GEF - 1,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Public Works and the Environment,Government,,,0,0,0,0,0,0,0,0,0,0,,,421,,-EA-,,,,,,,0,,,,,,,,13450,,13450,13450,,,,,,,,,,,16-Dec-97,16-Dec-97,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1385,UNDP,UNDP,,AFR,,Guinea-Bissau,,GW,Biodiversity,B,B,Establishment of Clearing House Mechanism,GEF - 2,EA,Enabling Activity,IA Approved,GET,GEF Trust Fund,Directorate General of the Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,282,,-EA-,,,,,,,0,,,,,,,,14000,,14000,14000,2000,,,,,,,,,,27-Apr-01,27-Apr-01,,,,,,,,,23-Jun-97,,,,,,,,,,,,,,,,,"AFR,"
1393,UNDP,UNDP,,AFR,,Comoros,,KM,Biodiversity,B,B,Clearing House Mechanism Enabling Activity,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"Government of Comoros, Directorate General of the Environment",Government,,,0,0,0,0,0,0,0,0,0,0,,,424,,-EA-,,,,,,,0,,,,,,,,14000,,14000,14000,,,,,,,,,,,25-Aug-98,25-Aug-98,,,,,,,,,,,,,,,,,,,,,,,,,,"SIDS,"
1405,UNDP,UNDP,,AFR,,Burundi,,BI,Biodiversity,B,B,Elaboration of the Second National Communication on Biodiversity of Burundi for the Conference of the Parties,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,Ministry of Land-Use Planing and Environment,Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,936,,-EA-,,,,,,,0,,,,,,,,19000,,19000,19000,3000,,,,,,6-Apr-01,,,,27-Apr-01,27-Apr-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
1396,UNDP,UNDP,,AFR,,Madagascar,,MG,Biodiversity,B,B,Consultations for the Second National Report on Biodiversity (add on),GEF - 2,EA,Enabling Activity,Under Implmentation,GET,GEF Trust Fund,Association Nationale pour la gestion des Aires Protegees (ANGAP),Government,,,0,0,0,0,0,0,0,0,0,0,Avani Vaish,,2224,,-EA-,,,,,,,0,,,,,,,,25000,,25000,25000,0,,,10000,,10000,11-Jul-01,,,,19-Jul-01,19-Jul-01,,,,,,,,,29-Jan-02,,,,29-Jan-02,,,,,,,,,,,,,"AFR,"
1309,UNDP,UNDP,,AFR,,Botswana,,BW,Biodiversity,B,B,Elaboration of the Second National Communication on Biodiversity of Botswana for the COP in 2001,GEF - 2,EA,Enabling Activity,CEO Approved,GET,GEF Trust Fund,"Ministry of Lands, Housing and Evironment",Government,,,0,0,0,0,0,0,0,0,0,0,Song Li,,418,,-EA-,,,,,,,0,,,,,,,,34000,,34000,34000,0,,,,,,,,,,8-Jun-01,8-Jun-01,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
