GEF ID,GEF phase,List of project's focal areas,GET_BD_,GET_CC_,GET_IW_,GET_LD_,GET_Multi focal area_,GET_M_Capacity building,GET_M_SFM,GET_Ozone_,GET_POPs_,GET_P_HG,LDCF_CC_,NPIF_BD_,SCCF_CC_,Total GEF grant at CEO endorsement
464,GEF - 1,M,,,,,2977000,,,,,,,,,2977000
2045,GEF - 3,M,,,,,5774900,,,,,,,,,5774900
2095,GEF - 4,M;C;I;,,1000000,9730000,,,,,,,,,,,10730000
2132,GEF - 3,M;B;I;,2000000,,6000000,,,,,,,,,,,8000000
2364,GEF - 4,M;C;I;,,2000000,5000000,,,,,,,,,,,7000000
2369,GEF - 4,M;B;L;,2727000,,,1818000,,,,,,,,,,4545000
2503,GEF - 3,M,,,,,3000000,,,,,,,,,3000000
2505,GEF - 4,M;B;C;L;,1000000,2454544,,3454547,,,,,,,,,,6909091
2600,GEF - 4,M;I;P;,,,9991000,,,,,,2900000,,,,,12891000
2631,GEF - 4,M;L;I;,,,1445000,5000000,,,,,,,,,,6445000
2632,GEF - 4,M;L;I;,,,999938,4998484,,,,,,,,,,5998422
2690,GEF - 4,M;B;L;,1000000,,,3500000,,,,,,,,,,4500000
2709,GEF - 4,M;B;L;,400000,,,4600000,,,,,,,,,,5000000
2732,GEF - 4,M;B;C;L;I;,400000,490000,730000,2700000,,,,,,,,,,4320000
2751,GEF - 4,M;B;C;L;,2208264,90900,,2000000,,,,,,,,,,4299164
2753,GEF - 3,M;C;L;,,1919915,,5000000,,,,,,,,,,6919915
2929,GEF - 4,M;L;I;,,,1350000,1730000,,,,,,,,,,3080000
2975,GEF - 4,M;B;L;,3165857,,,3185143,,,,,,,,,,6351000
3000,GEF - 4,M;B;C;L;,1890000,855000,,0,,,,,,,,,,2745000
3129,GEF - 4,M;B;C;,950000,950000,,,,,,,,,,,,1900000
3132,GEF - 4,M;C;L;,,1718182,,1718182,,,,,,,,,,3436364
3363,GEF - 4,M;B;L;,400000,,,600000,,,,,,,,,,1000000
3390,GEF - 4,M;B;C;L;,454546,727273,,791001,,,,,,,,,,1972820
3398,GEF - 4,M;L;I;,,,2700000,6000000,,,,,,,,,,8700000
3399,GEF - 4,M;L;I;,,,6000000,1000000,,,,,,,,,,7000000
3401,GEF - 4,M;L;I;,,,975000,890000,,,,,,,,,,1865000
3435,GEF - 4,M;B;L;,1668182,,,859091,,,,,,,,,,2527273
3443,GEF - 4,M;B;L;,3500000,,,3500000,,,,,,,,,,7000000
3445,GEF - 4,M;B;C;,1323636,434546,,,,,,,,,,,,1758182
3449,GEF - 4,M;B;C;L;,1842088,1842088,,1842088,,,,,,,,,,5526264
3450,GEF - 4,M;B;L;,1030385,,,1637915,,,,,,,,,,2668300
3469,GEF - 4,M;B;L;,1800000,,,1800000,,,,,,,,,,3600000
3470,GEF - 4,M;B;C;L;,2190000,2690000,,2460000,,,,,,,,,,7340000
3471,GEF - 4,M;B;C;L;,3120000,315000,,4055000,,,,,,,,,,7490000
3472,GEF - 4,M;B;C;L;,1931000,200000,,3632000,,,,,,,,,,5763000
3483,GEF - 4,M;C;L;,,1818182,,3301364,,,,,,,,,,5119546
3541,GEF - 4,M;C;O;,,9000000,,,,,,9000000,,,,,,18000000
3574,GEF - 4,M;B;L;,5000000,,,2000000,,,,,,,,,,7000000
3589,GEF - 4,M;B;C;I;,7500000,1718182,2000000,,,,,,,,,,,11218182
3591,GEF - 4,M;B;C;I;,8368183,1818182,2931818,,,,,,,,,,,13118183
3608,GEF - 4,M;C;L;,,2587000,,1678000,,,,,,,,,,4265000
3623,GEF - 4,M;B;C;,1452500,1452500,,,,,,,,,,,,2905000
3627,GEF - 4,M;B;L;,523636,,,130909,,,,,,,,,,654545
3635,GEF - 4,M;B;C;L;,1000000,909090,,454545,,,,,,,,,,2363635
3669,GEF - 4,M;C;L;I;,,636000,4545000,4545000,,,,,,,,,,9726000
3717,GEF - 4,M;B;L;,2160000,,,540000,,,,,,,,,,2700000
3749,GEF - 4,M;B;I;,3820000,,3105000,,,,,,,,,,,6925000
3767,GEF - 4,M;B;C;,5400000,3450000,,,,,,,,,,,,8850000
3779,GEF - 4,M;C;L;,,10800000,,2200000,,,,,,,,,,13000000
3818,GEF - 4,M;B;C;L;,333333,333333,,333334,,,,,,,,,,1000000
3822,GEF - 4,M;B;C;L;,1282500,896590.5,,896590.5,,,,,,,,,,3075681
3830,GEF - 4,M;B;C;,4477352,1811678,,,,,,,,,,,,6289030
3831,GEF - 4,M;B;L;,3000000,,,3000000,,,,,,,,,,6000000
3924,GEF - 4,M;B;C;L;I;,500000,1000000,200000,300000,,,,,,,,,,2000000
3952,GEF - 4,M;B;L;,3387142,,,2000000,,,,,,,,,,5387142
3960,GEF - 4,M;L;M;,,,,,815000,,,,,,,,,815000
3980,GEF - 4,M;B;C;I;,1220000,1280000,,,,,,,,,,,,2500000
3981,GEF - 4,M;B;C;,1440909,2600000,,,,,,,,,,,,4040909
4029,GEF - 4,M;B;I;,1268000,,2630000,,,,,,,,,,,3898000
4035,GEF - 4,M;B;L;,2922300,,,1350000,,,,,,,,,,4272300
4080,GEF - 4,M;B;C;,1920000,960000,,,,,,,,,,,,2880000
4104,GEF - 4,M;B;C;L;,1363636,863636,,3636364,,,,,,,,,,5863636
4235,GEF - 4,M;B;L;,475000,,,475000,,,,,,,,,,950000
4257,GEF - 4,M,,,,,30000000,,,,,,,,,30000000
4259,GEF - 4,M,,,,,5000000,,,,,,,,,5000000
4332,GEF - 5,M;C;L;M;,,2000000,,3080000,600000,,,,,,,,,5680000
4454,GEF - 5,M;B;L;M;,1136850,,,1830424,942167,,,,,,,,,3909441
4468,GEF - 5,M;B;C;L;M;,1146800,621300,,262700,670100,,,,,,,,,2700900
4469,GEF - 5,M;B;C;M;,1000000,4340000,,,,,1780000,,,,,,,7120000
4479,GEF - 5,M;B;C;L;M;,443550,2022580,,833870,1100000,,,,,,,,,4400000
4543,GEF - 5,M;B;C;M;,212121,212121,,,,575758,,,,,,,,1000000
4579,GEF - 5,M;B;L;M;,2740000,,,520000,820000,,,,,,,,,4080000
4581,GEF - 5,M;B;I;,5978046,,21194890,,,,,,,,,,,27172936
4582,GEF - 5,M;B;I;,506227,,493773,,,,,,,,,,,1000000
4583,GEF - 5,M;B;C;L;,859091,2040909,,2850000,,,,,,,,,,5750000
4584,GEF - 5,M;B;L;,3480000,,,884000,,,,,,,,,,4364000
4590,GEF - 5,M;B;L;M;,1777982,,,686548,580925,,,,,,,,,3045455
4605,GEF - 5,M;B;C;M;,3372700,1191900,,,1521000,,,,,,,,,6085600
4616,GEF - 5,M;C;L;,,,,521370,,,,,,,,,1000000,1521370
4625,GEF - 5,M;B;C;L;M;,2727000,,,1082000,1269000,,,,,,1500000,,,6578000
4631,GEF - 5,M;B;L;M;,1000000,,,2200000,1000000,,,,,,,,,4200000
4632,GEF - 5,M;B;L;,1753000,,,874000,,,,,,,,,,2627000
4634,GEF - 5,M;B;C;L;,868500,2996364,,999091,,,,,,,,,,4863955
4639,GEF - 5,M;B;C;L;M;,3822727,3377273,,2686364,3262500,,,,,,,,,13148864
4642,GEF - 5,M;C;L;,,11609000,,1090000,,,,,,,,,,12699000
4644,GEF - 5,M;C;L;M;,,1760000,,850000,870000,,,,,,,,,3480000
4645,GEF - 5,M;B;C;L;M;,1890000,775000,,1720000,1260000,,,,,,,,,5645000
4650,GEF - 5,M;B;C;L;M;,4614679,,,504587,1706422,,,,,,,,,6825688
4652,GEF - 5,M;C;M;,,,,,458715,,,,,,,,458716,917431
4659,GEF - 5,M;B;I;,3500000,,3000000,,,,,,,,,,,6500000
4660,GEF - 5,M;B;I;,4806883,,2508714,,,,,,,,,,,7315597
4669,GEF - 5,M;B;L;,1161000,,,764000,,,,,,,,,,1925000
4677,GEF - 5,M;B;C;M;,3669725,1834862,,,1834863,,,,,,,,,7339450
4709,GEF - 5,M;B;C;L;M;,925926,,,3601852,925926,,,,,,3703703,,,9157407
4717,GEF - 5,M;B;L;,1170000,,,615500,,,,,,,,,,1785500
4732,GEF - 5,M;B;L;M;,7000000,,,1145000,2715000,,,,,,,,,10860000
4744,GEF - 5,M;B;L;M;,1793182,,,896591,896591,,,,,,,,,3586364
4750,GEF - 5,M;B;C;L;M;,1730284,1272204,,594785,1199091,,,,,,,,,4796364
4761,GEF - 5,M;C;L;M;,,1818182,,2727273,909090,,,,,,,,,5454545
4766,GEF - 5,M;C;I;P;,,986000,776000,,,,,,1762000,,,,,3524000
4772,GEF - 5,M;B;L;M;,4569666,,,2021198,2196955,,,,,,,,,8787819
4774,GEF - 5,M;B;L;M;,1408645,,,562567,657071,,,,,,,,,2628283
4775,GEF - 5,M;C;L;,,550866,,1843111,,,,,,,,,1462083,3856060
4778,GEF - 5,M;C;L;M;,,649091,,1514545,721212,,,,,,,,,2884848
4779,GEF - 5,M;C;L;M;,,1975662,,2206156,1393939,,,,,,,,,5575757
4792,GEF - 5,M;B;C;L;M;,16363636,10909091,,3154545,9090909,,,,,,,,,39518181
4799,GEF - 5,M;I;P;,,,284897,,,,,,,715003,,,,999900
4800,GEF - 5,M;B;C;M;,2500000,180000,,,893333,,,,,,,,,3573333
4834,GEF - 5,M;B;C;M;,5000000,21655960,,,4850000,,,,,,,,,31505960
4839,GEF - 5,M;B;L;,2965455,,,3476364,,,,,,,,,,6441819
4847,GEF - 5,M;B;L;M;,1070034,,,1070034,,,713357,,,,,,,2853425
4856,GEF - 5,M;B;I;,6425516,,2748795,,,,,,,,,,,9174311
4860,GEF - 5,M;B;L;M;,2636818,,,2509545,1715454,,,,,,,,,6861817
4905,GEF - 5,M;B;C;M;,3440000,434546,,,843636,,,,,,,,,4718182
4907,GEF - 5,M;B;C;L;M;,2481481.48,,,555555.56,925925.93,,,,,,,,4629629.63,8592592.6
4908,GEF - 5,M;B;C;L;M;,1388889,,,2314815,925926,,,,,,4629629,,,9259259
4932,GEF - 5,M;B;L;I;M;,5605961,,9500000,2739973,2876637,,,,,,,,,20722571
4939,GEF - 5,M;B;C;L;,2874600,262796,,174218,,,,,,,,,,3311614
4942,GEF - 5,M;B;C;M;,12500000,3000000,,,5000000,,,,,,,,,20500000
4952,GEF - 5,M;B;C;L;M;,1362000,,,2761000,1364000,,,,,,4045000,,,9532000
4968,GEF - 5,M;B;C;M;,1100096,3620167,,,1573421,,,,,,,,,6293684
4970,GEF - 5,M;B;L;M;,2880000,,,500000,860000,,,,,,,,,4240000
5005,GEF - 5,M;B;C;L;M;,794688,794688,,1323147,882431,,,,,,,,,3794954
5026,GEF - 5,M;B;C;L;,1500000,506481,,1324074,,,,,,,,,,3330555
5057,GEF - 5,M;B;C;L;M;,1286364,181818,,272727,590909,,,,,,,,,2331818
5069,GEF - 5,M;B;L;M;,1283636,,,1016364,731666,,,,,,,,,3031666
5080,GEF - 5,M;B;L;M;,4495716,,,2247859,2247859,,,,,,,,,8991434
5123,GEF - 5,M;C;L;M;,,3566364,,1070909,1545758,,,,,,,,,6183031
5133,GEF - 5,M;C;I;,,,4000000,,,,,,,,12000000,,,16000000
5135,GEF - 5,M;B;L;M;,2668959,,,1573942,1414300,,,,,,,,,5657201
5139,GEF - 5,M;B;C;M;,889091,4475455,,,1788182,,,,,,,,,7152728
5150,GEF - 5,M;C;P;,,2440091,,,,,,,,45622,,,,2485713
5187,GEF - 5,M;B;C;L;M;,1388889,1388889,,2777778,1851852,,,,,,,,,7407408
5215,GEF - 5,M;B;L;M;,925926,,,3240740,1388890,,,,,,,,,5555556
5220,GEF - 5,M;B;C;L;M;,2777778,925926,,2777778,1851851,,,,,,4629630,,,12962963
5221,GEF - 5,M;B;C;L;M;,1851852,2268519,,2777778,1851851,,,,,,,,,8750000
5225,GEF - 5,M;B;C;M;,3196347,1543379,,,1579909,,,,,,,,,6319635
5252,GEF - 5,M;B;C;L;M;,814814,925926,,1851852,925926,,,,,,,,,4518518
5264,GEF - 5,M;B;L;M;,4543000,,,1100000,1878000,,,,,,,950000,,8471000
5266,GEF - 5,M;B;L;,1148858,,,4611872,,,,,,,,,,5760730
5270,GEF - 5,M;B;C;L;M;,1444444,1851852,,1888889,1388889,,,,,,1851852,,,8425926
5277,GEF - 5,M;B;C;L;M;,1914704,1963799,,765881,1548128,,,,,,,,,6192512
