mfa,ld,bio
178,1329,1
464,1431,2
793,1503,3
839,1666,4
847,1877,16
920,2052,17
933,2139,18
947,2167,20
956,2173,21
972,2175,23
984,2184,24
1022,2193,25
1035,2268,26
1047,2354,30
1080,2355,33
1082,2356,47
1163,2357,48
1178,2358,49
1244,2373,50
1275,2377,51
1310,2379,53
1325,2380,54
1330,2402,55
1343,2440,56
1353,2459,57
1362,2469,58
1378,2509,61
1394,2511,62
1420,2512,65
1455,2549,66
1476,2560,69
1537,2726,71
1544,2739,77
1590,2740,78
1614,2743,79
1621,2794,83
1684,2862,84
1769,2863,85
1848,3028,87
1855,3036,90
1870,3060,92
1872,3230,95
1952,3231,99
2000,3232,100
2043,3233,101
2045,3234,102
2057,3235,103
2095,3237,110
2101,3239,116
2132,3276,117
2166,3355,121
2183,3356,125
2275,3362,126
2364,3364,129
2369,3367,133
2407,3368,134
2422,3369,136
2485,3370,142
2503,3372,192
2505,3373,195
2515,3374,197
2517,3375,202
2520,3376,205
2600,3377,206
2631,3379,209
2632,3381,216
2669,3382,218
2690,3383,220
2709,3384,223
2732,3385,235
2751,3386,243
2753,3391,245
2761,3392,248
2889,3393,250
2929,3395,347
2975,3396,348
3000,3403,349
3129,3468,350
3132,3484,351
3363,3529,352
3390,3567,354
3398,3578,355
3399,3587,356
3401,3628,358
3435,3660,359
3443,3774,360
3445,3872,362
3449,3884,363
3450,4017,364
3469,4233,365
3470,4301,366
3471,4352,367
3472,4550,368
3483,4600,400
3541,4630,403
3574,4633,406
3589,4720,408
3591,4751,409
3608,4754,410
3611,4806,411
3623,4829,456
3627,4832,457
3635,4922,458
3669,4945,466
3717,4954,483
3749,5044,488
3767,5136,490
3779,5142,495
3818,5186,496
3822,5229,499
3830,5276,500
3831,5327,503
3924,5354,504
3952,5406,505
3960,5463,512
3980,5479,534
3981,5541,535
4029,5596,536
4035,5677,537
4080,5691,538
4104,5698,539
4235,5699,541
4257,5700,542
4259,5724,543
4332,5750,566
4454,5767,567
4468,5775,591
4469,5785,592
4479,5789,600
4543,5797,601
4579,5798,620
4581,5811,621
4582,5822,623
4583,5823,625
4584,5824,628
4590,5825,631
4605,5898,634
4616,8003,640
4625,8005,642
4631,9051,644
4632,9163,648
4634,,650
4639,,651
4642,,653
4644,,656
4645,,659
4650,,661
4652,,664
4659,,665
4660,,666
4669,,668
4677,,671
4709,,672
4717,,681
4732,,682
4744,,762
4750,,763
4761,,771
4766,,772
4772,,773
4774,,774
4775,,775
4778,,776
4779,,777
4792,,778
4799,,779
4800,,780
4834,,794
4839,,795
4847,,796
4856,,797
4860,,798
4905,,799
4907,,800
4908,,801
4932,,802
4939,,803
4942,,814
4952,,815
4968,,816
4970,,817
5005,,818
5026,,834
5057,,836
5069,,837
5080,,838
5123,,844
5133,,845
5135,,846
5139,,855
5150,,863
5187,,864
5215,,865
5220,,868
5221,,876
5225,,877
5252,,878
5264,,887
5266,,905
5270,,906
5277,,907
5281,,913
5292,,925
5330,,932
5334,,939
5347,,942
5348,,945
5353,,957
5356,,968
5380,,969
5381,,977
5384,,979
5390,,981
5398,,1020
5410,,1021
5423,,1024
5449,,1026
5481,,1027
5508,,1028
5510,,1030
5517,,1031
5531,,1034
5536,,1036
5550,,1042
5560,,1043
5619,,1045
5622,,1055
5660,,1056
5663,,1061
5718,,1063
5754,,1064
5792,,1067
5848,,1068
6940,,1086
6943,,1089
6947,,1092
6949,,1095
6970,,1097
6993,,1098
7993,,1099
8031,,1100
9037,,1101
9133,,1104
9136,,1107
9139,,1114
9141,,1124
9212,,1125
9267,,1126
9340,,1128
9391,,1133
,,1139
,,1143
,,1144
,,1145
,,1148
,,1152
,,1156
,,1161
,,1167
,,1169
,,1170
,,1173
,,1174
,,1175
,,1176
,,1177
,,1183
,,1184
,,1185
,,1189
,,1197
,,1200
,,1201
,,1204
,,1206
,,1207
,,1214
,,1216
,,1217
,,1221
,,1224
,,1234
,,1236
,,1239
,,1242
,,1246
,,1253
,,1257
,,1258
,,1259
,,1261
,,1268
,,1273
,,1287
,,1296
,,1299
,,1300
,,1301
,,1302
,,1303
,,1312
,,1317
,,1322
,,1344
,,1356
,,1377
,,1384
,,1397
,,1408
,,1410
,,1416
,,1438
,,1446
,,1471
,,1475
,,1477
,,1489
,,1490
,,1491
,,1505
,,1515
,,1516
,,1527
,,1535
,,1600
,,1604
,,1611
,,1620
,,1637
,,1642
,,1679
,,1681
,,1682
,,1694
,,1705
,,1707
,,1713
,,1718
,,1721
,,1725
,,1727
,,1733
,,1734
,,1735
,,1749
,,1750
,,1776
,,1782
,,1794
,,1829
,,1830
,,1836
,,1837
,,1852
,,1854
,,1859
,,1876
,,1884
,,1895
,,1907
,,1916
,,1918
,,1929
,,1943
,,1994
,,1999
,,2003
,,2035
,,2037
,,2068
,,2077
,,2078
,,2092
,,2099
,,2100
,,2102
,,2104
,,2105
,,2120
,,2140
,,2151
,,2152
,,2235
,,2237
,,2251
,,2342
,,2344
,,2371
,,2372
,,2391
,,2435
,,2443
,,2444
,,2450
,,2491
,,2492
,,2545
,,2551
,,2589
,,2594
,,2605
,,2613
,,2615
,,2633
,,2634
,,2635
,,2638
,,2641
,,2654
,,2655
,,2686
,,2687
,,2693
,,2702
,,2703
,,2723
,,2730
,,2754
,,2765
,,2766
,,2772
,,2773
,,2787
,,2788
,,2806
,,2817
,,2836
,,2848
,,2861
,,2881
,,2884
,,2896
,,2906
,,2907
,,2913
,,2924
,,2934
,,2948
,,2949
,,2969
,,3044
,,3067
,,3183
,,3192
,,3209
,,3254
,,3266
,,3279
,,3284
,,3292
,,3293
,,3361
,,3410
,,3418
,,3419
,,3428
,,3465
,,3517
,,3518
,,3526
,,3532
,,3533
,,3548
,,3550
,,3556
,,3557
,,3575
,,3576
,,3590
,,3592
,,3603
,,3604
,,3606
,,3607
,,3609
,,3616
,,3618
,,3626
,,3637
,,3668
,,3670
,,3675
,,3676
,,3682
,,3687
,,3688
,,3691
,,3692
,,3693
,,3698
,,3706
,,3713
,,3722
,,3729
,,3736
,,3737
,,3745
,,3748
,,3750
,,3752
,,3753
,,3757
,,3760
,,3761
,,3762
,,3763
,,3764
,,3770
,,3772
,,3773
,,3777
,,3781
,,3790
,,3807
,,3808
,,3813
,,3816
,,3817
,,3819
,,3820
,,3821
,,3825
,,3826
,,3829
,,3836
,,3837
,,3848
,,3849
,,3858
,,3859
,,3860
,,3861
,,3862
,,3863
,,3864
,,3865
,,3867
,,3873
,,3886
,,3889
,,3897
,,3903
,,3906
,,3909
,,3910
,,3914
,,3919
,,3925
,,3932
,,3933
,,3936
,,3940
,,3941
,,3945
,,3946
,,3947
,,3949
,,3950
,,3951
,,3954
,,3956
,,3961
,,3965
,,3971
,,3984
,,3989
,,3992
,,3996
,,3997
,,4020
,,4023
,,4026
,,4075
,,4082
,,4083
,,4084
,,4085
,,4090
,,4091
,,4105
,,4111
,,4113
,,4150
,,4158
,,4169
,,4175
,,4180
,,4182
,,4191
,,4207
,,4221
,,4286
,,4330
,,4356
,,4456
,,4464
,,4470
,,4494
,,4505
,,4526
,,4544
,,4559
,,4562
,,4577
,,4586
,,4589
,,4637
,,4640
,,4653
,,4655
,,4662
,,4708
,,4716
,,4729
,,4730
,,4731
,,4743
,,4760
,,4763
,,4768
,,4769
,,4770
,,4771
,,4773
,,4777
,,4810
,,4811
,,4827
,,4835
,,4836
,,4841
,,4842
,,4844
,,4846
,,4848
,,4855
,,4867
,,4868
,,4870
,,4883
,,4892
,,4896
,,4916
,,4930
,,4937
,,5034
,,5058
,,5062
,,5065
,,5073
,,5078
,,5088
,,5089
,,5091
,,5096
,,5099
,,5159
,,5171
,,5288
,,5337
,,5338
,,5355
,,5368
,,5439
,,5512
,,5529
,,5546
,,5613
,,5656
,,5776
,,5821
,,5846
