Program/ Project Label,Program GEF_ID,Project GEF_ID,Projects In Common with the MFA portfolio,Projects In Common with the Biodiversity Portfolio,ProjectsIn Common with the Land Degradation portfolio,Agency,Lead agency,Secondary agency(ies),Region,Parent (Program) Geographic level,Country,List of participating countries,Focal Area,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Status,Trust Fund acronym,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF project grant at CEO approve/endorse stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,GEF Project Grant_FINAL,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Agency Fee_Final,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Cofinance_FINAL,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,PFD,PFD available in PMIS,PIR Status,MTRStatus,TTStatus,TEStatus,TERStatus
A,3268,3268,Err:512,Err:512,Err:512,"World Bank, UNDP, FAO",World Bank,,Asia,Country,India,,Multi Focal Area,M,SLEM/CPP - Sustainable Land and Ecosystem Management Partnership PROGRAM,GEF - 4,FP,Council Approved,GET,"Indian Ministry of Environment & Forest, Ministry of Rural Development and Ministry of Agriculture",Government,PAN,Parent,-15-4-5-SPA-,LD-2;LD-3;BD-4;,;16;17;4;,,,,,"340,000 ",,,,,,,,"28,212,091 ","26,083,502 ","1,890,502 ","24,193,000 ","26,083,502 ","2,859,391 ","189,050 ","2,453,300 ","2,642,350 ","302,101,020 ","3,858,274 ","298,940,362 ","302,798,636 ",19-Oct-06,4-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,,,,,,,,,,,,,,,,,,,,1-Nov-07,16-Nov-07,,,,,submitted,No,N/A,N/A,N/A,N/A,
A1,3268,3468,Err:512,Err:512,3468,World Bank,World Bank,,Asia,,India,,Land Degradation,L,"SLEM/CPP: Institutional Coordination, Policy Outreach and M & E Project under Sustainable Land and Ecosystem Management Partnership Program",GEF - 4,MSP,Project Completion,GET,MOEF,Government,PAN,Child,-15-,,,,,,,0 ,,,,,,,,"990,000 ","981,411 ","981,411 ",,"981,411 ","99,000 ","98,141 ",,"98,141 ","1,000,000 ","1,004,711 ",,"1,004,711 ",14-Sep-07,17-Apr-08,,,17-Apr-08,28-May-09,,,,,,,,,,,,31-Jul-09,10-Aug-09,30-Jun-14,30-Jun-14,,,,,,,,,31-Dec-11,,,,Submitted,N/A,N/A,Submitted,
A2,3268,3469,Err:512,Err:512,3469,UNDP,UNDP,,Asia,,India,,Multi Focal Area,M;B;L;,SLEM/CPP: Sustainable Land Management in Shifting Cultivation Areas of Nagaland for Ecological and Livelihood Security,GEF - 4,FP,Under Implementation,GET,"Union Ministry of Environment and Forests, State Department of Soil and Water Conservation, Government of Nagaland and Village Council and Village Development Boards",Government,PAN,Child,-15-3-,,,,,,,0 ,,,,,,,,"3,600,000 ","3,600,000 ",,"3,600,000 ","3,600,000 ","360,000 ",,"360,000 ","360,000 ","20,000,000 ",,"25,416,612 ","25,416,612 ",17-Sep-07,11-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,26-May-09,,,,,,,,20-Jul-09,,,1-Jun-09,20-Jul-09,31-Dec-15,,,,31-Dec-14,,,,,,31-Dec-12,31-Dec-12,,,Submitted,Submitted,N/A,Not Submitted Yet,Not completed yet
A3,3268,3470,Err:512,Err:512,3470,World Bank,World Bank,,Asia,,India,,Multi Focal Area,M;B;C;L;,SLEM/CPP: Sustainable Rural Livelihood Security through Innovations in Land and Ecosystem Management,GEF - 4,FP,Project Completion,GET,"Department of Agriculture, Union Ministry of Agriculture and Union Ministry of Environment and Forests",Government,PAN,Child,-15-4-5-SPA-,,,,,,,0 ,,,,,,,,"10,000,000 ","7,340,000 ",,"7,340,000 ","7,340,000 ","1,000,000 ",,"734,000 ","734,000 ","100,000,000 ",,"88,000,000 ","88,000,000 ",14-Sep-07,4-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,11-Jun-09,,,,,,,,,,,31-Jul-09,12-Nov-09,30-Jun-14,30-Jun-14,,,,,,,,,31-Dec-11,,,,Submitted,Submitted,Submitted,Submitted,
A4,3268,3471,Err:512,Err:512,3471,World Bank,World Bank,,Asia,,India,,Multi Focal Area,M;B;C;L;,SLEM/CPP: Sustainable Land Water and Biodiversity Conservation and Management for Improved Livelihoods in Uttarakhand Watershed Sector,GEF - 4,FP,Project Completion,GET,"Watershed Development Department, Uttarakhand",Government,PAN,Child,,LD-2;BD-4;CC-SPA;,;16;4;30;,,,,,0 ,,,,,,,,"7,000,000 ","7,490,000 ",,"7,490,000 ","7,490,000 ","700,000 ",,"749,000 ","749,000 ","83,000,000 ",,"90,000,000 ","90,000,000 ",25-Jul-08,15-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,11-Jun-09,,,,,,,,,,,30-Sep-09,12-Nov-09,31-Aug-13,31-Aug-13,,,,,,,,,31-Dec-11,,,,Submitted,Submitted,Submitted,Submitted,
A5,3268,3472,Err:512,Err:512,3472,UNDP,UNDP,,Asia,,India,,Multi Focal Area,M;B;C;L;,SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh,GEF - 4,FP,Under Implementation,GET,"Ministry of Environment and Forests, State Government of Madhya Pradesh",Government,PAN,Child,-15-SPA-4-2-,,,,,,,"340,000 ","340,000 ",,,,,,,"5,763,000 ","5,763,000 ",,"5,763,000 ","5,763,000 ","610,300 ",,"610,300 ","610,300 ","95,523,750 ",,"95,523,750 ","95,523,750 ",29-May-08,23-Jun-08,1-Sep-08,23-Sep-08,23-Sep-08,,18-Sep-09,,,,,,,,,,,30-Nov-09,23-Jan-10,31-Dec-15,,,,31-Dec-15,,,,,,31-Dec-13,6-Jul-05,,,Submitted,Submitted,N/A,Not Submitted Yet,Not completed yet
A6,3268,3882,Err:512,Err:512,Err:512,FAO,FAO,,CEX,,Global,"Global, India",Climate Change,C,SLEM/CPP: Reversing Environmental Degradation and Rural Poverty through Adaptation to Climate Change in Drought Stricken Areas in Southern India: A Hydrological Unit Pilot Project Approach (under India: SLEM),GEF - 4,MSP,Project Completion,GET,Bharati Integrated Rural Development Society (BIRDS) ,NGO,PAN,Child,,CC-SPA;,;30;,,,,,0 ,,,,,,,,"859,091 ","909,091 ","909,091 ",,"909,091 ","90,091 ","90,909 ",,"90,909 ","2,577,270 ","2,853,563 ",,"2,853,563 ",4-Feb-09,7-Jul-09,,,7-Jul-09,21-Apr-10,,,,,,,,,,,,31-May-10,21-Dec-10,30-Jun-14,30-Jun-14,,,,,,,,,31-Jan-12,,,,Submitted,N/A,N/A,Submitted,
B,3420,3420,Err:512,Err:512,Err:512,"World Bank, UNDP, UNEP, FAO, ADB",World Bank,,Asia,Regional,Regional,"Cook Islands, Fiji, Micronesia, Kiribati, Marshall Islands, Nauru, Niue, Papua New Guinea, Palau, Solomon Islands, Tonga, Timor Leste, Tuvalu, Vanuatu, Samoa",Multi Focal Area,M;B;C;I;P;,PAS GEF Pacific Alliance for Sustainability ,GEF - 4,FP,Council Approved,GET,World Bank,Multilateral,PAN,Parent,,SGP-1;,;28;,,,,,"375,000 ","375,000 ",,,,,,,"59,675,601 ","59,128,965 ","3,745,200 ","55,383,765 ","59,645,965 ","6,054,855 ","374,500 ","5,655,622 ","6,081,822 ","137,935,564 ","29,616,773 ","190,337,956 ","220,488,729 ",5-Jul-07,15-Aug-07,1-Apr-08,24-Apr-08,24-Apr-08,,,,,,,,,,,,,,,,,,,,,1-Apr-08,24-Apr-08,,,,,submitted,Yes,N/A,N/A,N/A,N/A,N/A
B1,3420,2586,Err:512,Err:512,Err:512,UNDP/UNEP,UNDP,UNEP,Asia,,Regional,"Cook Islands, Fiji, Micronesia, Kiribati, Marshall Islands, Nauru, Niue, Papua New Guinea, Palau, Solomon Islands, Tonga, Tuvalu, Vanuatu, Samoa",International Waters,I,PAS: Implementing Sustainable Integrated Water Resource and Wastewater Management in the Pacific Island Countries - under the GEF Pacific Alliance for Sustainability,GEF - 4,FP,Project Completion,GET,South Pacific Applied Geoscience Commission (SOPAC),Government,PAN,Child,,IW-4;IW-3;,;21;20;,,,,,"722,950 ",,"25,000 ","697,950 ",,,,,"9,025,186 ","9,025,688 ",,"9,025,688 ","9,025,688 ","974,814 ",,"974,814 ","974,814 ","58,367,564 ",,"90,579,799 ","90,579,799 ",8-Apr-05,3-Mar-08,1-Apr-08,24-Apr-08,24-Apr-08,,3-Dec-08,,,,,,,,2-Jun-09,,,,25-Feb-09,30-Jun-14,11-Sep-14,,,31-Dec-12,,,,,,31-Dec-12,,,,N/A,Submitted,N/A,Submitted,Completed
B2,3420,3591,3591,Err:512,Err:512,ADB,ADB,,Asia,,Regional,"Fiji, Micronesia, Papua New Guinea, Palau, Solomon Islands, Timor Leste, Vanuatu",Multi Focal Area,M;B;C;I;,PAS: Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific - under the Pacific Alliance for Sustainability Program,GEF - 4,FP,Under Implementation,GET,"CTI National Coordinating Committees of Governments of Papua New Guinea, Solomon Islands, and Timor Leste, plus Governments of Fiji and Vanuatu",Government,PAN,Child,,BD-2;BD-4;IW-1;IW-2;CC-SPA;,;2;4;18;19;30;,,,,,"300,000 ","300,000 ",,,,,,,"13,118,183 ","13,118,183 ",,"13,118,183 ","13,118,183 ","1,311,817 ",,"1,341,818 ","1,341,818 ","14,150,000 ",,"23,849,000 ","23,849,000 ",22-Jan-08,22-Feb-08,24-Apr-08,24-Apr-08,24-Apr-08,,9-Nov-10,,,,,,,,14-Dec-10,,,31-Jan-11,14-Dec-10,31-Dec-17,,,,,,,,,,31-Jan-13,31-Oct-14,,,Submitted,Submitted,Submitted,N/A,
