Region,Country,SiteID,NationalName,InternationalName,FinalCode,NationalCode,Area,MinAltitude,MaxAltitude,Latitude,Longitude,SitTypeIba,SitTypeCiCepfKba,SitTypeFwKba,SitTypeAze,SitTypeCsn,SitTypeOther,SitTypeInDanger,MonitoringYear,PressureDesc,PressureScore,StateType,StateDesc,StateScore,ResponseDesc,ResponseScore,EUFavourable,WholeSiteCovered,InfoAccuracy,MonitoringAssessmentComplete,CompletedBy,OverallPressureNotes,OverallStateNotes,OverallResponseNotes,SitIBASitCriSumRecID,IBACriteriaStatus,IBACriteriaAssessYear,IBAProposedCriteria,IBAConfirmedCriteria,SitKBASitCriSumRecID,KBACriteriaStatus,KBACriteriaAssessYear,KBAProposedCriteria,KBAConfirmedCriteria
Africa,Algeria,6159,Bou Redim,Bou Redim,DZ004,,16,0,5,36.75,8.25,Y,N,N,N,Y,N,N,2001,high,-2,Population,favourable,3,high,3,N,Y,medium,Y,"Symes, Andy",,,,25159,confirmed,2001,,A4i,0,-,,,
Africa,Algeria,6174,Chott Merouane et Oued Khrouf,Chott Merouane et Oued Khrouf,DZ019,,337700,-40,-40,33.91666667,6.166666667,Y,N,N,N,Y,N,N,2001,medium,-1,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25174,confirmed,2001,,"A4i, A4iii",0,-,,,
Africa,Algeria,6164,Complexe de zones humides de la plaine de Guerbes-Sanhadja,Complexe de zones humides de la plaine de Guerbes-Sanhadja,DZ009,,42100,0,10,36.88333333,7.266666667,Y,Y,N,N,Y,N,N,2001,medium,-1,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,The site was designated as a Ramsar Site in 2001 and has been proposed as a Regional Nature Park.,25164,confirmed,2001,,A1,6665,confirmed,2010,,"Vul, Irr 1"
Africa,Algeria,6160,Lac des Oiseaux / Garaet et Touyour,Lac des Oiseaux / Garaet et Touyour,DZ005,,120,0,5,36.78333333,8.116666667,Y,Y,N,N,Y,N,N,2001,medium,-1,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25160,confirmed,2001,,"A1, A4i",6678,confirmed,2010,,"Vul, Irr 3"
Africa,Algeria,6158,Lac Melah,Lac Melah,DZ003,,900,0,5,36.9,8.316666667,Y,N,N,N,N,N,N,2001,high,-2,Population,very unfavourable,0,high,3,N,Y,medium,Y,"Symes, Andy",,,,25158,confirmed,2001,,A4iii,0,-,,,
Africa,Algeria,6156,Lac Oubeïra,Lac Oubeïra,DZ001,,3160,25,25,36.83333333,8.383333333,Y,N,N,N,Y,N,N,2001,very high,-3,unset,not assessed,5,not assessed,0,N,Y,medium,Y,"Mwangi, Kiragu",Threats recorded in the 'Monitoring Procedure report'. Based on the Ramsar Monitoring Procedure implemented in relation to Lac OubeÃ¯ra in 1990.,,,25156,confirmed,2001,,"A1, A4i, A4iii",0,-,,,
Africa,Algeria,6157,Lac Tonga,Lac Tonga,DZ002,,2700,0,5,36.85,8.5,Y,N,N,N,Y,N,N,2001,high,-2,unset,not assessed,5,not assessed,0,N,Y,medium,Y,"Mwangi, Kiragu","The report of the Monitoring Procedure Mission (to site DZ001) in 1990 also made recommendations for Lac Tonga. These included that consideration should be given to restoring the natural hydrological functions of the lake and that the lake itself should be established as a zone of strict protection within the Parc National dâ€™El Kala, with no hunting and no eel-fishing permitted.   The report further recommended that surface- and groundwater extraction from the lake should be strictly controlled and that conservation management of the site should be carried out as part of a Regional Plan for the wise use and conservation of land and water resources. The site was added to the Montreux Record in 1993 because of concern about decreases in water-supply to the lake and the spread of emergent aquatic vegetation covering open water areas.",,,25157,confirmed,2001,,"A1, A4i, A4iii",0,-,,,
Africa,Algeria,6172,Marais de la Macta,Marais de la Macta,DZ017,,44500,1,13,35.68333333,-0.166666667,Y,Y,N,N,Y,N,N,2001,high,-2,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25172,confirmed,2001,,"A1, A4i, A4iii",6681,confirmed,2010,,"Vul, Irr 1, 3"
Africa,Algeria,6184,Parc National de l'Ahaggar,Parc National de l'Ahaggar,DZ029,,4500000,1500,2981,22.93333333,5.15,Y,N,N,N,N,N,N,2001,low,0,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25184,confirmed,2001,,"A1, A3",0,-,,,
Africa,Algeria,6183,Parc National du Tassili N'Ajjer,Parc National du Tassili N'Ajjer,DZ028,,8000000,1100,2158,24.91666667,8.5,Y,N,N,N,N,N,N,2001,low,0,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25183,confirmed,2001,,A3,0,-,,,
Africa,Algeria,6173,Sebkha d'Oran,Sebkha d'Oran,DZ018,,56870,90,102,35.36666667,-0.8,Y,Y,N,N,Y,N,N,2001,high,-2,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25173,confirmed,2001,,"A1, A4i",6689,confirmed,2010,,"Vul, Irr 3"
Africa,Benin,6042,Lake Ahémé and Aho complex,Lake Ahémé and Aho complex,BJ005,,45000,0,10,6.5,1.95,Y,N,N,N,Y,N,N,2001,high,-2,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25042,confirmed,2001,,"A1, A4i",0,-,,,
Africa,Benin,6041,Lake Nokoué,Lake Nokoué,BJ004,,90000,0,10,6.75,2.383333333,Y,N,N,N,Y,N,N,2001,high,-2,unset,not assessed,5,not assessed,0,N,Y,good,Y,"Mwangi, Kiragu",,,,25041,confirmed,2001,,"A3, A4i",0,-,,,
Africa,Benin,6039,Pendjari National Park,Pendjari National Park,BJ002,,275500,160,423,11.25,1.5,Y,N,N,N,N,N,N,2001,medium,-1,Habitat,favourable,3,medium,2,N,Y,medium,Y,"Symes, Andy",,,,25039,confirmed,2001,,A3,0,-,,,
Africa,Botswana,6053,Bokaa Dam,Bokaa Dam,BW009,,620,1000,1000,-24.45,26,Y,N,N,N,Y,N,N,2011,low,0,Population,very unfavourable,0,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25053,confirmed,2001,,A4i,0,-,,,
Africa,Botswana,6053,Bokaa Dam,Bokaa Dam,BW009,,620,1000,1000,-24.45,26,Y,N,N,N,Y,N,N,2012,very high,-3,Population,very unfavourable,0,low,1,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25053,confirmed,2001,,A4i,0,-,,,
Africa,Botswana,6050,Central Kalahari (Kgalagadi) and Khutse Game Reserves,Central Kalahari (Kgalagadi) and Khutse Game Reserves,BW006,,5539000,900,1000,-22.25,23.75,Y,Y,N,N,N,N,N,2001,high,-2,Habitat,very unfavourable,0,medium,2,N,Y,good,Y,"Mwangi, Kiragu",,,"Despite drawing up of the management plan the development of the Xade continued and up to 1996 no suitable new sites were found outside the reserve. In 1991 Ghanzi District Council passed a resolution that Xade should remain a permanent settlement with all residents of the reserve relocated there. a working Group set up to resolve the conflicts in 1993 recommended that a new settlement should be enhanced outside the reserve and economic development be enhanced in settlements in adjacent districts so that the reserve residents could relocate to them. These recommendations were not accepted by the District Council. However, water was found close to the western boundry of the CKGR; this now piped to a location 45km frm the reserve, new Xade and most of the Xade's Remote-Area Dwellers have nowrelocated there.",25050,confirmed,2001,,A3,1758,confirmed,2009,,Vul
Africa,Botswana,6050,Central Kalahari (Kgalagadi) and Khutse Game Reserves,Central Kalahari (Kgalagadi) and Khutse Game Reserves,BW006,,5539000,900,1000,-22.25,23.75,Y,Y,N,N,N,N,N,2011,high,-2,Population,very unfavourable,0,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25050,confirmed,2001,,A3,1758,confirmed,2009,,Vul
Africa,Botswana,6050,Central Kalahari (Kgalagadi) and Khutse Game Reserves,Central Kalahari (Kgalagadi) and Khutse Game Reserves,BW006,,5539000,900,1000,-22.25,23.75,Y,Y,N,N,N,N,N,2012,low,0,Population,favourable,3,high,3,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25050,confirmed,2001,,A3,1758,confirmed,2009,,Vul
Africa,Botswana,6045,Chobe National Park,Chobe National Park,BW001,,1069800,900,1000,-18.5,24.5,Y,Y,N,N,Y,N,N,2001,high,-2,Habitat,unfavourable,1,medium,2,N,Y,good,Y,"Mwangi, Kiragu",,,,25045,confirmed,2001,,"A3, A4i",1757,confirmed,2009,,Vul
Africa,Botswana,6045,Chobe National Park,Chobe National Park,BW001,,1069800,900,1000,-18.5,24.5,Y,Y,N,N,Y,N,N,2011,low,0,Population,unfavourable,1,medium,2,N,Y,medium,Y,"Ratsie, Mabifhi Lesego",,,,25045,confirmed,2001,,"A3, A4i",1757,confirmed,2009,,Vul
