GEF ID,List of project's focal areas,Focal area(s) the roject intends to provide benefits to,,,,,
91,M,BD,,CCM,,,
135,M,BD,,CCM,CCA,,
502,M,BD,LD,CCM,CCA,IW,CHEM
518,M,BD,LD,CCM,,,
645,M,,LD,CCM,CCA,,
1308,M,BD,LD,CCM,CCA,IW,CHEM
1354,M,BD,LD,CCM,CCA,IW,CHEM
1472,M,BD,LD,,CCA,IW,
1588,M,BD,LD,CCM,CCA,IW,CHEM
1809,M,BD,LD,CCM,CCA,IW,CHEM
1814,M,BD,,CCM,,,
2495,M,BD,LD,CCM,CCA,IW,CHEM
2799,M,BD,LD,CCM,CCA,,
2800,M,BD,LD,,CCA,,
2899,M,BD,LD,CCM,CCA,IW,CHEM
2900,M,BD,LD,CCM,CCA,IW,CHEM
3049,M,BD,LD,CCM,CCA,,
3052,M,BD,LD,CCM,,,
3054,M,BD,LD,CCM,CCA,,
3062,M,BD,LD,CCM,CCA,,
3068,M,BD,LD,CCM,,,
3069,M,BD,LD,CCM,CCA,,
3070,M,BD,LD,CCM,CCA,,
3074,M,BD,LD,CCM,CCA,,
3126,M,BD,LD,CCM,CCA,,
3135,M,BD,LD,CCM,CCA,IW,CHEM
3163,M,BD,LD,CCM,CCA,,
3164,M,BD,LD,CCM,CCA,,
3166,M,BD,LD,CCM,,,
3171,M,BD,LD,CCM,,,
3173,M,BD,LD,CCM,CCA,,
3178,M,BD,LD,CCM,,,
3190,M,BD,LD,CCM,,,
3195,M,BD,LD,CCM,,,
3310,M,BD,LD,CCM,CCA,,
3707,M,BD,LD,CCM,CCA,,
3911,M,,,,,,
4183,M,BD,LD,CCM,,,
4187,M,BD,LD,CCM,CCA,,CHEM
4256,M,BD,,,,IW,
4765,M,BD,LD,CCM,,,
4767,M,BD,LD,CCM,CCA,IW,CHEM
4913,M,BD,LD,CCM,CCA,,
5017,M,BD,LD,CCM,,,
5028,M,BD,LD,CCM,,,
5031,M,BD,LD,CCM,,,
5041,M,BD,LD,,CCA,,
5045,M,BD,LD,CCM,,,
5048,M,BD,LD,CCM,,,
5060,M,BD,LD,CCM,CCA,IW,CHEM
5097,M,BD,LD,CCM,CCA,,
5101,M,BD,LD,CCM,,,
5106,M,BD,LD,CCM,CCA,,CHEM
5126,M,BD,LD,CCM,,,
5130,M,BD,LD,CCM,CCA,,
5164,M,BD,LD,CCM,CCA,,
5166,M,BD,LD,CCM,,,
5178,M,BD,LD,CCM,CCA,,
5197,M,BD,,CCM,CCA,,
5236,M,BD,LD,CCM,CCA,,
5295,M,BD,LD,CCM,,,
5302,M,BD,LD,CCM,,,
5326,M,BD,LD,CCM,,,
5399,M,BD,LD,CCM,CCA,IW,CHEM
5467,M,BD,LD,CCM,CCA,,
5471,M,BD,LD,CCM,CCA,,
5557,M,BD,LD,CCM,,,
5570,M,BD,LD,CCM,CCA,,
5579,M,BD,LD,CCM,,,
5638,M,BD,LD,CCM,,,
5655,M,BD,LD,CCM,,,
5715,M,BD,LD,CCM,,,
5716,M,BD,LD,CCM,CCA,,
5847,M,BD,LD,CCM,,,
6982,M,BD,LD,CCM,,,CHEM
