GEF ID,List of project's focal areas,Focal area(s) the roject intends to provide benefits to,,,,,
178,M,BD,,,,IW,
464,M,BD,LD,CCM,CCA,IW,
793,M,BD,LD,CCM,,,
839,M,BD,LD,CCM,,,
847,M,BD,LD,CCM,CCA,,
920,M,BD,LD,CCM,CCA,,CHEM
933,M,BD,LD,CCM,CCA,,
947,M,BD,LD,CCM,,,
956,M,BD,LD,CCM,,,
972,M,BD,LD,,CCA,IW,
984,M,BD,LD,CCM,CCA,IW,
1022,M,BD,LD,CCM,,IW,
1035,M,BD,LD,,,,
1047,M,BD,LD,CCM,,,
1080,M,BD,,,,IW,
1082,M,BD,,,,IW,
1163,M,BD,,CCM,,,
1178,M,BD,LD,CCM,,IW,
1244,M,BD,LD,CCM,,,
1275,M,BD,LD,,,IW,
1310,M,BD,LD,CCM,CCA,IW,CHEM
1325,M,BD,LD,CCM,CCA,IW,CHEM
1330,M,BD,LD,CCM,,,
1343,M,BD,LD,CCM,,,
1353,M,BD,LD,CCM,,,
1362,M,BD,LD,CCM,,IW,
1378,M,BD,LD,CCM,,,
1394,M,BD,LD,,CCA,IW,
1420,M,,,,,IW,CHEM
1455,M,BD,,CCM,CCA,IW,
1476,M;B;L;,BD,LD,CCM,,,
1537,M,BD,LD,,,IW,
1544,M,BD,LD,CCM,,,
1590,M,BD,LD,CCM,,,
1614,M,BD,LD,CCM,CCA,IW,
1621,M,BD,LD,CCM,,,
1684,M,BD,LD,CCM,CCA,IW,CHEM
1769,M,BD,,CCM,,,
1848,M,BD,LD,CCM,,,
1855,M,BD,LD,CCM,,,
1870,M,BD,LD,CCM,,,
1872,M,BD,LD,CCM,,IW,
1952,M,BD,LD,CCM,CCA,IW,CHEM
2000,M,BD,LD,CCM,CCA,,CHEM
2043,M,BD,,CCM,,,CHEM
2045,M,BD,LD,CCM,CCA,IW,CHEM
2057,M,BD,LD,CCM,,,
2095,M;C;I;,BD,LD,,CCA,IW,
2101,M,BD,,,,IW,
2132,M;B;I;,BD,LD,,CCA,IW,
2166,M,BD,,CCM,,,
2183,M,BD,,CCM,,,
2275,M,BD,LD,CCM,,IW,
2364,M;C;I;,BD,,CCM,CCA,IW,
2369,M;B;L;,BD,LD,CCM,,,
2407,M,BD,,CCM,,,
2422,M,BD,,,,IW,
2485,M,BD,,,,IW,
2503,M,BD,LD,CCM,CCA,IW,CHEM
2505,M;B;C;L;,BD,LD,CCM,CCA,,
2515,M,BD,LD,CCM,CCA,IW,CHEM
2517,M;B;L;I;,BD,LD,,,IW,
2520,M,BD,LD,CCM,CCA,IW,CHEM
2600,M;I;P;,BD,,,,IW,CHEM
2631,M;L;I;,BD,LD,,CCA,IW,
2632,M;L;I;,,LD,CCM,,IW,
2669,M,BD,LD,CCM,,IW,
2690,M;B;L;,BD,LD,CCM,,,
2709,M;B;L;,BD,LD,,CCA,,
2732,M;B;C;L;I;,BD,LD,CCM,,IW,
2751,M;B;C;L;,BD,LD,CCM,,,
2753,M;C;L;,BD,LD,CCM,CCA,IW,
2761,M;B;L;,BD,LD,CCM,,,
2889,M;C;L;,BD,LD,CCM,CCA,,
2929,M;L;I;,BD,LD,,CCA,IW,
2975,M;B;L;,BD,LD,CCM,CCA,IW,
3000,M;B;C;L;,BD,LD,CCM,,,
3129,M;B;C;,BD,LD,,CCA,,
3132,M;C;L;,,LD,CCM,,IW,
3357,M,BD,,CCM,CCA,IW,CHEM
3363,M;B;L;,BD,LD,,,,
3390,M;B;C;L;,BD,LD,CCM,,,
3398,M;L;I;,,LD,,,IW,
3399,M;L;I;,,LD,,,IW,
3401,M;L;I;,,LD,,,IW,
3435,M;B;L;,BD,,CCM,,,
3443,M;B;L;,BD,LD,CCM,,,
3445,M;B;C;,BD,LD,CCM,,,
3449,M;B;C;L;,BD,LD,CCM,CCA,IW,
3450,M;B;L;,BD,LD,CCM,,,
3469,M;B;L;,BD,LD,,,,
3470,M;B;C;L;,BD,LD,,CCA,,
3471,M;B;C;L;,BD,LD,CCM,CCA,,
3472,M;B;C;L;,BD,LD,CCM,,,
3483,M;C;L;,,LD,CCM,,,
3541,M;C;O;,,,CCM,,,CHEM
