"","gef_id","wdpa_id","lat","lon"
"1","","","",""
"2","2","","",""
"3","2","","",""
"4","2","","",""
"5","2","","",""
"6","4","","",""
"7","4","","",""
"8","4","","",""
"9","4","","",""
"10","16","342356","",""
"11","16","","",""
"12","16","","",""
"13","16","","",""
"14","18","555555490","",""
"15","18","","",""
"16","18","","",""
"17","18","","",""
"18","20","","",""
"19","20","","",""
"20","20","","",""
"21","20","","",""
"22","21","315513","",""
"23","21","","",""
"24","21","","",""
"25","21","","",""
"26","26","","",""
"27","26","","",""
"28","26","","",""
"29","26","","",""
"30","30","902661","",""
"31","30","","",""
"32","30","","",""
"33","30","","",""
"34","49","555547583","0.466431","5.81557"
"35","49","67969","0.5","5.75"
"36","49","","",""
"37","49","","",""
"38","49","67966","-0.666667","5.366667"
"39","49","","",""
"40","49","","",""
"41","49","","",""
"42","49","67967","-0.3","5.55"
"43","49","","",""
"44","49","","",""
"45","49","","",""
"46","49","67968","0.040833","5.640278"
"47","49","","",""
"48","49","","",""
"49","49","","",""
"50","49","67970","",""
"51","49","","",""
"52","49","","",""
"53","49","","",""
"54","50","2299","",""
"55","50","","",""
"56","50","","",""
"57","50","","",""
"58","54","18437","",""
"59","54","","",""
"60","54","","",""
"61","54","","",""
"62","54","313109","",""
"63","54","","",""
"64","54","","",""
"65","54","","",""
"66","55","7516","",""
"67","55","","",""
"68","55","","",""
"69","55","","",""
"70","55","","",""
"71","55","","",""
"72","55","","",""
"73","55","","",""
"74","57","18","",""
"75","57","300033","",""
"76","57","","",""
"77","57","","",""
"78","57","98183","",""
"79","57","303894","",""
"80","57","","",""
"81","57","","",""
"82","57","20011","",""
"83","57","303898","",""
"84","57","","",""
"85","57","","",""
"86","57","31","",""
"87","57","","",""
"88","57","","",""
"89","57","","",""
"90","57","36","",""
"91","57","","",""
"92","57","","",""
"93","57","","",""
"94","57","41","-69.17","-15.04"
"95","57","","",""
"96","57","","",""
"97","57","","",""
"98","57","9308","",""
"99","57","","",""
"100","57","","",""
"101","57","","",""
"102","57","20041","",""
"103","57","","",""
"104","57","","",""
"105","57","","",""
"106","58","900886","-56.25","-16.65"
"107","58","555542777","",""
"108","58","","",""
"109","58","","",""
"110","61","188","",""
"111","61","9614","",""
"112","61","","",""
"113","61","","",""
"114","61","186","",""
"115","61","18921","-76.04","-0.72"
"116","61","","",""
"117","61","","",""
"118","61","189","",""
"119","61","29807","",""
"120","61","","",""
"121","61","","",""
"122","61","7912","",""
"123","61","555547537","-78.98","-4.195"
"124","61","","",""
"125","61","","",""
"126","61","183","",""
"127","61","","",""
"128","61","","",""
"129","61","","",""
"130","61","187","",""
"131","61","","",""
"132","61","","",""
"133","61","","",""
"134","61","81073","",""
"135","61","","",""
"136","61","","",""
"137","61","","",""
"138","61","","",""
"139","61","","",""
"140","61","","",""
"141","61","","",""
"142","62","220034","",""
"143","62","902281","-87.616667","19.5"
"144","62","12431","",""
"145","62","20062","",""
"146","62","227","",""
"147","62","14305","",""
"148","62","","",""
"149","62","","",""
"150","62","306793","",""
"151","62","61409","",""
"152","62","","",""
"153","62","","",""
"154","62","306819","",""
"155","62","903015","",""
"156","62","","",""
"157","62","","",""
"158","62","12884","",""
"159","62","","",""
"160","62","","",""
"161","62","","",""
"162","62","18062","",""
"163","62","","",""
"164","62","","",""
"165","62","","",""
"166","62","61401","",""
"167","62","","",""
"168","62","","",""
"169","62","","",""
"170","62","71022","",""
"171","62","","",""
"172","62","","",""
"173","62","","",""
"174","62","301929","",""
"175","62","","",""
"176","62","","",""
"177","62","","",""
