Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
2,,,,,N,http://www.undp.org/content/undp/en/home/ourwork/environmentandenergy/focus_areas/ecosystems_and_biodiversity/projects/philippines_-_samarislandbiodiversity/,Samar Island Natural Park,Philippines,,N,,GEF 5.66   ALL 13.13,All activities were site related (GEF 5.66   ALL 13.13)
4,,,,,N,,Hon Mun Marine Protected Area,Vietnam,,N,,,
16,342356,,,,Y,,Laguna del Tigre,Guatemala,,N,,,
18,555555490,,,,Y,,Lewa Wild Conservancy,Kenya,,,,,
20,,,,,N,,Thicket Biome,South Africa,,N,,,
21,315513,,,,Y,,Pohnpei Watershed Forest Reserve,Micronesia,,N,,,
26,,,,,N,,Elephant reserve,Indonesia,,N,,,
30,902661,,,,Y,,Upper Mustang,Cambodia,,N,,,
49,555547583,67969,,,Y,,Songor,Ghana,,,,,
49,67966,,,,Y,,Muni- Pomadze ,Ghana,,,,,
49,67967,,,,Y,,Densu,Ghana,,,,,
49,67968,,,,Y,,Sakumo,Ghana,,,,,
49,67970,,,,Y,,Keta,Ghana,,,,,
50,2299,,,,Y,,Tana River Primate National Reserve,Kenya,East,N,,$1.91,
54,18437,,,,Y,,Bwindi Impenetrable National Park,Uganda,West,N,,,Investments were made toward site but it was not diclosed within the report how much exactly went into each of the sites. Report just gave an over view that overall $7.98 million went into improveing the biodvirsity of both parks.
54,313109,,,,Y,,Mgahinga Gorilla National Park,Uganda,West,N,,,Investments were made toward site but it was not diclosed within the report how much exactly went into each of the sites. Report just gave an over view that overall $7.98 million went into improveing the biodvirsity of both parks.
55,7516,,,,Y,,Koflandé reserve,Burkina Faso,,N,,,
55,,,,,N,http://www.agerefcl.org/,Comoé-Léraba reserve,,,N,,,
57,18,300033,,,Y,,Chaco,Bolivia,,Y,,,
57,98183,303894,,,Y,,Madidi,Bolivia,,Y,,,
57,20011,303898,,,Y,,Pilon Lajas,Bolivia,,Y,,,
57,31,,,,Y,,Noel Kempf,Bolivia,,N,,,
57,36,,,,Y,,Eduardo Avaroa,Bolivia,,N,,,
57,41,,,,Y,,Ulla Ulla,Bolivia,,N,,,
57,9308,,,,Y,,Estación Biológica del Beni Biosphere Reserve,Bolivia,,N,Beni Biological Station,,
57,20041,,,,Y,,Tariquía National Fauna and Flora Reserve,Bolivia,,N,Tariqui,,
58,900886,555542777,,,Y,,Reserva Particular do Patrimonio,Brazil,,Y,,,
61,188,9614,,,Y,,Sangay ,Ecuador,,,,,
61,186,18921,,,Y,,Yasuni National Parks ,Ecuador,,,,,
61,189,29807,,,Y,,Machalilla,Ecuador,,,,,
61,7912,555547537,,,Y,,Podocarpus ,Ecuador,,,,,
61,183,,,,Y,,Cayambe- Coca ,Ecuador,,,,,
61,187,,,,Y,,Galapagos National Park ,Ecuador,,,,,
61,81073,,,,Y,,Antisana Ecological Reserves,Ecuador,,,,,
61,,,,,N,,Cotacachi-Cayapas ,Ecuador,,,,,
62,220034,902281,12431,20062,Y,,Sian Ka'an UNESCO-MAB Biosphere Reserve,Mexico,South,Y,Sian Ka’an Biosphere Reserve,,
62,227,14305,,,Y,,Montes Azules UNESCO-MAB Biosphere Reserve,Mexico,,Y,Montes Azules Biosphere Reserve,,
62,306793,61409,,,Y,,El Vizcaíno Biosphere Reserve,Mexico,North-west,Y,Vizcaíno Biosphere Reserve,,
62,306819,903015,,,Y,,Mariposa Monarca Biosphere Reserve,Mexico,Central,Y,,,
62,12884,,,,Y,,Isla Contoy National Park,Mexico,East,N,,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
62,18062,,,,Y,,El Triunfo Biosphere Reserve,Mexico,,N,,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
62,61401,,,,Y,,Región de Calakmul UNESCO-MAB Biosphere Reserve,Mexico,South-east,Y,,,
62,71022,,,,Y,,Ría Lagartos Biosphere Reserve,Mexico,South-east,N,,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
62,301929,,,,Y,,Sierra de Manantlán Biosphere Reserve,Mexico,,N,,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
62,306780,,,,Y,,Calakmul Biosphere Reserve,Mexico,South-east,Y,Calakmul Biosphere Reserve,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
62,306810,,,,Y,,Islas del Golfo de California Flora and Fauna Protection Area,Mexico,,N,Wildlife Protection Area Islas del Golfo de California,,"29.55 Invested in ""reserve conservation"" this value wasn’t broken down into how much was invested in each specific PA"
65,14909,,,,Y,,El Kala National Park  and Wetlands  Complex region,Algeria,,,,,
69,67749,,,,Y,,Danube Delta Biosphere Reserve,Romania ,,,,,
79,840,,,,Y,,Mount Apo Nature Park,Philippines,,N,,,
79,64412,,,,Y,,Mt. Kitinglad Range and Natural Park,Philippines,,N,,,
79,317296,,,,Y,,Northern Sierra Madre Natural Park,Philippines,,N,,,
83,315645,315797,,,Y,,Changqing Nature Reserve,China,,Y,,,
83,95794,316047,,,Y,,Taibaishan,China,,Y,,,
83,95504,,,,Y,,Wuyishan,China,,N,,,
83,95793,,,,Y,,Zhouzhi,China,,N,,,
83,96091,,,,Y,,Niubeiliang Reserves,China,,N,,,
84,62663,9232,,,Y,,Buxa NP National Park,India,East,Y,Buxa,,
84,687,,,,Y,,Gir,India,West,N,,811.08 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.024
84,1792,,,,Y,,Periya,India,South,N,,1339.76 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.028
84,1805,,,,Y,,Pench Sanctuary,India,Central,N,Pench,721.84 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.027
84,1808,,,,Y,,Ranthambhore,India,North,N,,407.16 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.029
84,1835,,,,Y,,Palamau Sanctuary,India,Central-east,N,Palamau,340.91 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.026
84,4128,,,,Y,,Nagarahole,India,South,N,,1376 (Rs. in lakh),Toatls from these values <- do not add up to the money they invested in US$ (Table C in ICR) Rs. 1 = US$ 0.025
85,3011,607,,,Y,,Benoué UNESCO-MAB Biosphere Reserve,Cameroon,North-east,Y,Benoue,,
85,308624,30675,,,Y,,Boumba Bek National Park,Cameroon,South-east,Y,,,
85,478167,34788,,,Y,,Mont Kupe-Manehas Not Reported,Cameroon,West,Y,Mt Koupe,,
85,606,,,,Y,,Bouba Ndjida National Park,Cameroon,,N,Bouba-Njidda,,Annex 2 ICR: $2.14 toward Savannah Ecosystems collectively
85,1241,,,,Y,,Faro,Cameroon,North,N,,,Annex 2 ICR: $2.14 toward Savannah Ecosystems collectively
85,1242,,,,Y,,Campo-Ma'an National Park,Cameroon,,N,Campo Man'aan faunal Reserve,$4.29,Annex 2 ICR
85,1245,,,,Y,,Lobeke,Cameroon,South-east,N,,,Annex 2 ICR: $0.94 toward south-east reserves collectively
85,30674,,,,Y,,Nki National Park,Cameroon,South-east,N,Nki Faunal reserves,,Annex 2 ICR: $0.94 toward south-east reserves collectively
85,317312,,,,Y,,Mount Kilum-Ijim Community Forest,Cameroon,,N,Mt Kilum/ Ijim Reserve,$0.45,Annex 2 ICR
85,,,,,N,,Mt Cameroon Rain Forest,Cameroon,,N,,$0.14,Annex 2 ICR
87,6810,,,,Y,,Machiara National Park (MNP) in Azad Jammu & Kashmir (AJK),Pakistan,,,,Cost in Million Rupes- Machiara National Park $0.257,
87,10270,,,,Y,,Chitral Gol National Park (CGNP) in the North West Frontier Province (NWFP) ,Pakistan,,,,Cost in Million Rupes- Chitral Gol National Park $0.2 ,
87,17756,,,,Y,,Hingol National Park (HNP) in Baluchistan Province ,Pakistan,,,,Cost in Million Rupes- Hingol National Park $0.18,
92,23,4336,,,Y,,San Guillermo NP (Central Andean High Puna),Argentina,,,,,
92,10868,300079,,,Y,,Quebrada del Condorito National Park (Cordoba Montane Savanna),Argentina,,,,,
92,16846,,,,Y,,Copo NP (Semi-Arid Chaco),Argentina,,,,,
92,97545,,,,Y,,"Mburucuyá (Humid Chaco, Iberá Wetlands Ecosystem)",Argentina,,,,,
92,166727,,,,Y,,Monte León NP (Patagonian Steppe and Oceanic Patagonian Littoral),Argentina,,,,,
