Project #,,Title,"National,Regional,Global?",Country,Sub region,PA Name,WDPA ID,Other WDPA IDs,Landscape,National PAS?,Location (coordinates),Other information,Source
2391,#N/A,Facilitation of Financing for Biodiversity-based Businesses and Support of Market Development Activities in the Andean Region,Regional,Regional,,,,,,UA,,"The Tracking Tool mentions 6 PA s in Columbia and 6 in Peru, but these are not mentioned in the ProDoc or MTR",
2641,2641,Sustainable Cerrado Initiative,National,Brazil,,,,,,UA,,"The Tracking Tool mentions several national parks but these are nowhere mentioned in the MTR, PIR or Prodocs",
2709,2709,MENARID: Support to Sustainable Land Management in the Siliana Governorate,National,Tunisia,Siliana Governorate,"Jbel Esserj National
Park ",101845,,,UA,,,METTs and ProDoc
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Taibaishan,316047,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Foping,902537,96090,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Zhouzhi,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Changqing,315645,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Zhouzhi Laoxiancheng,315696,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Ningshaan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Guanyinshan,315768,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Tianhuashan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Sangyuan,315959,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Wuliangshan,315951,95751,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Motianling,315984,316474,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Niuweihe,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Yingzhuishi,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Qingmuchuan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Huangboyuan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Pingheliang,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Niangniangshan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Panlong,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Banqiao,315775,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Baofengshan,315950,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Luoyang Dani,315838,316335,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Niubeiliang,96091,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Zhuhuan,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Xushui,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Lingkou Dani,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Long Xian,,,YES,UA,,,METTS (ProDoc not available)
2787,2787,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,National,China,"Shaanxi Province, Qinling Mountain Range",Huashan,,,YES,UA,,,METTS (ProDoc not available)
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,Ningxia province,Helan national natural reserve,96070,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,Ningxia province,Shahu Lake province natural reserve,315925,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,Ningxia province,Mingcui Lake national wetland Park,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,Ningxia province,Yuehai National wetland Park,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,Ningxia province,Yinchuan Bao lake national wetland Park,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Yinchuan City Yinxi Shelterbelt Management Bureau,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Sand Lake Provincial Wetland Nature Reserve,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Yuehai Lake,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Halbao Lake,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Yueya Wetlands,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Tonggui Wetlands,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Sanding Lake,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Bao Lake,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2788,2788,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,National,China,,Yinxi Wetlands,,,,UA,,Some PA s in the METTS are not mentioned in the ProDoc and vice versa,METTs and ProDoc
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Cameroon,East province,Boumba Bek National Park,30675,308624,Yes: Tridom,no,20 8’-2058’ N and 140 43’ – 150 16’ E,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Cameroon,East province,Lobeke National Park,,,Yes: Sangha Trinational,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Equatorial Guinea,,Monte Alen National Park,,,Yes: M. Alen - M. Cristal,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Central African Republic,"Mbaere Prefecture, Banyanga Sub-Prefecture",Dzanga-Ndoki National Park,31458,,Yes: Sangha Trinational,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Central African Republic,"Sangha – Mbaere Prefecture, Banyanga Sub-Prefecture",Dzanga-Sangha National Park,31459,,Yes: Sangha Trinational,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Democratic Republic of Congo,North Kivu Province,Virunga National Park,166889,2017; 478291,Yes: Virunga,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Democratic Republic of Congo,"South-Kivu, North-Kivu and Maniema Provinces",Kahuzi-Biega National Park,1082,4328,Yes: Maiko-Tayna-Kahuzi,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Republic of Congo,Sangha and Likouala,Nouabale-Ndoki National Park,72332,,Yes: Sangha Trinational,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Gabon,,Monts de Cristal,306237,,Yes: M. Alen - M. Cristal,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Gabon,,Ivindo,303873,,Yes: Tridom,no,,,ProDoc Pg 30
2906,2906,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,Regional,Gabon,,Mwagna,,,Yes: Tridom,no,,,ProDoc Pg 30
