X,Y,SP_ID,id,latitude,longitude
-74.350906516712072,-48.932287141393047,1,1,-48.9322870000,-74.3509060000
-73.641741929679498,-48.807830711375594,2,2,-48.8078300000,-73.6417410000
-72.338857299135555,-48.362453826035548,3,3,-48.3624530000,-72.3388570000
-74.878417294835103,-47.735214964375835,4,4,-47.7352140000,-74.8784170000
-73.913811225682892,-47.80756810714616,5,5,-47.8075680000,-73.9138110000
-72.677480142111875,-47.402264002838997,6,6,-47.4022640000,-72.6774800000
-72.382327781962218,-46.97542653885781,7,7,-46.9754260000,-72.3823270000
-71.177130289086463,-47.388263599865112,8,8,-47.3882630000,-71.1771300000
-74.146432250041954,-45.751813738566383,9,9,-45.7518130000,-74.1464320000
-73.881762541670128,-46.309192135537074,10,10,-46.3091920000,-73.8817620000
-72.516676194156915,-46.790476235286313,11,11,-46.7904760000,-72.5166760000
-71.938956851331625,-46.391762973976114,12,12,-46.3917620000,-71.9389560000
-71.370181666164029,-45.7067864266645,13,13,-45.7067860000,-71.3701810000
-74.292805945722975,-45.171084033089919,14,14,-45.1710840000,-74.2928050000
-73.31044588850439,-45.162335213383827,15,15,-45.1623350000,-73.3104450000
-72.993587077050563,-45.180601756885238,16,16,-45.1806010000,-72.9935870000
-72.187891407138125,-45.39004863269615,17,17,-45.3900480000,-72.1878910000
-71.490936392917575,-45.405590139441117,18,18,-45.4055900000,-71.4909360000
-70.164169401900608,-44.96633613807316,19,19,-44.9663360000,-70.1641690000
-70.02590037243273,-45.291411910975889,20,20,-45.2914110000,-70.0259000000
-72.792856376568423,-43.404212764817373,21,21,-43.4042120000,-72.7928560000
-71.85218354819969,-44.418434628638522,22,22,-44.4184340000,-71.8521830000
-71.452850813089739,-44.447232642059078,23,23,-44.4472320000,-71.4528500000
-70.435668215267683,-43.670582351486757,24,24,-43.6705820000,-70.4356680000
-69.72155834375738,-44.215190171420303,25,25,-44.2151900000,-69.7215580000
-72.608505703651176,-42.799897637103498,26,26,-42.7998970000,-72.6085050000
-72.020082198381047,-42.623838387173514,27,27,-42.6238380000,-72.0200820000
-71.51742957325061,-42.884537314002031,28,28,-42.8845370000,-71.5174290000
-70.491026093729459,-42.877535173685381,29,29,-42.8775350000,-70.4910260000
-70.033636468273357,-43.128559998972001,30,30,-43.1285590000,-70.0336360000
-73.057958580940195,-42.007675576686509,31,31,-42.0076750000,-73.0579580000
-72.006039445266495,-41.967987323227725,32,32,-41.9679870000,-72.0060390000
-71.408717252220313,-41.66247466656074,33,33,-41.6624740000,-71.4087170000
-70.611702403508758,-41.374588053431097,34,34,-41.3745880000,-70.6117020000
-72.533081115076541,-40.516369624175283,35,35,-40.5163690000,-72.5330810000
-71.925463278394858,-40.404186985810504,36,36,-40.4041860000,-71.9254630000
-70.895459611122689,-40.541521393465082,37,37,-40.5415210000,-70.8954590000
-70.634304679333624,-40.528220093001607,38,38,-40.5282200000,-70.6343040000
-69.641216320471457,-40.997176471478241,39,39,-40.9971760000,-69.6412160000
-72.959456584388533,-39.513014304255734,40,40,-39.5130140000,-72.9594560000
-72.065846768189104,-39.732675194955831,41,41,-39.7326750000,-72.0658460000
-71.614358003158614,-39.153020186944119,42,42,-39.1530200000,-71.6143580000
-70.615945122317072,-39.301231639954679,43,43,-39.3012310000,-70.6159450000
-72.717142500331747,-38.468152798797291,44,44,-38.4681520000,-72.7171420000
-72.44714613019508,-38.430893362552034,45,45,-38.4308930000,-72.4471460000
-70.981679704197262,-38.329007464430823,46,46,-38.3290070000,-70.9816790000
-73.289161534955738,-37.561210451645579,47,47,-37.5612100000,-73.2891610000
-70.609215436635168,-35.262925183631452,48,48,-35.2629250000,-70.6092150000
-72.153279450086188,-34.659288237909053,49,49,-34.6592880000,-72.1532790000
-71.412287874537896,-34.052117239608414,50,50,-34.0521170000,-71.4122870000
-70.465026763781054,-34.299099731742018,51,51,-34.2990990000,-70.4650260000
-69.857718752903239,-34.348719197684517,52,52,-34.3487190000,-69.8577180000
-69.111147359485372,-34.521917501246641,53,53,-34.5219170000,-69.1111470000
-70.955997346470383,-33.44414182623273,54,54,-33.4441410000,-70.9559970000
-70.205125910679698,-33.152694291702915,55,55,-33.1526940000,-70.2051250000
-69.97638439758029,-33.456360550740669,56,56,-33.4563600000,-69.9763840000
-68.562759270110703,-33.906173868000856,57,57,-33.9061730000,-68.5627590000
-68.427006831844565,-33.495475536906142,58,58,-33.4954750000,-68.4270060000
-70.387941759079112,-32.661830554135868,59,59,-32.6618300000,-70.3879410000
-69.738534007918631,-32.221800247638576,60,60,-32.2218000000,-69.7385340000
-69.04833235701561,-32.261344218212734,61,61,-32.2613440000,-69.0483320000
-68.360993310183602,-32.846380008690296,62,62,-32.8463800000,-68.3609930000
-67.265568502820969,-32.164674306159576,63,63,-32.1646740000,-67.2655680000
-70.912291879912061,-31.303939214587746,64,64,-31.3039390000,-70.9122910000
-70.448184343052091,-32.084660512836919,65,65,-32.0846600000,-70.4481840000
-69.797855633167941,-31.853406479075048,66,66,-31.8534060000,-69.7978550000
-68.817382479511977,-31.51852165562536,67,67,-31.5185210000,-68.8173820000
-67.865085846737173,-31.365585809805594,68,68,-31.3655850000,-67.8650850000
-67.21995019654787,-31.329640831454178,69,69,-31.3296400000,-67.2199500000
-70.284196850454549,-30.801746587172079,70,70,-30.8017460000,-70.2841960000
-69.658866008661505,-30.548192183764058,71,71,-30.5481920000,-69.6588660000
-69.229573551943858,-30.787453333277778,72,72,-30.7874530000,-69.2295730000
-68.196634576809117,-30.696708184126297,73,73,-30.6967080000,-68.1966340000
-67.244921344036783,-30.62047029666126,74,74,-30.6204700000,-67.2449210000
-69.526920464982709,-29.666352223110724,75,75,-29.6663520000,-69.5269200000
-69.009190433364751,-29.702917842942895,76,76,-29.7029170000,-69.0091900000
