AidData ID,Geoname,Geoname ID,Latitude,Longitude,Location Class,Location Class Name,Precision Code,Date,ADM1 Name,ADM1 Code,ADM2 Name,ADM2 Code,Source URL,Source,Note,Location Type,Geographic Exactness,Geographic Exactness Name,Activities,Program GEF_ID,Project GEF_ID
906001192135,Gansu,1810676,37.75,102.75,1,Administrative Region,0,,Gansu,1810676,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Arrangement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001192135,Xinjiang Uyghur Autonomous Region,1529047,41.5,85.5,1,Administrative Region,0,,Xinjiang Uyghur Autonomous Region,1529047,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Agreement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001192135,Ningsia Hui Autonomous Region,1799355,37.25,106,1,Administrative Region,0,,Ningsia Hui Autonomous Region,1799355,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Agreement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001192135,Qinghai,1280239,36,96,1,Administrative Region,0,,Qinghai,1280239,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Agreement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001192135,China,1814991,35,105,1,Administrative Region,0,,Gansu,575,Dingxi,9793,https://drive.google.com/drive/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,CEO Endoresement,"Page 2, Project Summary Paragraph AI am coding the entire country as approximate because the funding is going directly to the national government to work on policy and regulatory frameworks. There are ADB documents in this resource as well, however i decided not to code from those and only code GEF documents. ",PCLI,2,Approximate,,3482,956
906001192135,Shaanxi,1796480,36,109,1,Administrative Region,0,,Shaanxi,1796480,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Agreement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001192135,Inner Mongolia,2035607,43.5,114.75,1,Administrative Region,0,,Inner Mongolia,2035607,,0,https://drive.google.com/drive/u/0/folders/0B-9mH-dF4K3sN0NhbmtUbWhkVTg,Financial Agreement,"coded all 6 of the provinces mentioned in the project description (pg 7 of the document used) – says that this part of the project is the first of the series, and will specifically target these areas to build institutional capacity – decided against just coding all of China because while it does mention this project is aimed at helping the government, the provinces are the direct beneficiaries of the money being donated for the project",ADM1,2,Approximate,,3482,956
906001218178,Beni Isguen,2504662,32.47484,3.70111,2,Populated Place,0,,Ghardaia,2496045,,0,,,Pilot site for local level capacity building,PPL,1,Exact,,3926,2127
906001218178,Caritamaya,3945432,-16.00884,-69.73064,2,Populated Place,0,,Puno,2348,Puno,24173,,,Pilot site for local level capacity building,PPL,1,Exact,,3926,2127
906001218178,Chile,3895114,-30,-71,1,Administrative Region,0,,,0,,0,,,National level capacity building,PCLI,2,Approximate,,3926,2127
906001218178,Lares,8350032,-13.08601,-72.02603,1,Administrative Region,0,,Cusco,2335,Calca,24074,,,"encpasulates Cuenca de Lares, a pilot site",ADM3,2,Approximate,,3926,2127
906001218178,China,1814991,35,105,1,Administrative Region,0,,,0,,0,,,National level Capacity Building,PCLI,2,Approximate,,3926,2127
906001218178,Philippines,1694008,13,122,1,Administrative Region,0,,,0,,0,,,National Level Capacity Building,PCLI,2,Approximate,,3926,2127
906001218178,Longxiang,8415757,28.14235,120.69132,2,Populated Place,0,,Zhejiang,602,Wenzhou,10107,,,Pilot site for community level capacity building,PPL,1,Exact,,3926,2127
906001218178,Puno,3931275,-15,-70,1,Administrative Region,0,,Puno,2348,Azangaro,24165,,,encapsulates Cuenca de San José,ADM1,2,Approximate,,3926,2127
906001218178,Algeria,2589581,28,3,1,Administrative Region,0,,,0,,0,,,National Level Capacity Building,PCLI,2,Approximate,,3926,2127
906001218178,Province of Ifugao,1711331,16.83333,121.16667,1,Administrative Region,0,,Cordillera,7521300,Ifugao,1711331,,,Encapsulates Ifugao Rice Terraces which are pilot sites for local level capacity building,ADM2,2,Approximate,,3926,2127
906001218178,Archipiélago de Chiloé,3895072,-42.66667,-73.91667,4,Other Topographical Feature,0,,Los Lagos (x),890,Chiloe,12954,,,PIlot communities in this region will be boosted,ISLS,2,Approximate,,3926,2127
906001218178,Tunisia,2464461,34,9,1,Administrative Region,0,,,0,,0,,,national level capacity building,PCLI,2,Approximate,,3926,2127
906001218178,Peru,3932488,-10,-75.25,1,Administrative Region,0,,Pasco,2346,Oxapampa,24155,,,National Level Capacity Building,PCLI,2,Approximate,,3926,2127
906001218178,Cusco,3941583,-13,-72.25,1,Administrative Region,0,,Cusco,2335,Calca,24074,,,Enc,ADM1,2,Approximate,,3926,2127
906001218178,Gafsa Municipality,2468352,34.5,8.75,1,Administrative Region,0,,Gafsa,2998,Gafsa Sud,39290,,,Gafsa Oasis Located Here which is a pilot site,ADM2,2,Approximate,,3926,2127
