id,gef_id,longitude,latitude,project_location_id
1,9163,32.410168,1.159544,906001152853_226074
2,9163,34.910168,-6.090929,906001152853_149590
3,9163,-14.339831,14.406685,906001152853_2245662
4,5798,-6.089831,31.893819,906001152855_2542007
5,5798,8.910168,33.891438,906001152855_2464461
6,5798,-10.589831,20.153789,906001152855_2378080
7,4362,37.910168,0.909551,906001152861_192950
8,3490,-10.756501,10.741309,906001152863_2420477
9,3960,29.910168,-3.590606,906001152865_433561
10,3960,12.410168,5.909086,906001152865_2233387
11,3960,11.660168,-1.090452,906001152865_2400553
12,3960,23.410168,-2.590524,906001152865_203312
13,3960,10.410168,1.609526,906001152865_2309096
14,3960,29.910168,-2.090493,906001152865_49518
15,3960,20.910168,6.908911,906001152865_239880
16,3960,6.910168,0.909551,906001152865_2410758
17,3960,15.410168,-1.090452,906001152865_2260494
18,3960,18.910168,14.906477,906001152865_2434508
19,3872,8.910168,17.905055,906001152867_2440476
20,3872,37.910168,0.909551,906001152867_192950
21,3872,23.410168,-2.590524,906001152867_203312
22,3872,39.410168,8.908477,906001152867_337996
23,3872,32.410168,1.159544,906001152867_226074
24,3872,46.910168,-20.096118,906001152867_1062947
25,3231,74.910168,41.380067,906001152869_1527747
26,3231,70.910168,38.884338,906001152869_1220409
27,3231,63.743498,41.546433,906001152869_1512440
28,3231,59.576838,39.633113,906001152869_1218197
29,3231,67.910168,47.866013,906001152869_1522867
30,3779,10.410168,1.609526,906001152871_2309096
31,3779,11.660168,-1.090452,906001152871_2400553
32,3779,12.410168,5.909086,906001152871_2233387
33,3779,20.910168,6.908911,906001152871_239880
34,3779,23.410168,-2.590524,906001152871_203312
35,3779,15.410168,-1.090452,906001152871_2260494
36,5898,-56.089831,3.909353,906001152873_3382998
37,5898,158.910168,-8.091312,906001152873_2103350
38,5898,-65.089831,-17.094484,906001152873_3923057
39,5898,16.910168,27.897923,906001152873_2215636
40,5898,125.660168,-8.924835,906001152873_1966436
41,5898,179.054948,-8.608619,906001152873_2110297
42,5898,146.910168,-6.090929,906001152873_2088628
43,5898,177.910168,-18.094994,906001152873_2205218
44,5898,28.410168,-14.426614,906001152873_895949
45,5898,-175.08983,-20.096118,906001152873_4032283
46,5898,-89.006501,13.740281,906001152873_3585968
47,5898,104.910168,12.907264,906001152873_1831722
48,5898,47.660168,29.396481,906001152873_285570
49,3386,-14.339831,14.406685,906001152875_2245662
50,5699,67.910168,47.866013,906001152877_1522867
51,3431,29.910168,-3.590606,906001152883_433561
52,3262,90.410168,27.39838,906001152885_1252634
53,3230,63.743498,41.546433,906001152891_1512440
54,3230,74.910168,41.380067,906001152891_1527747
55,3230,67.910168,47.866013,906001152891_1522867
56,3230,70.910168,38.884338,906001152891_1220409
57,3230,59.576838,39.633113,906001152891_1218197
58,5824,37.910168,0.909551,906001152903_192950
59,5824,39.410168,8.908477,906001152903_337996
60,5824,-75.339831,-10.091807,906001152903_3932488
61,5824,119.910168,-5.090779,906001152903_1643084
62,5824,107.743498,16.072629,906001152903_1562822
63,5824,104.910168,34.890155,906001152903_1814991
