"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","ltdr_yearly_ndvi_mean.2014.mean","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"4",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,2046.53125,0.285750694758891,0.285750694758891,7161.94671626891,0.285750694758891,880.012278062807,260,"Southern Africa Biodiversity Support Programme"
"9",1601.7164306641,1733.2818603516,1219.848540146,1.1355036497,30.4266055046,33.6315727234,0,13.3813540516,-19,29.75,93.25,0,31.7916666667,23.3,14,20.075,7.8717948718,2773.15673828,1,2684.34228516,0.369449666648484,0.369449666648484,7265.78618817388,0.369449666648484,880.012278062807,260,"Southern Africa Biodiversity Support Programme"
"23",2084.5334472656,2002.5631103516,269.5267080745,0.1427975744,246.1126760563,23.0271282196,0,0.6266256636,14.659,-4.908,110.1,0,27.3333333333,34.3,24.2,29.3833333333,0,2035.25927734,1,1976.79736328,0.185218982952829,0.185218982952829,10672.7578985975,0.185218982952829,880.012278062807,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"37",1949.7779541016,2617.4458007813,2090.9130952381,0.6798189878,215.7729357798,13.3777446747,0,0.0017182672,23,-102,199.575,1.1,54.5375,20.15,10.95,15.8270833333,0.9686800895,1668.50488281,1,1456.69274902,0.512451414545025,0.512451414545025,2842.59679586075,0.512451414545025,-1076.7378538297,1571,"EcoEnterprises Fund"
"39",2211.5925292969,11276.173828125,3061.5064102564,16.0561580658,1498.2233009709,4.1752257347,2,62.2505491662,-1.25,-78.25,283.5,105,189.2166666667,16.2,14,15.2833333333,0,1059.84619141,1,1146.04846191,0.871181126170602,0.871181126170602,1315.51112332703,0.871181126170602,-1076.7378538297,1571,"EcoEnterprises Fund"
"49",2211.5925292969,11276.173828125,3061.5064102564,16.0561580658,1498.2233009709,4.1752257347,2,62.2505491662,-1.25,-78.25,283.5,105,189.2166666667,16.2,14,15.2833333333,0,1059.84619141,1,1146.04846191,0.871181126170602,0.871181126170602,1315.51112332703,0.871181126170602,-1076.7378538297,3037,"Conservation and Use of Crop Genetic Diversity to Control Pests and Diseases in Support of Sustainable Agriculture (Phase 1)"
"55",1949.7779541016,2617.4458007813,2090.9130952381,0.6798189878,215.7729357798,13.3777446747,0,0.0017182672,23,-102,199.575,1.1,54.5375,20.15,10.95,15.8270833333,0.9686800895,1668.50488281,1,1456.69274902,0.512451414545025,0.512451414545025,2842.59679586075,0.512451414545025,-1076.7378538297,2342,"Conservation and Sustainable Management of Below Ground Biodiversity, Tranche 2"
"73",1088.4144287109,873.2449951172,14.6502186134,0.4408009946,350.2081339713,47.9596443176,0,4.5861352914,13.729,-15.091,176.8,0,51.975,31.5,26,28.85,0,2337.95922852,1,2126.41503906,0.301057403250986,0.301057403250986,7063.15478741854,0.301057403250986,880.012278062807,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"101",1601.7164306641,1733.2818603516,1219.848540146,1.1355036497,30.4266055046,33.6315727234,0,13.3813540516,-19,29.75,93.25,0,31.7916666667,23.3,14,20.075,7.8717948718,2773.15673828,1,2684.34228516,0.369449666648484,0.369449666648484,7265.78618817388,0.369449666648484,880.012278062807,2714,"National Reporting to the CBD: Supporting Countries to Prepare the Third National Report on Biodiversity, Phase I"
"118",2300.9724121094,19195.8984375,1990.153164557,13.1416225433,963.6682464455,17.8531646729,1,91.0674641344,9.197,-82.82181,503.7,122.8,228.8583333333,19.2,18.3,18.75,0,1548.27160645,1,1619.5045166,0.863578921990607,0.863578921990607,1875.34048754564,0.863578921990607,-1076.7378538297,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"123",2410.3325195313,12433.5,1082.5663265306,12.715174675,933.6370192308,17.7883090973,1,95.321432359,9.25,-82.65,503.7,122.8,228.8583333333,19.2,18.3,18.75,0,1774.91101074,1,1598.48754883,0.910410072749816,0.910410072749816,1755.78851407246,0.910410072749816,-1076.7378538297,2102,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project"
"148",2447.6479492188,1792.2159423828,1116.8825167038,6.2801613808,531.5498938429,1.7842184305,0,0.3428338779,-30.31466,18.08278,58,4.8,20.9166666667,23.3,10.65,17.1541666667,0,2361.27978516,1,2194.65307617,0.246319621169486,0.246319621169486,8909.77773410879,0.246319621169486,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"149",2007.2369384766,1125.9636230469,1313.9348458406,1.9357315302,239.5243362832,69.4230880737,0,5.8507987715,-25.4812,25.96508,134.725,3.875,43.8416666667,24.1,11.2,19.3541666667,2.6703296703,2528.07470703,1,2278.16723633,0.33120811078105,0.33120811078105,6878.35581972211,0.33120811078105,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"155",2635.8459472656,927.6491088867,1420.4825783972,0.4022527933,238.1818181818,67.1136245728,0,3.2793068612,-25.95559,25.80782,141.5,3.75,48.45,23.6,10.95,19.1791666667,2.3793859649,2129.99511719,1,2330.48876953,0.293759839402346,0.293759839402346,7933.3130569222,0.293759839402346,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"156",2225.5788574219,1911.7581787109,301.3474470735,0.3154999018,128.3849765258,39.0776023865,0,0.0745501164,14.083,-2.45,176.3666666667,0,42.8861111111,34.2666666667,24.2666666667,29.4972222222,0,1498.21447754,1,1240.55969238,0.187848508205429,0.187848508205429,6604.0433551026,0.187848508205429,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"157",2107.2021484375,1430.833984375,919.5949074074,0.3741714954,1201.6238938053,0.3779059947,0,0,-26.45555,20.36737,41.2,0,13.3291666667,28.75,12.4,22.2625,0,1991.19628906,1,1666.9543457,0.109235106868541,0.109235106868541,15260.2436477322,0.109235106868541,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"161",3594.1655273438,1998.7498779297,1042.0431415929,1.2827686071,468.8689217759,0.158097297,0,0.0001532927,-31.02538,19.91685,41.375,2,17.3208333333,23.65,9.25,16.7916666667,0,1544.96533203,1,1604.86071777,0.149118723071904,0.149118723071904,10762.3019075623,0.149118723071904,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"164",2220.85546875,2016.5129394531,975.4011560694,0.206350103,546.8406113537,0.7126381397,0,1.75939406468e-05,-26.05,22.45,79.725,0.75,23.95625,28.8,12.925,22.6791666667,2.1873638344,2028.66674805,1,1888.9909668,0.181665571601757,0.181665571601757,10398.1780925502,0.181665571601757,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"165",2269.1813964844,1950.6070556641,1114.5019542155,4.0518574715,543.7789473684,1.1122932434,0,0.0060206707,-30.36571,18.25581,63,7.3,24.3916666667,22.1,9.1,15.8,0,2042.00024414,1,1771.7644043,0.211146966949746,0.211146966949746,8391.14305024183,0.211146966949746,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"169",1922.2536621094,715.1856079102,1270.7616009281,0.4935452044,201.2699115044,388.0979919434,0,0.5794625711,-25.88333,25.56667,129.7,2.95,44.2625,24.6,11.9,20.1708333333,17.6296296296,2048.77514648,1,2017.76916504,0.34135081036857,0.34135081036857,5911.13043751481,0.34135081036857,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"172",1964.1822509766,2019.0819091797,50.3125,0.101266861,291.3995327103,12.8586606979,0,0.4217925064,14.5,-14.25,168.7,0,43.6125,33.35,26.1,29.6041666667,0,2073.81884766,1,1774.54138184,0.23054599228254,0.23054599228254,7697.1252645557,0.23054599228254,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"176",1601.7164306641,1733.2818603516,1219.848540146,1.1355036497,30.4266055046,33.6315727234,0,13.3813540516,-19,29.75,93.25,0,31.7916666667,23.3,14,20.075,7.8717948718,2773.15673828,1,2684.34228516,0.369449666648484,0.369449666648484,7265.78618817388,0.369449666648484,880.012278062807,1242,"Desert Margin Programme, Phase 1"
"186",2093.2109375,2482.1418457031,3515.0448717949,8.3842802048,345.5606796117,59.8862113953,0,14.0324111347,-1.91667,-78.75,224.65,0.9,57.4083333333,11.2,9.35,10.4166666667,2.2805755396,1411.59790039,1,1470.91320801,0.554149876472759,0.554149876472759,2654.35989514708,0.554149876472759,-1076.7378538297,3266,"Management of Chimborazo's Natural Resources"
"187",1995.2618408203,1096.2058105469,2941.0461538462,12.0977611542,206.7912621359,384.0565490723,2,34.0596150467,-1.25,-78.5,219.45,54.95,121.6916666667,13.65,11.3,12.7083333333,8.5971223022,1822.15600586,1,1779.16943359,0.954202041801076,0.954202041801076,1864.5625932971,0.954202041801076,-1076.7378538297,3266,"Management of Chimborazo's Natural Resources"
"188",2423.6589355469,2941.2595214844,2407.8980769231,13.2212677002,211.9927184466,80.3826828003,0,42.8100665949,-1.58333,-79.08333,385.2666666667,3.4666666667,115.3666666667,19.9666666667,17.7666666667,18.9972222222,3.618705036,1471.3951416,1,1365.52954102,0.719062251347983,0.719062251347983,1899.0421739705,0.719062251347983,-1076.7378538297,3266,"Management of Chimborazo's Natural Resources"
"205",2195.0649414063,880.5285644531,109.0412037037,1.2025601864,10.890459364,102.8965911865,0,9.830853563,44.81892,20.45998,87,13.4,43.4083333333,23.95,0.15,13.15,45.9383802817,2568.54614258,1,2999.85839844,0.606735618356332,0.606735618356332,4944.25958800099,0.606735618356332,880.012278062807,2605,"Transitional Agriculture Reform"
"208",1949.7779541016,2617.4458007813,2090.9130952381,0.6798189878,215.7729357798,13.3777446747,0,0.0017182672,23,-102,199.575,1.1,54.5375,20.15,10.95,15.8270833333,0.9686800895,1668.50488281,1,1456.69274902,0.512451414545025,0.512451414545025,2842.59679586075,0.512451414545025,-1076.7378538297,1842,"Indigenous Peoples' Network for Change"
"211",2211.5925292969,11276.173828125,3061.5064102564,16.0561580658,1498.2233009709,4.1752257347,2,62.2505491662,-1.25,-78.25,283.5,105,189.2166666667,16.2,14,15.2833333333,0,1059.84619141,1,1146.04846191,0.871181126170602,0.871181126170602,1315.51112332703,0.871181126170602,-1076.7378538297,1842,"Indigenous Peoples' Network for Change"
