"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","ltdr_yearly_ndvi_mean.2014.mean","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"33",3190.3547363281,2876.3386230469,629.4379256155,4.5788741112,181.294,58.1802177429,0,7.0658559791,36.1063281,9.61547,67.35,7.45,28.3916666667,28.2,8.8,18.6333333333,1.6640159046,1759.7364502,1,2201.04785156,0.043198159433404,0.043198159433404,50952.3526101436,0.043198159433404,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"34",2083.9553222656,5378.4077148438,787.0825013137,2.992020607,211.061752988,54.8338813782,0,0.0300868338,35.6480565,9.21237,84,12.5,35.9916666667,25,4.9,14.9833333333,1.828,1107.16772461,1,1432.93713379,0.115006830049694,0.115006830049694,12459.5829062573,0.115006830049694,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"35",1938.3059082031,3779.8957519531,625.3011035208,3.0698206425,146.6792828685,53.9394454956,0,4.2832311305,35.9826977,9.39902,93.85,12.7,38.1333333333,26.9,6.85,16.9583333333,2.9819639279,1676.59802246,1,2188.86645508,0.0593877585254553,0.0593877585254553,36857.1993526543,0.0593877585254553,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"37",2823.2216796875,3693.896484375,614.5749475891,5.0767168999,222.6812749004,68.709487915,0,8.3322443114,35.9921425,9.61572749,67.35,7.45,28.3916666667,28.2,8.8,18.6333333333,2.1312127237,1678.74768066,1,2080.71582031,0.0358606935525662,0.0358606935525662,58022.1856908594,0.0358606935525662,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"38",2687.8745117188,6708.6625976563,448.3347280335,2.4343307018,277.456,53.7690849304,0,0.1802395755,36.2500587,9.5,93.8,12,36.9375,28.35,8.7,18.6833333333,0.3762376238,1364.57299805,1,1987.76013184,0.0649365529028828,0.0649365529028828,30610.8045927975,0.0649365529028828,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"39",2632.5537109375,3635.1374511719,649.4327731092,3.0461666584,144.092,53.7741775513,0,0.508580207,36.0000578,9.33333,93.85,12.7,38.1333333333,26.9,6.85,16.9583333333,3.0798403194,1517.86230469,1,2064.08666992,0.0981703585825047,0.0981703585825047,21025.5590355748,0.0981703585825047,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"40",1833.0096435547,2821.3740234375,378.4752217006,2.7325725555,124.8523622047,59.2143478394,0,2.8103767209,36.3405588,9.32037767,103.7,12.9,40.275,28.8,8.8,18.9333333333,2.1663326653,1413.86315918,1,1998.60888672,0.0766624881435952,0.0766624881435952,26070.2324581018,0.0766624881435952,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"41",1709.5297851563,3900.1879882813,273.5906005222,2.1193933487,170.8079207921,57.5090255737,0,1.4941844958,36.3654091,9.46114,93.8,12,36.9375,28.35,8.7,18.6833333333,1.484063745,1412.37219238,1,1995.29907227,0.0685199873747755,0.0685199873747755,29119.956799708,0.0685199873747755,-833.029453256259,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"42",3285.8081054688,3718.2700195313,779.3803261441,3.1539640427,180.3535353535,60.7113456726,0,5.780738182,35.796767,9.38447,84,12.5,35.9916666667,25,4.9,14.9833333333,1.7564356436,1504.48510742,1,1822.59020996,0.0555992027137643,0.0555992027137643,32780.8695269077,0.0555992027137643,994.341312551723,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"43",2082.4978027344,8999.6708984375,27.3296582139,0.2566369474,237.5889830508,125.2560195923,0,0,31.5000438,49,68.6,0,22.7354166667,38.75,10.675,25.9770833333,8.7896907217,1321.11828613,1,910.308288574,0.00934759027274259,0.00934759027274259,97384.2735949224,0.00934759027274259,-833.029453256259,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"52",2153.1413574219,2049.1801757813,937.2484210526,1.6003733873,186.008,5.2810468674,1,0,35.500056,55,87.65,10.8,40.1375,29.575,5.9,18.2104166667,0.6327345309,870.87890625,1,668.16998291,0.114876816736316,0.114876816736316,5816.40405690985,0.114876816736316,994.341312551723,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
