"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","years_since_implementation","treatment","ndvi_pre_post_diff","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"6",1381.56285854678,2982.47803520032,57.013370906952,0.771655502612217,153.395161143767,119.246518009864,1.20000004768,20.4930619917,6.409002,1.243498,157.242418599277,2.9000994282062,72.7562505229562,29.1499751429484,25.2499254288453,27.3249627144227,0,2238.14567994,1,1,94.7702944583,0.0516677247994528,0.0516677247994528,1834.22619877591,0.0516677247994528,373.934927720519,4709,"GGW: Integrated Disaster and Land Management (IDLM) Project"
"36",2441.19437849393,1745.35930298136,441.585127253311,0.317771960109889,198.252002728294,109.418998718262,0,0.000107234820882,13.37685,7.652358,209.144932977869,0,42.3806573632944,34.1839668458394,20.1839668458394,27.9856968637567,0.376965528079,2013.68645069,0,1,-163.926352985,0.485449213600099,0.485449213600099,-337.679716832415,0.485449213600099,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"40",2636.33954433508,2447.13939172985,273.084004582071,0.688222704723267,241.952497873943,19.3557935196507,0,4.74403927233e-06,14.422678,1.353168,107.862938170246,0,30.2468914717027,35.7999498408553,23.6335005304822,30.0028272402677,0,1310.87332056,0,1,-50.0734245592,0.681526825395804,0.681526825395804,-73.4724191232228,0.681526825395804,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"56",2658.87131289827,2710.55098193718,301.228987838617,0.745368843697699,148.285461716374,45.0807991027832,0,1.18773149508e-05,14.156786,4.910168,131.35,0,33.7875,35.55,22.85,29.6166666666667,0,1340.05688907,0,1,-97.5527821108,0.647369174527814,0.647369174527814,-150.691114049343,0.647369174527814,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"57",2600.5862088834,1730.74042814356,482.739521852396,2.03207778463662,311.809579805906,103.469132229505,0,0.00101839021619,14.340042,5.910168,140.691013505817,0,32.6426477892627,34.7832748576381,21.6667251423619,28.7795922701576,0.30517585848,1678.94294294,0,1,-147.640767714,0.610749054426353,0.610749054426353,-241.737202282977,0.610749054426353,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"70",2737.36948078129,2784.70951843171,246.012938438106,0.400995737097752,199.852785698701,13.7997303009033,0,0.131650837382,13.007227,1.410168,130.55,0,39.8833333333333,34.8,23.4,29.2125,0,1780.20450088,0,1,-218.956592926,0.611129285609789,0.611129285609789,-358.281951269155,0.611129285609789,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"71",2803.0699426562,2749.90110796353,359.403876136432,0.795257221002554,213.483895045987,64.1845684800225,0,7.18366880914e-06,13.906766,6.010288,150.155711504127,0,33.5043525171978,34.7,21.5001087905548,28.6666938643054,0,1648.09412244,0,1,-134.318619622,0.538848808348206,0.538848808348206,-249.269586461074,0.538848808348206,-246.190261893497,5252,"GGW: Third Phase of the Community Action Program"
"83",2479.10261108546,2727.76357542629,191.014105503321,0.930487618518605,193.795496138319,29.607629776001,55.5999984741,8.76737505307,9.52499,0.543498,246.2,0,88.25,31.3,26,28.1416666666667,0,2593.2064839,1,1,-63.064357495,0.126663547488926,0.126663547488926,-497.888767093892,0.126663547488926,-246.190261893497,4709,"GGW: Integrated Disaster and Land Management (IDLM) Project"
"84",2805.96748963162,1768.29107343532,281.177938838315,2.50125542500109,312.303857681898,89.0009536743164,23.1100006104,1.51527016724,10.611628,0.117388,219.4,0,69.5416666666667,32.1,25.4,28,0,2181.93692803,1,1,-69.917386415,0.121659038390885,0.121659038390885,-574.699482584751,0.121659038390885,-246.190261893497,4709,"GGW: Integrated Disaster and Land Management (IDLM) Project"
"86",2625.53065850445,2165.60483411256,275.830677255365,0.221228569917578,388.672583181229,7.78680277024793,0,0.000629713756599,14.89731,-7.543722,170.341490795176,0,35.2106038889714,35.6110707010801,24.1444126937058,29.719395375121,0,1773.48723152,0,1,75.9932140023,0.651432869304988,0.651432869304988,116.655479916721,0.651432869304988,-246.190261893497,5270,"GGW Natural Resources Management in a Changing Climate in Mali "
