"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"27",2347.5747070313,3629.1430664063,751.4443829552,4.7910752296,118.1236897275,67.855682373,0,0.000152766,31.3555735,35.78007,103,0,31.2916666667,26.7,6.9,17.6,8.6186440678,1360.48522949,0.107129999121,1,3,0.0425512695557635,0.0425512695557635,70.5031843073095,0.0425512695557635,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"28",1220.8083496094,8128.7954101563,868.514541387,0.2632760704,414.093220339,1.8370170593,0,0,30.3333709,36.58333,11.55,0,4.2083333333,28.6,7.4,19.1,0,1345.12866211,1.18958977954,1,3,0.0181076684481103,0.0181076684481103,165.675664351645,0.0181076684481103,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"29",4949.7802734375,3848.2666015625,1163.979966611,7.1532869339,215.1747368421,28.0656814575,0,0.0013634572,30.681512,35.6118899,71.3,0,23.5583333333,25.7,5.4,16.5,4.5881104034,1354.68322754,0.166224018528,1,3,0.0289551292563374,0.0289551292563374,103.608586010487,0.0289551292563374,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"30",4461.4028320313,4585.4038085938,1011.4572222222,8.5089817047,205.3580508475,30.8763484955,0,0.0015709463,30.7500419,35.58333,64.8,0,20.9625,29.6,9.6,20.4791666667,8.071278826,1397.02331543,0.154006416692,1,3,0.0260989171762207,0.0260989171762207,114.947297611771,0.0260989171762207,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"31",2700.4914550781,4286.9775390625,902.1813643927,1.8182804585,156.5687103594,42.5550613403,0,0,31.161253,35.82527,103,0,31.2916666667,26.7,6.9,17.6,6.9894957983,1216.02514648,0.300644220006,1,3,0.0459474431674225,0.0459474431674225,65.2919900040716,0.0459474431674225,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"32",2469.6567382813,4922.2915039063,654.1804008909,9.5769987106,221.3966244726,30.9656295776,1,0.0002083088,30.8279221,35.54781,64.8,0,20.9625,29.6,9.6,20.4791666667,6.6012658228,1354.26086426,0.178939552173,1,3,0.0426436592828774,0.0426436592828774,70.350435456288,0.0426436592828774,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"33",2849.58203125,3214.2980957031,942.9224376731,4.7566518784,136.7205882353,73.8566207886,0,7.56102376262e-05,31.0081726,35.75605,87.15,0,27.425,26.2,6.15,17.05,7.8757894737,1275.40148926,0.450976409286,1,3,0.0411811593596208,0.0411811593596208,72.8488475470551,0.0411811593596208,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"34",2995.8127441406,2627.5805664063,1268.4180100056,5.0093002319,238.3010526316,23.968416214,0,0,30.4980614,35.5560938,43.725,0,14.5520833333,29.225,8.95,20.19375,5.0295983087,1310.61621094,0.213683603512,1,3,0.0227887343685795,0.0227887343685795,131.64399353991,0.0227887343685795,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"35",3283.6921386719,4911.9931640625,1097.6648044693,6.8953428268,321.6404255319,43.2434921265,0,0.0001141992,30.3298608,35.44144,22.65,0,8.1416666667,28.85,8.3,19.9083333333,6.531779661,1306.09899902,0.351164637337,1,3,0.0178052985877797,0.0178052985877797,168.489171086352,0.0178052985877797,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"36",3158.6418457031,2274.4812011719,988.7081949059,2.6266317368,98.6991525424,48.9273757935,0,0.0007737114,31.166713,35.75,103,0,31.2916666667,26.7,6.9,17.6,16.0935550936,1401.15808105,0.298340021652,1,3,0.0464376821311328,0.0464376821311328,64.6027075926931,0.0464376821311328,3,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
