"","count","ncat","improve","index","adj"
"gpw_v3_density.2000.mean",648,1,1.7775975780609e-09,0.098583530634621,0
"srtm_slope_500m.na.mean",648,1,1.77621257139786e-09,0.100540783447179,0
"latitude",648,1,1.77382576965068e-09,5.598019,0
"longitude",648,1,1.77309173364521e-09,-58.964831,0
"ltdr_yearly_ndvi_mean.2002.mean",648,-1,1.77296882607051e-09,2944.139727975,0
"udel_precip_v4_01_yearly_max.2002.mean",0,1,0.996913580246914,4.54062554741967,0.333333333333333
"udel_precip_v4_01_yearly_mean.2002.mean",0,1,0.996913580246914,0.773413424914942,0.333333333333333
"treecover2000.na.mean",645,-1,3.10599942055335e-09,77.02223151785,0
"latitude",645,1,3.10420346245838e-09,5.598019,0
"udel_air_temp_v4_01_yearly_min.2002.mean",645,-1,3.10241393645379e-09,25.5,0
"ltdr_yearly_ndvi_mean.2002.mean",645,-1,3.10217033679108e-09,2944.139727975,0
"srtm_elevation_500m.na.mean",645,1,3.10189399056436e-09,137.413943279744,0
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.942635658914729,82.25,0.15909090909091
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.937984496124031,299.114110626977,0.0909090909090916
"accessibility_map.na.mean",0,-1,0.934883720930233,1999.57472736495,0.0454545454545458
"longitude",0,-1,0.934883720930233,143.6811365,0.0454545454545458
"ltdr_yearly_ndvi_mean.2002.mean",0,-1,0.933333333333333,4071.204505175,0.0227272727272737
"years_since_implementation",601,-1,7.45652547133998e-09,2.5,0
"latitude",601,1,7.45649840528134e-09,-24.5992,0
"gpw_v3_density.2000.mean",601,-1,7.45447740523365e-09,130.091304307587,0
"longitude",601,1,7.45278955004612e-09,-58.964831,0
"srtm_slope_500m.na.mean",601,1,7.45136039391506e-09,0.0923156829086976,0
"udel_air_temp_v4_01_yearly_max.2002.mean",0,1,0.672212978369384,27.6785807874733,0.208835341365462
"gpw_v3_density.2000.mean",0,-1,0.670549084858569,119.333488670663,0.204819277108434
"longitude",0,-1,0.668885191347754,32.7510705,0.200803212851405
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.660565723793677,304.076597136649,0.180722891566265
"srtm_slope_500m.na.mean",0,-1,0.658901830282862,3.25566572259188,0.176706827309237
"latitude",352,1,1.10777289863663e-07,-24.300593,0
"udel_precip_v4_01_yearly_max.2002.mean",352,-1,1.10552042046499e-07,264.078382177112,0
"longitude",352,-1,1.10436184903148e-07,91.774581,0
"treecover2000.na.mean",352,-1,1.10366994787534e-07,31.35879939645,0
"udel_precip_v4_01_yearly_mean.2002.mean",352,-1,1.10357889886137e-07,130.760868557138,0
"latitude",341,-1,1.72193550594914e-07,6.022127,0
"udel_precip_v4_01_yearly_max.2002.mean",341,-1,1.72151532790162e-07,264.078382177112,0
"longitude",341,-1,1.72083855658367e-07,91.774581,0
"udel_precip_v4_01_yearly_mean.2002.mean",341,-1,1.71918682127458e-07,130.760868557138,0
"srtm_elevation_500m.na.mean",341,-1,1.71822342458629e-07,2545.4418846607,0
"ltdr_yearly_ndvi_mean.2002.mean",0,1,0.879765395894428,2964.12757697,0.163265306122449
"longitude",0,-1,0.87683284457478,-28.226733,0.142857142857143
"udel_air_temp_v4_01_yearly_min.2002.mean",0,1,0.873900293255132,26.9652949446312,0.122448979591837
"treecover2000.na.mean",0,1,0.870967741935484,42.6208916231,0.102040816326531
"udel_precip_v4_01_yearly_min.2002.mean",0,1,0.868035190615836,38.35,0.0816326530612244
"latitude",292,1,2.19012234495638e-07,8.8239525,0
"longitude",292,-1,2.17814610172933e-07,82.759428,0
"udel_precip_v4_01_yearly_mean.2002.mean",292,-1,2.17544110389104e-07,110.091468209507,0
"srtm_slope_500m.na.mean",292,-1,2.17500033264843e-07,6.12800758147942,0
"udel_air_temp_v4_01_yearly_min.2002.mean",292,-1,2.17462235880811e-07,23.6686537062403,0
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.924657534246575,26.55,0.0833333333333337
"treecover2000.na.mean",268,-1,4.06227350761819e-06,23.32309459465,0
"longitude",268,-1,4.05297534656286e-06,82.759428,0
"srtm_slope_500m.na.mean",268,-1,4.02974718033391e-06,6.12800758147942,0
"gpw_v3_density.2000.mean",268,-1,4.01543657813409e-06,77.8257138679774,0
"ltdr_yearly_ndvi_mean.2002.mean",268,-1,4.00334808566576e-06,1822.45967742,0
"ltdr_yearly_ndvi_mean.2002.mean",0,-1,0.947761194029851,2921.6605254,0.416666666666666
"srtm_slope_500m.na.mean",0,-1,0.936567164179104,5.74202740970718,0.291666666666667
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.936567164179104,13.05,0.291666666666667
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.932835820895522,103.206287609685,0.250000000000001
"longitude",0,-1,0.925373134328358,106.355277,0.166666666666667
"udel_precip_v4_01_yearly_mean.2002.mean",244,-1,4.69881492010678e-06,105.076138969424,0
"udel_precip_v4_01_yearly_max.2002.mean",244,-1,4.69562312650819e-06,365.089281489529,0
"years_since_implementation",244,-1,4.68566945896411e-06,0.5,0
"srtm_slope_500m.na.mean",244,-1,4.68395013094222e-06,2.04277886405831,0
"treecover2000.na.mean",244,-1,4.68076154819153e-06,14.68214016815,0
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.975409836065574,467.045524733357,0.454545454545454
"dist_to_all_rivers.na.mean",0,-1,0.967213114754098,12018.7558888432,0.272727272727272
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.967213114754098,21.6741457194728,0.272727272727272
"latitude",0,-1,0.963114754098361,43.832826,0.181818181818182
"years_since_implementation",233,-1,8.17979982042101e-06,1.5,0
"srtm_slope_500m.na.mean",233,-1,8.16550076453147e-06,2.04277886405831,0
"dist_to_all_rivers.na.mean",233,-1,8.1635645647533e-06,2975.4818034771,0
"longitude",233,-1,8.15432701854686e-06,9.195168,0
"udel_precip_v4_01_yearly_min.2002.mean",233,-1,8.15150372024642e-06,9.56650128443982,0
"latitude",0,-1,0.879828326180258,35.111404,0.263157894736842
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.871244635193133,9.56650128443982,0.210526315789473
"udel_air_temp_v4_01_yearly_min.2002.mean",0,1,0.849785407725322,9,0.0789473684210522
"udel_precip_v4_01_yearly_max.2002.mean",0,1,0.84549356223176,11.2483099871861,0.0526315789473681
"udel_precip_v4_01_yearly_mean.2002.mean",0,1,0.84549356223176,2.2767556960749,0.0526315789473681
"udel_air_temp_v4_01_yearly_max.2002.mean",195,-1,0.000963873563116565,22.6815359589261,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",195,-1,0.000963840470733665,14.575,0
"udel_air_temp_v4_01_yearly_min.2002.mean",195,-1,0.00096297204513738,6.16635488212471,0
"latitude",195,1,0.000962744814872339,10.2451405,0
"years_since_implementation",195,-1,0.000962620482760159,0.5,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.974358974358974,13.5393294637686,0.5
"srtm_elevation_500m.na.mean",0,1,0.964102564102564,2251.81430623716,0.300000000000001
"latitude",0,1,0.964102564102564,39.5367565,0.300000000000001
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.964102564102564,-2.66965292340358,0.300000000000001
"wdpa_5km.na.sum",0,1,0.958974358974359,289.6799926755,0.200000000000001
"udel_precip_v4_01_yearly_min.2002.mean",185,-1,0.000996904987648486,2.50990648232467,0
"latitude",185,-1,0.000996904987648482,35.7052275,0
"ltdr_yearly_ndvi_mean.2002.mean",185,-1,0.000995200478554667,2778.68029294,0
"treecover2000.na.mean",185,-1,0.000995006487189229,11.2600839811,0
"gpw_v3_density.2000.mean",185,-1,0.000993316615094382,673.1563494015,0
"latitude",183,1,0.00152290394825564,10.2451405,0
"ltdr_yearly_ndvi_mean.2002.mean",183,-1,0.00152222988391277,2778.68029294,0
"gpw_v3_density.2000.mean",183,1,0.00151358005044645,21.2394753965008,0
"years_since_implementation",183,1,0.00151266779448707,0.5,0
"srtm_elevation_500m.na.mean",183,-1,0.00151244103199591,145.666112366818,0
"treecover2000.na.mean",0,-1,0.967213114754098,12.7200994305,0.333333333333333
"dist_to_all_rivers.na.mean",174,-1,0.441195586309025,4274.7429004904,0
"gpw_v3_density.2000.mean",174,-1,0.41859367813055,425.349728585372,0
"udel_precip_v4_01_yearly_min.2002.mean",174,-1,0.406282129342754,0.5141556252359,0
"srtm_slope_500m.na.mean",174,-1,0.404059010593518,5.103073468045,0
"ltdr_yearly_ndvi_mean.2002.mean",174,-1,0.393070693152908,921.726199128,0
"latitude",171,1,0.9828105789418,10.750067,0
"udel_precip_v4_01_yearly_min.2002.mean",171,-1,0.977643734400957,1.1,0
"years_since_implementation",171,-1,0.976084574238996,0.5,0
"gpw_v3_density.2000.mean",171,1,0.973048895248739,27.0760705470573,0
"wdpa_5km.na.sum",171,-1,0.972702594257093,218.5499954225,0
"treecover2000.na.mean",0,-1,0.976608187134503,9.959214645865,0.333333333333333
"dist_to_all_rivers.na.mean",6,1,1.14740768399951,2644.60405181277,0
"dist_to_roads.na.mean",6,-1,1.14740768399951,2059.58402928407,0
"treecover2000.na.mean",6,-1,1.14740768399951,3.80442380262,0
"udel_air_temp_v4_01_yearly_max.2002.mean",6,1,1.14740768399951,32.0662532200301,0
"years_since_implementation",6,1,1.14740768399951,0.5,0
"dist_to_roads.na.mean",0,-1,1,2059.58402928407,1
"treecover2000.na.mean",0,-1,1,3.80442380262,1
"srtm_slope_500m.na.mean",0,1,0.833333333333333,0.959808368256864,0.5
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.833333333333333,240.8,0.5
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.833333333333333,75.2458333333333,0.5
"latitude",9,1,0.0015478877398052,9.979455,0
"srtm_slope_500m.na.mean",9,1,0.00153704452127002,0.868208548141886,0
"dist_to_all_rivers.na.mean",9,1,0.00153673246970463,1792.00840674009,0
"wdpa_5km.na.sum",9,1,0.00153673246970463,68.7249984741,0
"dist_to_roads.na.mean",9,1,0.00153669068777694,3097.01431073637,0
"treecover2000.na.mean",7,1,0.0169892106693554,8.841774778185,0
"ltdr_yearly_ndvi_mean.2002.mean",7,1,0.0169892106693554,2669.110943725,0
"wdpa_5km.na.sum",7,1,0.0169887947024653,1.14999997616,0
"udel_air_temp_v4_01_yearly_min.2002.mean",7,1,0.0169272899144934,25.275,0
"gpw_v3_density.2000.mean",7,1,0.0169226866080925,15.3957708842164,0
"dist_to_all_rivers.na.mean",0,-1,0.857142857142857,2196.02532042355,0.666666666666667
"gpw_v3_density.2000.mean",0,-1,0.857142857142857,15.3957708842164,0.666666666666667
"wdpa_5km.na.sum",0,-1,0.857142857142857,1.14999997616,0.666666666666667
"longitude",0,1,0.857142857142857,1.548328,0.666666666666667
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.857142857142857,25.275,0.666666666666667
