"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","ltdr_yearly_ndvi_mean.2002.mean",648,648,71294714978.9074,-45.7260192728673,0.0560104321946426,4,2
"2","years_since_implementation",566,566,47701346516.8731,-21.5635493666774,0.0258415875369512,4,5
"4","udel_precip_v4_01_yearly_min.2002.mean",138,138,14622040126.0307,-110.943677451025,0.0108235585145267,4,5
"8","longitude",95,95,10596934830.1386,-130.253940286447,0.0108235585145267,4,3
"16","treecover2000.na.mean",82,82,9418640295.66852,-166.675407953012,0.0108235585145267,4,5
"32","udel_air_temp_v4_01_yearly_max.2002.mean",72,72,7252132621.22233,-144.546207643933,0.0108235585145267,4,5
"64","ltdr_yearly_ndvi_mean.2002.mean",22,22,2820568558.58091,-234.84574294084,0.0108235585145267,4,5
"128","srtm_elevation_500m.na.mean",9,9,302021978.781632,-87.40795233364,0.00218715582293737,4,5
"256","<leaf>",6,6,10317702.1830414,-3.374008110348,0,0,0
"257","<leaf>",3,3,135771625.587813,-190.446824505,0,0,0
"129","udel_air_temp_v4_01_yearly_max.2002.mean",13,13,1513975367.33285,-374.878390571333,0.00482467683230807,4,5
"258","<leaf>",3,3,364110987.219978,-293.7534059735,0,0,0
"259","<leaf>",10,10,805890420.488134,-557.154646989555,0,0,0
"65","udel_precip_v4_01_yearly_max.2002.mean",50,50,3246687063.80119,-98.9797341626955,0.00581149175617968,4,5
"130","udel_air_temp_v4_01_yearly_min.2002.mean",30,30,2747392499.72907,-150.087435487653,0.00566028339497057,4,5
"260","dist_to_roads.na.mean",13,13,1222340881.47223,-209.616242362476,0.00537123860081162,4,5
"520","treecover2000.na.mean",8,8,374059727.937994,-157.5113007649,0.000950514765196866,4,5
"1040","<leaf>",4,4,250169043.578158,-227.5100388169,0,0,0
"1041","<leaf>",4,4,56124005.0918825,-78.6693098142333,0,0,0
"521","<leaf>",5,5,465340228.405669,-305.44081624725,0,0,0
"261","<leaf>",17,17,1121503326.91257,-269.342948129766,0,0,0
"131","<leaf>",20,20,84965915.713017,109.286985310802,0.000362980653886556,0,0
"33","v4composites_calibrated.2002.mean",10,10,1172348642.42204,-353.907841420638,0.00450110389194952,4,5
"66","<leaf>",3,3,329909482.81656,-297.0368199216,0,0,0
"67","<leaf>",7,7,521534240.538493,-455.043065057,0,0,0
"17","dist_to_roads.na.mean",13,13,363021005.618043,90.0366412013431,0.00155048389210008,4,5
"34","<leaf>",4,4,248849234.035761,234.9220074671,0,0,0
"35","<leaf>",9,9,3630464.41562095,16.165744797976,2.40243940370985e-05,0,0
