"","count","ncat","improve","index","adj"
"ltdr_yearly_ndvi_mean.2002.mean",648,-1,1.23497726562317e-11,3020.876910975,0
"udel_precip_v4_01_yearly_mean.2002.mean",648,1,1.23481418006158e-11,42.3444953483139,0
"years_since_implementation",648,-1,1.23447506908423e-11,3.5,0
"treecover2000.na.mean",648,1,1.2342697868852e-11,1.03491843833,0
"udel_precip_v4_01_yearly_max.2002.mean",648,1,1.23404811528505e-11,98.0338678155851,0
"treecover2000.na.mean",0,-1,0.876543209876543,97.19643448605,0.0243902439024391
"wdpa_5km.na.sum",0,-1,0.875,308.245010376,0.0121951219512196
"years_since_implementation",566,1,1.89960666554326e-11,3.5,0
"udel_precip_v4_01_yearly_mean.2002.mean",566,1,1.89917411803517e-11,42.3444953483139,0
"dist_to_all_rivers.na.mean",566,-1,1.89902187018214e-11,9470.75642030603,0
"udel_air_temp_v4_01_yearly_max.2002.mean",566,-1,1.89885162832349e-11,21.560909161361,0
"udel_precip_v4_01_yearly_max.2002.mean",566,1,1.89881385327856e-11,98.0338678155851,0
"udel_precip_v4_01_yearly_mean.2002.mean",0,1,0.798586572438163,144.208333333333,0.173913043478261
"longitude",0,1,0.784452296819788,119.427546,0.115942028985507
"treecover2000.na.mean",0,1,0.782685512367491,26.64770724715,0.108695652173913
"udel_precip_v4_01_yearly_min.2002.mean",0,1,0.782685512367491,15.862289656579,0.108695652173913
"dist_to_all_rivers.na.mean",0,1,0.779151943462898,7318.85814509189,0.0942028985507244
"udel_precip_v4_01_yearly_min.2002.mean",138,-1,5.08783398419469e-11,17.3,0
"treecover2000.na.mean",138,-1,5.08768829486117e-11,15.22061651585,0
"srtm_elevation_500m.na.mean",138,-1,5.08602072991681e-11,1172.0538645828,0
"latitude",138,-1,5.08575885947505e-11,9.2760275,0
"udel_air_temp_v4_01_yearly_max.2002.mean",138,-1,5.08551714311331e-11,27.6144752053355,0
"treecover2000.na.mean",0,-1,0.833333333333333,23.8296522835,0.465116279069768
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.804347826086957,112.260259513639,0.372093023255814
"longitude",0,-1,0.797101449275362,122.358848,0.348837209302326
"dist_to_all_rivers.na.mean",0,-1,0.789855072463768,2980.76172111344,0.325581395348837
"latitude",0,1,0.77536231884058,7.8315655,0.279069767441861
"longitude",95,-1,7.44913503683890e-11,95.1590345,0
"latitude",95,1,7.44333606730978e-11,8.370472,0
"udel_air_temp_v4_01_yearly_max.2002.mean",95,-1,7.4396656957854e-11,21.65,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",95,-1,7.43824148749759e-11,22.8424226444659,0
"udel_precip_v4_01_yearly_min.2002.mean",95,-1,7.43669342458175e-11,14.4011904083176,0
"dist_to_all_rivers.na.mean",0,1,0.873684210526316,1098.33975689235,0.0769230769230772
"gpw_v3_density.2000.mean",0,-1,0.873684210526316,545.978509888203,0.0769230769230772
"treecover2000.na.mean",0,-1,0.873684210526316,61.88121213285,0.0769230769230772
"treecover2000.na.mean",82,-1,7.70165884300107e-11,29.08062767745,0
"udel_air_temp_v4_01_yearly_max.2002.mean",82,-1,7.69819906786773e-11,26.6746340980349,0
"udel_precip_v4_01_yearly_mean.2002.mean",82,1,7.69596644186527e-11,22.3083333333333,0
"udel_precip_v4_01_yearly_max.2002.mean",82,1,7.69436754267019e-11,173.795326595212,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",82,-1,7.69385132338801e-11,22.8424226444659,0
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.926829268292683,186.324577434446,0.4
"longitude",0,-1,0.914634146341463,90.736938,0.3
"ltdr_yearly_ndvi_mean.2002.mean",0,-1,0.914634146341463,2888.073820395,0.3
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.902439024390244,496.08993092396,0.2
"dist_to_all_rivers.na.mean",0,-1,0.890243902439024,7642.62521259645,0.1
"udel_air_temp_v4_01_yearly_max.2002.mean",72,-1,1.07691594094645e-10,26.6746340980349,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",72,-1,1.0763942994571e-10,22.8424226444659,0
"udel_air_temp_v4_01_yearly_min.2002.mean",72,-1,1.07637562915416e-10,20.8358537014287,0
"udel_precip_v4_01_yearly_mean.2002.mean",72,1,1.07601645848536e-10,22.3083333333333,0
"udel_precip_v4_01_yearly_max.2002.mean",72,1,1.07506902674849e-10,173.795326595212,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.888888888888889,23.2934198706462,0.636363636363636
"srtm_elevation_500m.na.mean",0,1,0.875,1141.3525437628,0.590909090909091
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.763888888888889,7.64926909234636,0.227272727272727
"latitude",0,-1,0.75,12.9588195,0.181818181818182
"udel_precip_v4_01_yearly_min.2002.mean",0,1,0.75,0.104999998882413,0.181818181818182
"ltdr_yearly_ndvi_mean.2002.mean",22,-1,1.77985997552423e-10,1998.062675435,0
"dist_to_all_rivers.na.mean",22,-1,1.77555076346471e-10,1739.89807869314,0
"udel_precip_v4_01_yearly_min.2002.mean",22,-1,1.7693955938606e-10,0.901480854299949,0
"wdpa_5km.na.sum",22,-1,1.76809615958225e-10,12.259999752065,0
"latitude",22,-1,1.76798036548771e-10,8.3407185,0
"dist_to_roads.na.mean",0,1,0.772727272727273,3795.42870213711,0.444444444444444
"srtm_slope_500m.na.mean",0,1,0.772727272727273,7.09354130514633,0.444444444444444
"gpw_v3_density.2000.mean",0,-1,0.772727272727273,6.87045695791809,0.444444444444444
"treecover2000.na.mean",0,-1,0.772727272727273,0.872821821936,0.444444444444444
"srtm_elevation_500m.na.mean",0,-1,0.727272727272727,1201.6783265078,0.333333333333333
"srtm_elevation_500m.na.mean",9,-1,2.49114450011012e-09,1827.60157557427,0
"srtm_slope_500m.na.mean",9,-1,2.49114450011012e-09,7.95959395166373,0
"accessibility_map.na.mean",9,-1,2.49114450011012e-09,828.584011887546,0
"udel_precip_v4_01_yearly_min.2002.mean",9,-1,2.49114450011012e-09,0.901480854299949,0
"udel_air_temp_v4_01_yearly_max.2002.mean",9,-1,2.49114450011012e-09,19.7007030409473,0
"srtm_slope_500m.na.mean",0,-1,1,7.95959395166373,1
"accessibility_map.na.mean",0,-1,1,828.584011887546,1
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,1,0.901480854299949,1
"udel_air_temp_v4_01_yearly_max.2002.mean",0,1,1,19.7007030409473,1
"dist_to_all_rivers.na.mean",0,-1,0.888888888888889,2755.62566526271,0.666666666666667
"udel_air_temp_v4_01_yearly_max.2002.mean",13,-1,1.9440011550864e-10,17.8722645523764,0
"udel_air_temp_v4_01_yearly_min.2002.mean",13,-1,1.9440011550864e-10,13.4283880708048,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",13,-1,1.9440011550864e-10,15.296072178235,0
"longitude",13,-1,1.9440011550864e-10,39.681318,0
"treecover2000.na.mean",13,-1,1.94316131524351e-10,10.78309958025,0
"longitude",0,1,1,39.681318,1
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,1,13.4283880708048,1
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,1,15.296072178235,1
