"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","gpw_v3_density.2000.mean",536,536,540271.8346691,-0.0500472538279646,0.0672877227091759,4,0
"2","latitude",533,533,429834.15746435,-0.472642582265494,0.0669126499185819,4,0
"4","treecover2000.na.mean",514,514,254081.561616451,-1.45510298389575,0.0304958254238269,4,5
"8","longitude",76,76,210454.689485437,-6.26066963648962,0.0304958254238269,4,5
"16","wdpa_5km.na.sum",61,61,185528.327059445,-10.2915441977644,0.0304958254238269,4,5
"32","udel_precip_v4_01_yearly_min.2002.mean",41,41,13400.1272466231,-4.19832944801143,0.00497674878032443,4,5
"64","dist_to_all_rivers.na.mean",33,33,10250.6315279576,-5.94310129237124,0.00379391613006116,4,0
"128","treecover2000.na.mean",30,30,5851.27635475533,-4.22807640148374,0.00177243579176227,4,5
"256","dist_to_roads.na.mean",16,16,2586.74888749405,-7.92903411889523,0.00177243579176227,4,5
"512","<leaf>",12,12,1366.37618575164,-9.22453911696767,0,0,0
"513","<leaf>",4,4,129.212865236784,-1.30606682791147,0,0,0
"257","udel_air_temp_v4_01_yearly_max.2002.mean",14,14,2440.49302966974,0.149666173113888,0.00129667921277899,4,5
"514","<leaf>",6,6,465.518274777545,-2.36978028891865,0,0,0
"515","dist_to_roads.na.mean",8,8,1274.41549762681,1.76531168365025,0.000234545852964504,4,5
"1030","dist_to_roads.na.mean",5,5,859.145506965827,-0.572293490611337,0.00018226294451487,4,5
"2060","<leaf>",2,2,521.032027408942,-0.732753441140001,0,0,0
"2061","<leaf>",3,3,239.641944131643,1.36621458445273,0,0,0
"1031","<leaf>",3,3,288.551472365823,9.22330709177575,0,0,0
"129","<leaf>",3,3,2349.60914503348,-21.4616396431783,0,0,0
"65","<leaf>",8,8,460.698524432331,6.37549859780085,0,0,0
"33","srtm_slope_500m.na.mean",20,20,154687.387556318,-17.6758663572705,0.0304958254238269,4,3
"66","<leaf>",3,3,57602.4137449771,-43.5169199358618,0,0,0
"67","longitude",17,17,83608.9561912469,-12.7957118066358,0.0304958254238269,4,1
"134","accessibility_map.na.mean",15,15,13398.6209461407,-6.24779686882998,0.00722800249782686,4,5
"268","udel_precip_v4_01_yearly_mean.2002.mean",7,7,8614.6660160285,-12.0829286877658,0.0046388972694589,4,4
"536","<leaf>",2,2,390.769645275442,-1.87107833864,0,0,0
"537","<leaf>",5,5,5717.63083214103,-15.0441670863243,0,0,0
"269","wdpa_5km.na.sum",8,8,878.868759618483,1.97439578841169,0.00041133441940075,4,5
"538","srtm_elevation_500m.na.mean",5,5,460.885250020184,-0.478014243013097,0.00025276559555396,4,5
"1076","<leaf>",3,3,300.696381316605,-2.45518808366536,0,0,0
"1077","<leaf>",2,2,23.6267366524133,3.065887960625,0,0,0
"539","<leaf>",3,3,195.751108166107,4.44323510915728,0,0,0
"135","<leaf>",2,2,43214.2595456533,-23.791036085756,0,0,0
"17","udel_precip_v4_01_yearly_min.2002.mean",15,15,8640.76871098262,14.508584635659,0.00436559697425059,4,5
"34","<leaf>",9,9,5821.68676755538,22.0462360901728,0,0,0
"35","<leaf>",6,6,460.472856723003,3.19567139143546,0,0,0
"9","treecover2000.na.mean",438,438,35445.193664677,0.461193356933329,0.0126376265681217,4,0
"18","wdpa_5km.na.sum",7,7,24854.8621850588,5.61368990370804,0.0126376265681217,4,5
"36","<leaf>",4,4,149.623871836831,-2.81076678005468,0,0,0
"37","<leaf>",3,3,15689.86351792,8.34399089087631,0,0,0
"19","udel_air_temp_v4_01_yearly_min.2002.mean",431,431,5950.19889127603,0.193712453492136,0.00130736340569188,4,5
"38","latitude",343,343,1439.21269797287,-0.151100591855414,0.000307837529682096,4,5
"76","accessibility_map.na.mean",30,30,344.957335218684,-1.39181188947299,0.000170838810311855,4,5
"152","<leaf>",21,21,240.713438735549,-2.27316186158122,0,0,0
"153","treecover2000.na.mean",9,9,11.9444990032631,0.502230155381314,8.98802922755247e-06,4,4
"306","<leaf>",7,7,0.000466452757682704,-0.00252183542865515,3.59736161001551e-10,0,0
"307","<leaf>",2,2,7.08805350967613,1.7494372331503,0,0,0
"77","udel_precip_v4_01_yearly_min.2002.mean",313,313,927.939415812839,0.0753959636373342,0.000244592642985466,4,5
"154","treecover2000.na.mean",266,266,139.37214774121,-0.0401641787317404,6.76446559573319e-05,4,2
"308","treecover2000.na.mean",7,7,44.3165689740497,-2.92083481975604,3.50726665315018e-05,4,5
"616","<leaf>",4,4,17.6202123946968,-3.63485233814333,0,0,0
"617","<leaf>",3,3,7.74758268564087,-1.56614571134295,0,0,0
"309","latitude",259,259,63.1872014730209,0.0331605774366861,6.76446559573319e-05,4,2
"618","longitude",256,256,0.78103836050282,0.00514908960900613,2.6124678244391e-07,4,5
"1236","gpw_v3_density.2000.mean",15,15,0.450810194083909,0.042478575252859,1.13268060495605e-07,4,5
"2472","<leaf>",10,10,0.0937622432802478,0.0222363423743539,0,0,0
"2473","<leaf>",5,5,0.29585240795029,0.102958147002083,0,0,0
"1237","latitude",241,241,0.189083887966541,0.00129711168396363,7.42160777646039e-08,4,4
"2474","<leaf>",222,222,0.0127479305529625,-0.00101239805972435,1.99555846077175e-09,0,0
"2475","dist_to_roads.na.mean",19,19,0.141481476122893,0.0113967793118254,7.42160777646039e-08,4,5
"4950","<leaf>",8,8,0.0079335360387092,-0.0136395221712231,5.98920926307238e-09,0,0
