"","count","ncat","improve","index","adj"
"srtm_slope_500m.na.mean",324,1,2.26063995054058e-09,0.172741492982315,0
"latitude",324,1,2.256149108819e-09,-24.098834,0
"dist_to_roads.na.mean",324,1,2.25577129239442e-09,2649.57528800325,0
"udel_air_temp_v4_01_yearly_min.2002.mean",324,-1,2.25573359236775e-09,11.7744898616044,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",324,-1,2.25559682160798e-09,20.702024746258,0
"srtm_elevation_500m.na.mean",0,1,0.941358024691358,9.41169909694889,0.24
"latitude",0,1,0.932098765432099,-24.098834,0.120000000000001
"ltdr_yearly_ndvi_mean.2002.mean",0,-1,0.925925925925926,3659.759638945,0.0400000000000002
"accessibility_map.na.mean",299,-1,8.79945725319775e-09,1996.77277979491,0
"dist_to_all_rivers.na.mean",299,1,8.79306437590776e-09,1121.33855194304,0
"udel_air_temp_v4_01_yearly_min.2002.mean",299,-1,8.78406988468076e-09,18.6215506190343,0
"udel_precip_v4_01_yearly_mean.2002.mean",299,-1,8.78392997480846e-09,196.243613949101,0
"udel_precip_v4_01_yearly_max.2002.mean",299,-1,8.78191708790571e-09,477.7,0
"treecover2000.na.mean",0,-1,0.993311036789298,98.90660471645,0.5
"udel_precip_v4_01_yearly_mean.2002.mean",295,-1,5.42965343035189e-08,143.199007154961,0
"udel_air_temp_v4_01_yearly_min.2002.mean",295,-1,5.42659911255776e-08,18.6215506190343,0
"treecover2000.na.mean",295,-1,5.42220691301026e-08,44.04053579605,0
"years_since_implementation",295,-1,5.41437144536475e-08,1.5,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",295,-1,5.41197669660262e-08,20.702024746258,0
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.830508474576271,19.35,0.375
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.823728813559322,413.85,0.35
"treecover2000.na.mean",0,-1,0.820338983050847,54.32317875475,0.3375
"longitude",0,-1,0.75593220338983,107.047038,0.1
"srtm_elevation_500m.na.mean",0,1,0.745762711864407,26.6840703716003,0.0625000000000002
"udel_precip_v4_01_yearly_mean.2002.mean",215,-1,7.40754858193723e-08,132.964583333333,0
"srtm_slope_500m.na.mean",215,1,7.40359884336788e-08,0.38022572835546,0
"dist_to_roads.na.mean",215,1,7.39779629495224e-08,2291.22625134757,0
"udel_air_temp_v4_01_yearly_min.2002.mean",215,-1,7.39613013568259e-08,27.675,0
"accessibility_map.na.mean",215,-1,7.39229296318634e-08,282.696739604341,0
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.934883720930233,57.2,0.0666666666666665
"udel_air_temp_v4_01_yearly_min.2002.mean",200,-1,3.65709713183958e-07,27.675,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",200,-1,3.64349065235695e-07,28.175,0
"ltdr_yearly_ndvi_mean.2002.mean",200,-1,3.6303672254032e-07,3631.291847795,0
"dist_to_roads.na.mean",200,1,3.62948967401925e-07,1074.16249628896,0
"longitude",200,1,3.6220291476968e-07,-68.7531645,0
"udel_air_temp_v4_01_yearly_min.2002.mean",197,-1,4.68168049256767e-07,18.4377880544921,0
"accessibility_map.na.mean",197,-1,4.68002467069674e-07,721.84850706084,0
"srtm_slope_500m.na.mean",197,-1,4.67809150316021e-07,12.0029925047464,0
"latitude",197,-1,4.67654542288461e-07,-0.342066,0
"longitude",197,-1,4.67565475295546e-07,31.972864,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.842639593908629,21.0378947112064,0.659340659340659
"latitude",0,1,0.802030456852792,21.655052,0.571428571428571
"udel_air_temp_v4_01_yearly_max.2002.mean",0,-1,0.710659898477157,23.4800000001863,0.373626373626374
"srtm_elevation_500m.na.mean",0,1,0.690355329949239,515.012505053345,0.32967032967033
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.67005076142132,136.746664388057,0.285714285714286
