"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","srtm_slope_500m.na.mean",324,324,80349702603.3856,-2.64219977975559,0.112957247659717,4,1
"2","treecover2000.na.mean",6,6,46356010333.8928,-334.682297026615,0.0658417262007567,4,5
"4","<leaf>",2,2,7667559.72497797,-20.2582601104,0,0,0
"5","<leaf>",4,4,41057979655.0435,-412.291057695539,0,0,0
"3","srtm_elevation_500m.na.mean",318,318,24917611013.1375,23.9980587803038,0.0161939818056866,4,0
"6","<leaf>",9,9,10516385761.3011,-349.497455120699,0,0,0
"7","longitude",309,309,13100043629.7848,36.6678275702444,0.0139142352119643,4,2
"14","udel_air_temp_v4_01_yearly_min.2002.mean",24,24,5993112892.25233,282.763565101863,0.0139142352119643,4,5
"28","<leaf>",5,5,4676085102.16615,542.767741246454,0,0,0
"29","accessibility_map.na.mean",19,19,157079097.95014,163.688135301074,0.000266913109981478,4,0
"58","<leaf>",2,2,7714278.52215102,-500.17311875,0,0,0
"59","longitude",17,17,127918430.420033,224.505982651953,0.000257375200418786,4,3
"118","ltdr_yearly_ndvi_mean.2002.mean",12,12,35938637.9132277,247.481757562381,0.000106574576150137,4,5
"236","wdpa_5km.na.sum",6,6,31592044.939819,345.75950548655,0.000106574576150137,4,5
"472","<leaf>",4,4,67198.3005583956,225.471523684579,0,0,0
"473","<leaf>",2,2,18728260.0006858,438.066725371,0,0,0
"237","<leaf>",6,6,16708.6144926715,54.0406239930413,0,0,0
"119","srtm_slope_500m.na.mean",5,5,82887619.4507185,339.136456694422,0.000257375200418786,4,5
"238","<leaf>",3,3,44981.5938400695,249.992828693353,0,0,0
"239","<leaf>",2,2,50574769.2906924,408.212074291,0,0,0
"15","ltdr_yearly_ndvi_mean.2002.mean",285,285,6485988601.04058,0.946125187059266,0.0139142352119643,4,1
"30","treecover2000.na.mean",14,14,2664626312.90724,-244.519382745632,0.0135600812708972,4,5
"60","<leaf>",8,8,1539127920.10262,-626.361737332102,0,0,0
"61","<leaf>",6,6,35949895.4102938,-282.050649133953,0,0,0
"31","years_since_implementation",271,271,2248239133.05664,34.4846598196184,0.00377504207952746,4,5
"62","udel_air_temp_v4_01_yearly_max.2002.mean",97,97,1114349974.02339,-90.1655679700711,0.00377504207952746,4,0
"124","ltdr_yearly_ndvi_mean.2002.mean",85,85,358056895.213074,-20.8530397446365,0.00075259691915432,4,0
"248","<leaf>",4,4,75448101.0989561,-512.398933563871,0,0,0
"249","ltdr_yearly_ndvi_mean.2002.mean",81,81,222137855.479844,11.0578209673526,0.000343355977374321,4,5
"498","latitude",56,56,112429598.834581,-61.5017246868991,0.000343355977374321,4,3
"996","ltdr_yearly_ndvi_mean.2002.mean",47,47,56699846.6979755,-11.1047599724984,0.000132720663948793,4,4
"1992","<leaf>",9,9,9198795.10223095,-276.367924438288,0,0,0
"1993","accessibility_map.na.mean",38,38,38915054.8319035,30.4587423522009,0.000132720663948793,4,2
"3986","<leaf>",4,4,13621619.3957585,-249.765688317871,0,0,0
"3987","accessibility_map.na.mean",34,34,12551300.4447673,88.8060945647867,4.04269977530389e-05,4,0
"7974","<leaf>",2,2,1078845.66528675,-524.140913366,0,0,0
"7975","dist_to_roads.na.mean",32,32,8224157.53287612,130.353452078511,2.41997004663821e-05,4,5
"15950","ltdr_yearly_ndvi_mean.2002.mean",7,7,2119694.81601493,330.707122618646,1.23078186671216e-05,4,3
"31900","<leaf>",2,2,77897.7131963709,208.870158768,0,0,0
"31901","<leaf>",5,5,1052867.53321894,383.403632535149,0,0,0
"15951","gpw_v3_density.2000.mean",25,25,4160023.98129638,70.610373477885,1.41110690546356e-05,4,5
"31902","ltdr_yearly_ndvi_mean.2002.mean",18,18,2767044.62151346,-52.6809048635222,1.10335133094785e-05,4,5
"63804","<leaf>",6,6,1519021.99117022,-196.86249373798,2.19860000967976e-06,0,0
"63805","<leaf>",12,12,361483.117256151,60.3656046814525,0,0,0
"31903","<leaf>",7,7,259159.157827115,306.491870121135,1.50250274813877e-06,0,0
"997","<leaf>",9,9,21437990.4192612,-388.366974636347,0,0,0
"499","v4composites_calibrated.2002.mean",25,25,88822917.0243641,102.041016991121,0.00025820132519461,4,5
"998","years_since_implementation",9,9,75117928.4870688,271.928820217319,0.00025820132519461,4,3
"1996","<leaf>",7,7,211605.217710394,-26.6549795430226,0,0,0
"1997","<leaf>",2,2,37696131.9113082,513.5743692623,0,0,0
"999","dist_to_all_rivers.na.mean",16,16,9422380.51297163,53.7642153415352,2.60432439528094e-05,4,5
"1998","<leaf>",7,7,2768072.28750052,-58.9495765147309,0,0,0
"1999","latitude",9,9,4561741.31903546,131.984855545005,2.28315431813056e-05,4,1
"3998","<leaf>",7,7,1149205.27198028,107.225240418433,0,0,0
"3999","<leaf>",2,2,1578028.34246092,438.0680985055,0,0,0
"125","<leaf>",12,12,276018184.815741,-353.723834611852,0,0,0
"63","gpw_v3_density.2000.mean",174,174,1007517036.21724,93.9854676629742,0.000679117491047387,4,5
"126","udel_air_temp_v4_01_yearly_min.2002.mean",24,24,20756447.9315134,-166.585095199886,6.0801069966529e-05,4,0
"252","dist_to_all_rivers.na.mean",22,22,10890889.432408,-131.169257989741,4.62077678520897e-05,4,5
"504","accessibility_map.na.mean",8,8,6849490.43704382,-242.617000811465,4.12247497854608e-06,4,0
"1008","<leaf>",6,6,5338329.36100886,-175.110813963614,3.28542228391281e-06,0,0
"1009","<leaf>",2,2,1179921.43751888,-519.4723800291,0,0,0
"505","accessibility_map.na.mean",14,14,328618.590482474,-55.9263687401599,1.65769981045666e-06,4,5
"1010","<leaf>",4,4,24369.6217338917,-181.282070054052,0,0,0
"1011","<leaf>",10,10,171053.281972701,-3.78370739732689,8.44801815523635e-07,0,0
"253","<leaf>",2,2,4980210.60932713,-808.889904477,0,0,0
"127","ltdr_yearly_ndvi_mean.2002.mean",150,150,976806865.295872,139.149291441354,0.000679117491047387,4,0
"254","<leaf>",3,3,182284288.86523,342.854771085023,0,0,0
"255","longitude",147,147,695342522.543663,124.815710604108,0.000679117491047387,4,5
"510","treecover2000.na.mean",46,46,610877594.456474,245.595658133635,0.000679117491047387,4,5
"1020","udel_precip_v4_01_yearly_max.2002.mean",36,36,38390091.6160033,5.4186960768329,0.000209333392723652,4,5
"2040","longitude",8,8,14290400.2168844,-304.909035999904,3.92217206827261e-05,4,5
"4080","<leaf>",3,3,3269058.96775392,-244.55469129188,0,0,0
"4081","<leaf>",5,5,7869887.65668038,-469.836055383788,0,0,0
"2041","ltdr_yearly_ndvi_mean.2002.mean",28,28,7279815.54881578,158.563779841901,1.89845423224286e-05,4,5
"4082","dist_to_all_rivers.na.mean",17,17,4185981.90397802,-14.5111932464028,9.38842258089016e-06,4,5
"8164","udel_precip_v4_01_yearly_max.2002.mean",9,9,2996592.23268498,-132.728556095021,9.38842258089016e-06,4,2
"16328","<leaf>",7,7,1469406.3129403,-53.8948072648883,0,0,0
"16329","<leaf>",2,2,701625.085294997,-416.540506549,0,0,0
"8165","<leaf>",8,8,506236.58116386,157.729126808388,2.52036266381152e-06,0,0
"4083","udel_air_temp_v4_01_yearly_max.2002.mean",11,11,1568431.31516924,447.958286748596,1.53576256243196e-05,4,5
"8166","<leaf>",4,4,44949.6924651906,935.098522710111,0,0,0
"8167","<leaf>",7,7,289500.971095834,188.932080158801,3.19204484281241e-06,0,0
"1021","latitude",10,10,486650967.181919,437.672498168282,0.000679117491047387,4,5
"2042","<leaf>",3,3,313065415.752161,593.89100299885,0,0,0
"2043","<leaf>",7,7,211799.673088076,351.408479302153,0,0,0
"511","longitude",101,101,72122227.2364065,47.7103874039258,8.04993559397072e-05,4,4
"1022","udel_precip_v4_01_yearly_max.2002.mean",12,12,22531222.6614368,-205.811836851706,8.04993559397072e-05,4,5
"2044","<leaf>",9,9,947336.295114666,-67.1490902489248,0,0,0
"2045","<leaf>",3,3,12436762.8455528,-372.474274046267,0,0,0
"1023","udel_precip_v4_01_yearly_min.2002.mean",89,89,47461396.5945316,57.5325021479128,8.04993559397072e-05,4,5
"2046","ltdr_yearly_ndvi_mean.2002.mean",39,39,27577261.6933218,-43.1717204837327,8.04993559397072e-05,4,5
"4092","<leaf>",7,7,6969237.77411562,-347.179075801811,0,0,0
"4093","udel_air_temp_v4_01_yearly_mean.2002.mean",32,32,10673871.7090079,5.09036561648739,3.55284790776803e-05,4,2
"8186","ltdr_yearly_ndvi_mean.2002.mean",25,25,5221700.14875764,-29.5331164123881,2.28026681494175e-05,4,5
"16372","srtm_slope_500m.na.mean",14,14,2148851.92858198,-108.63490506859,7.63474479858355e-06,4,4
"32744","<leaf>",11,11,1519870.13085578,-149.98335879707,0,0,0
"32745","<leaf>",3,3,15532.3237072633,-102.221333964229,0,0,0
"16373","wdpa_5km.na.sum",11,11,1240660.61580627,43.9554008538782,7.48225093032308e-06,4,0
"32746","treecover2000.na.mean",9,9,415632.375438975,-32.0763313205725,4.37802303516588e-06,4,5
