"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","years_since_implementation","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"4",3069.02811351406,2124.7978893303,988.747735742249,2.58394097335378,96.4704907054553,43.0466108400998,0,0.000773902873599,31.061414,35.660168,103,0,31.2916666666667,26.7,6.9,17.6,16.5072025543,1396.63831657,3,1,0,0.0734318385753841,0.0734318385753841,0,0.0734318385753841,-13.8708057366826,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"15",2478.29246460461,2701.52914795298,574.923158552248,1.02200090261986,137.190266170983,163.561747160416,0,1.04672029471,23.401629,78.410168,466.161288571672,0.37495256902659,74.3658992197611,35.5500948619468,18.3753320168139,26.7876027671091,0,2307.9128783,3,1,0.000707346062168,0.241429948007351,0.241429948007351,0.00292981905520049,0.241429948007351,17.8446162109672,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"36",2478.29246460461,2701.52914795298,574.923158552248,1.02200090261986,137.190266170983,163.561747160416,0,1.04672029471,23.401629,78.410168,466.161288571672,0.37495256902659,74.3658992197611,35.5500948619468,18.3753320168139,26.7876027671091,0,2307.9128783,4,1,0.000707346062168,0.169652613408814,0.169652613408814,0.00416937910920063,0.169652613408814,17.8446162109672,3470,"SLEM/CPP: Sustainable Rural Livelihood Security through Innovations in Land and Ecosystem Management"
"66",1891.98121506925,15994.4476098289,250.00405827749,3.68161078516795,1142.77524003604,70.1628123069746,171.100006104,68.1630285105,5.659125,8.410168,512.05,0,203.1625,28.5,26.05,27.3291666666667,0,2512.60767672,0,1,0.846321847915,0.0899057728939264,0.0899057728939264,9.41343164819368,0.0899057728939264,17.8446162109672,4907,"GGW: Nigeria Erosion and Watershed Management Project (NEWMAP)"
"81",2845.62807535419,2006.06247001063,749.710830333626,1.09412283844598,72.4198403973628,244.533437351896,0,0.294254278812,22.019268,78.710168,594.6,0,122.225,32.7,17.3,24.2416666666667,7.85791409254,2352.84455835,3,1,0.000714342513572,0.286981937614193,0.286981937614193,0.00248915496045028,0.286981937614193,17.8446162109672,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"90",1532.3089806844,3664.07171326016,426.801760279524,8.39569567279928,169.096516875507,130.910880585418,0,70.1463574653,26.649043,94.743498,461.5,10.2,180.541666666667,27.2,14.9,22.1666666666667,1.63339473201,3103.02185129,4,1,40.6011002576,0.0217566526312053,0.0217566526312053,1866.14645854879,0.0217566526312053,17.8446162109672,3469,"SLEM/CPP: Sustainable Land Management in Shifting Cultivation Areas of Nagaland for Ecological and Livelihood Security"
"91",2724.58687935077,2958.5336203509,914.987197276826,9.44389070252678,184.45827567079,252.902302095029,0,61.5919293339,26.213346,94.426918,509.804545057386,11.7136363507056,194.107575657824,21.531818327751,9.75454560602007,16.8446971180928,1.66709225245,2742.905232,4,1,28.4427868946,0.0176321738677051,0.0176321738677051,1613.11855860811,0.0176321738677051,17.8446162109672,3469,"SLEM/CPP: Sustainable Land Management in Shifting Cultivation Areas of Nagaland for Ecological and Livelihood Security"
"92",1981.7842727737,4197.44208871213,684.670989411159,9.98292847695548,282.595941729781,197.675770194826,0,58.5352110659,26.066211,94.160168,497.1,11.3,190.916666666667,26.2,14.6,21.5916666666667,1.81494964066,3014.63690001,4,1,32.8468696745,0.02680395798536,0.02680395798536,1225.44848385602,0.02680395798536,17.8446162109672,3469,"SLEM/CPP: Sustainable Land Management in Shifting Cultivation Areas of Nagaland for Ecological and Livelihood Security"
"103",1885.29891460914,2907.13813574745,1567.59821748074,15.5765976902879,187.395959967682,156.013489324711,1,22.4478712519,32.464633,76.012458,613.74583588356,10.5165250625128,179.878491615243,28.0102466105391,10.8897120047718,20.7196229038106,3.52008067089,2684.05226837,4,1,0.201847023595,0.131908232749031,0.131908232749031,1.53020792856072,0.131908232749031,17.8446162109672,3470,"SLEM/CPP: Sustainable Rural Livelihood Security through Innovations in Land and Ecosystem Management"
"199",1350.07220009685,1219.31702343051,213.921251043978,0.608362554434491,12.8866968967113,112.592720272475,0,0.0352385702832,13.4304,2.039608,138.152642464625,0,40.6818843403526,35.7,23.5,29.6456184470293,21.5204077750982,1502.20500698,0,1,0,0.426872277330731,0.426872277330731,0,0.426872277330731,-13.8708057366826,5252,"GGW: Third Phase of the Community Action Program"
"220",2600.1619834528,1497.54527691439,1463.77074374188,3.52653685584412,17.3947284188355,177.800598144531,0,0.0090770525339,34.205211,46.975168,108.66666662764,0,31.5876983751076,27.4333333510728,3.22857143313301,15.4126984238912,31.7324604569822,1599.52332507,3,1,0.00319197478357,0.0913997956312483,0.0913997956312483,0.0349232157635012,0.0913997956312483,-13.8708057366826,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"244",51095.4007345974,26832.6449073686,55.9822807312059,2.08956050061513,508.174952484058,25.2887306213379,0.019999999553,84.1085434104,12.407441,92.743498,497.115611361973,6.50135426422611,232.690125156685,28.7499516334205,26.8499516334205,27.6790578418628,0.816185100840086,2677.70855007,4,1,1.032273567,0.01961927501438,0.01961927501438,52.6152758572063,0.01961927501438,17.8446162109672,3470,"SLEM/CPP: Sustainable Rural Livelihood Security through Innovations in Land and Ecosystem Management"
"245",2482.4766058473,2161.38856938926,7.89097240190491,0.165515021795832,148.310367120196,893.961621962451,0,1.46125290376,22.901988,88.910168,495.07986184792,0,150.439079750145,30.0502778198811,18.9756945497028,26.1795988309262,5.32868028346455,2753.09698079,4,1,0.000709925937032,0.123234491448769,0.123234491448769,0.00576077304889218,0.123234491448769,17.8446162109672,3470,"SLEM/CPP: Sustainable Rural Livelihood Security through Innovations in Land and Ecosystem Management"
"251",2391.55474323408,2969.17700892603,435.12302896892,2.06888616784381,192.183965492078,129.648059994579,230.610015869,23.6864539448,22.296905,78.001564,605.7,0,118.825,31.7,16.3,23.25,0,3357.96720561,3,1,1.1129452114,0.21689400869213,0.21689400869213,5.13128609734799,0.21689400869213,17.8446162109672,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"252",2756.86930163861,2241.68455839959,721.792524883866,4.82186951278977,192.972469612837,102.074787617436,275.679992676,25.5263559735,22.421575,78.331688,546.6509745222,0,101.16899094997,33.9732269268051,18.0881817763701,25.4336665017821,2.08880488388255,3266.42899195,3,1,0.0413165932923,0.330155752733721,0.330155752733721,0.125142733240886,0.330155752733721,17.8446162109672,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"253",1689.04693848773,2658.23736130303,526.717917122765,4.8487125537258,192.039192399578,77.691622749993,241.88999939,31.9250578231,22.386117,78.120623,568.181518575495,0,107.323323690963,33.1368780120023,17.4175717871129,24.6369864143633,0,3563.20558382,3,1,0.089779944784,0.221452894089741,0.221452894089741,0.405413282824914,0.221452894089741,17.8446162109672,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
