gef_id,location_count,iba_area
16,1,15107
18,1,29600
49,1,150
50,1,3700
54,2,36800
55,1,114000
57,7,158365
58,1,7672
61,7,257000
62,7,86279
79,3,82450
83,5,88391
84,5,153680
85,7,2802000
87,3,420300
92,5,173102
95,1,8952
99,1,127698
100,1,3356
101,1,32700
102,2,517800
110,1,3310
116,5,167335
117,5,67000
121,9,17744
129,3,8214
133,3,313000
134,1,1400
136,5,1346150
142,2,432654
192,1,50000
195,3,169615
206,1,900000
209,8,194760
216,3,20640
223,1,2750000
245,1,5050
260,10,10814134
348,3,144000
350,1,150000
352,6,53712
364,2,2000
400,1,11700
403,6,2293718
406,1,114000
407,2,111354
408,2,1198500
409,8,115504
458,1,1603000
466,2,2000
488,2,1604600
490,1,80000
495,2,7000
496,3,11744
499,6,19116
503,3,23016
505,1,8600
512,4,164886
534,1,110000
536,2,190100
537,1,9848
539,1,9848
541,5,637700
543,1,107800
565,2,582000
566,1,8539
567,2,193350
591,5,104116
592,1,5372
601,2,2000
620,9,61381
621,1,432415
623,4,37500
642,1,180000
648,1,258900
651,4,97180
659,2,11600
661,2,6
668,2,2214
672,2,2000
681,1,1000
763,1,1000
774,11,528000
775,1,48000
777,2,673000
779,2,30214
780,1,1600
799,1,1030
801,2,88424
802,1,8952
815,2,86
834,7,53704
836,67,3709239
838,6,1010906
845,2,160000
863,1,1000
864,1,79700
865,5,175068
876,3,152400
877,9,126228
878,8,71616
905,3,417000
906,1,49900
907,1,150000
925,6,288000
932,2,12
939,11,204000
942,4,1050150
945,1,1000
957,2,1180
969,2,2252000
972,2,7200
984,1,109000
1025,5,435920
1026,2,1710800
1027,1,29780
1030,2,85978
1031,1,132
1036,1,144165
1043,2,777409
1053,19,1335283
1055,2,51907
1056,3,21948
1067,2,221800
1068,2,255980
1080,1,137189
1086,1,385362
1092,1,1000
1095,7,3066000
1097,14,1055388
1098,1,5000
1099,1,8952
1100,2,218000
1101,6,18114
1104,2,41100
1107,2,127300
1124,2,42400
1125,1,438000
1126,3,16950
1128,3,104731
1133,4,206855
1139,1,76100
1144,1,4552
1145,4,30959
1148,5,200920
1152,6,215000
1161,8,48
1163,1,6
1170,3,401000
1173,2,29088
1174,1,5850
1175,2,161000
1177,22,1937868
1183,4,131073
1184,4,86200
1189,1,110900
1197,7,5813500
1200,4,2402
1201,2,37824
1204,1,3
1206,2,309254
1207,2,4736
1214,8,143700
1221,5,922700
1236,6,9482
1239,11,1366200
1242,31,21785351
1259,5,435920
1268,13,4938300
1296,3,84563
1299,4,71016
1303,1,96010
1319,4,857528
1343,2,15344
1397,3,25851
1408,1,48000
1409,1,1000
1424,1,127698
1438,1,4700
1446,2,1180
1458,3,105972
1475,1,76100
1477,4,88800
1489,1,7672
1505,7,29870400
1515,2,6372
1516,2,1000000
1535,2,11701
1538,1,100000
1571,9,298148
1590,10,41734400
1604,3,212532
1611,1,109000
1620,3,75000
