"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"4",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,260,"Southern Africa Biodiversity Support Programme"
"72",1866.2506103516,616.8510131836,15.595,0.4725542367,206.7311320755,52.7667236328,0,15.7986582937,12.8,-16.36667,315.5,0,77.4833333333,28.3,25.2,26.95,0,2906.17919922,1,310.693337938149,0.484033861882988,0.484033861882988,641.883476353265,0.484033861882988,12.659949625198,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"79",1878.8618164063,1226.6087646484,18.54375,0.3002413809,108.7441860465,93.729637146,1,16.4325392012,13.21667,-16.51667,221.3,0,67.5333333333,28.5,24.55,26.4708333333,0,2563.86083984,1,309.410178549988,0.650127098254635,0.650127098254635,475.922599412709,0.650127098254635,12.659949625198,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"81",2599.7536621094,985.0551757813,17.8135910224,0.4593843818,399.0855745721,31.8243618011,1,11.0508895207,13.33333,-16,223.65,0,68.5291666667,28.65,25.1,27.1458333333,0,2423.54833984,1,310.446941128219,0.614144587541596,0.614144587541596,505.494874376292,0.614144587541596,12.659949625198,1053,"Sustainable Management of Globally Significant Endemic Ruminant Livestock of West Africa"
"131",1814.8499755859,965.4517822266,17.0163934426,0.7317202091,206.1020408163,6.8147349358,0,0.9842342342,-34.39486,-53.73048,NA,NA,NA,NA,NA,NA,0.0306748466,740.144958496,1,314.065813257266,NA,NA,NA,NA,12.659949625198,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"132",2258.9709472656,666.2206420898,20.7857142857,0.6731081009,26.7826086957,28.7954406738,0,0.4848447113,-35.02641,-54.88398,363.4,49.1,126.65,21.3,10.2,16.35,8.0120724346,637.737182617,1,314.112571713261,0.617865656033828,0.617865656033828,508.383284692658,0.617865656033828,12.659949625198,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"142",1669.5793457031,1251.5385742188,15.5688622754,0.6451260448,203.2441860465,6.8147344589,0,2.3101858878,-34.40503,-53.75679,NA,NA,NA,NA,NA,NA,0.0304878049,768.845031738,1,314.00034961378,NA,NA,NA,NA,12.659949625198,3410,"Piloting of an Ecosystem-based Approach to Uruguayan Coastal Fisheries"
"155",2635.8459472656,927.6491088867,1420.4825783972,0.4022527933,238.1818181818,67.1136245728,0,3.2793068612,-25.95559,25.80782,141.5,3.75,48.45,23.6,10.95,19.1791666667,2.3793859649,2129.99511719,1,313.972569958305,0.293759839402346,0.293759839402346,1068.80699076185,0.293759839402346,12.659949625198,1242,"Desert Margin Programme, Phase 1"
"169",1922.2536621094,715.1856079102,1270.7616009281,0.4935452044,201.2699115044,388.0979919434,0,0.5794625711,-25.88333,25.56667,129.7,2.95,44.2625,24.6,11.9,20.1708333333,17.6296296296,2048.77514648,1,314.036116653808,0.34135081036857,0.34135081036857,919.980580431993,0.34135081036857,12.659949625198,1242,"Desert Margin Programme, Phase 1"
"190",1539.9361572266,1650.6878662109,423.3602564103,0.4828625023,383.4854368932,6.0804567337,1,84.1053365684,2.8,24.73333,217.2,7.3,124.3916666667,25.7,23.8,24.8166666667,0,4004.98095703,1,296.349795355528,0.665766166308606,0.665766166308606,445.125947145471,0.665766166308606,-10.0444758689726,3772,"CBSP Forest and Nature Conservation Project"
"338",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,2123,"Conservation & Management of Pollinators for Sustainable Agriculture through an Ecosystem Approach"
"350",360660.9375,700.4442138672,18.4657534247,0.7068936825,506.6440677966,65.5300064087,0,0,16.58333,-22.93333,NA,NA,NA,NA,NA,NA,2.6736596737,394.650054932,1,314.127622709178,NA,NA,NA,NA,12.659949625198,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"433",2391.91015625,1067.9270019531,22.508793208,0.1975835562,198.7944572748,4.4154582024,0,95.1586014263,19.64519,-88.1532,297,18.2,106.6416666667,28.5,23.4,26.5166666667,1.1543778802,3725.52001953,1,312.623449888093,0.774071468135136,0.774071468135136,403.868974322557,0.774071468135136,12.659949625198,3637,"SFM Transforming Management of Biodiversity-rich Community Production Forests through Building National Capacities for Market-based Instruments - under the Sustainable Forest Management Program"
