gef_id,location_count,iba_area
957,1,260000
958,1,7672
959,1,22918
960,1,110900
961,1,1000
962,1,1000
963,1,1000
964,1,7672
965,1,2200
966,1,40
967,1,1000
968,1,1000
969,1,1000
970,1,1000
971,1,1000
972,1,438000
973,1,148
974,1,15000
975,1,800
976,1,4261
977,1,1811541
1276,1,42420
1277,1,87000
1278,1,1000
1279,1,1000
1280,1,1000
1281,1,1000
1282,1,1000
1283,1,1000
1284,1,1000
1285,1,110900
1286,1,110900
1287,1,110900
1288,1,110900
1289,1,110900
1290,1,110900
1291,1,110900
1292,1,110900
1293,1,63000
1294,1,3310
1295,1,3310
1296,1,3310
1297,1,3310
1298,1,3310
1299,1,3310
1300,1,3310
1301,1,3310
1302,1,4500
1303,1,5769
1304,1,16225
1305,1,16225
1306,1,16225
1307,1,16225
1308,1,16225
1309,1,16225
1310,1,16225
1311,1,16225
1312,1,16225
1313,1,16225
1314,1,42420
1315,1,5769
1316,1,23000
1317,1,29000
1318,1,29000
1319,1,29000
1320,1,29000
1321,1,29000
1322,1,29000
1323,1,29000
1324,1,29000
1325,1,29000
1326,1,29000
1327,1,139400
1328,1,42420
1329,1,110000
1330,1,110000
1331,1,110000
1332,1,110000
1333,1,110900
1334,1,110900
1335,1,110900
1336,1,110900
1337,1,110900
1338,1,110900
1339,1,110900
1340,1,110900
1341,1,110900
1342,1,110900
1343,1,110900
1344,1,110900
1345,1,110900
1346,1,110900
1347,1,110900
1348,1,110900
1349,1,110900
1350,1,110900
1351,1,110900
1352,1,110900
1353,1,110900
1354,1,110900
1355,1,110900
1356,1,110900
1357,1,110900
1358,1,110900
1359,1,110900
1360,1,110900
1361,1,110900
1362,1,110900
1363,1,110900
1364,1,110900
1365,1,110900
1366,1,150
1367,1,258900
1368,1,258900
1369,1,258900
1370,1,258900
1371,1,22000
1372,1,22000
1373,1,22000
1374,1,15000
1375,1,22000
1376,1,22000
1377,1,923000
1378,1,16500
1379,1,160000
1380,1,160000
1381,1,38461
1382,1,38461
1383,1,340
1384,1,38461
1385,1,38461
1386,1,132500
1387,1,258900
1388,1,258900
1389,1,258900
1390,1,258900
1391,1,258900
1392,1,258900
1393,1,258900
1394,1,258900
1395,1,258900
1396,1,258900
1397,1,258900
1398,1,258900
1399,1,258900
1400,1,258900
1401,1,110900
1402,1,110900
1403,1,110900
1404,1,110900
1405,1,110900
1406,1,110900
1407,1,110900
1408,1,110900
1409,1,110900
1410,1,110900
1411,1,110900
1412,1,165357
1413,1,5372
1414,1,2200
1415,1,4500
1416,1,4500
1417,1,37000
1418,1,30600
1419,1,16500
1420,1,1811541
1421,1,1811541
1422,1,1811541
1423,1,1811541
1424,1,1811541
1425,1,1811541
1426,1,1811541
1427,1,60000
1428,1,60000
1429,1,15107
1430,1,15107
1431,1,350000
1432,1,16225
1433,1,16225
1434,1,16225
1435,1,3310
1436,1,110900
1437,1,19200
1438,1,16225
1439,1,2590207
1440,1,1813169
1441,1,38
1442,1,2590207
1443,1,38
1444,1,1813169
1445,1,2590207
1446,1,38
1447,1,38
1448,1,1813169
1449,1,2590207
1450,1,2590207
1451,1,1813169
1452,1,38
1453,1,1813169
1454,1,2590207
1455,1,38
1456,1,68
1457,1,110000
1458,1,7400
1459,1,350000
1460,1,350000
1461,1,350000
1462,1,350000
1463,1,350000
1464,1,350000
1465,1,4500
1466,1,4500
1467,1,4500
1468,1,1350
1469,1,16225
1470,1,110000
1471,1,110000
1472,1,110000
1473,1,16000
1474,1,110000
1475,1,2200
1476,1,2200
1477,1,2200
1478,1,2200
1479,1,48000
1480,1,48000
1481,1,48000
1482,1,48000
1483,1,48000
1484,1,48000
1485,1,48000
1486,1,48000
1487,1,186
1488,1,2800
1489,1,4500
1490,1,17770
1491,1,4500
1492,1,5000
1493,1,5000
1494,1,5000
1495,1,93200
1496,1,50000
1497,1,50000
1498,1,50000
1499,1,50000
1500,1,50000
1501,1,50000
1502,1,50000
1503,1,32000
1504,1,32000
1505,1,50000
1506,1,50000
1507,1,50000
1508,1,50000
1509,1,70
1510,1,565
1511,1,350000
1512,1,350000
1513,1,350000
1514,1,350000
1515,1,350000
1516,1,350000
1517,1,350000
1518,1,350000
1519,1,350000
1520,1,350000
1521,1,350000
1522,1,7672
1523,1,7672
1524,1,7672
1525,1,350000
1526,1,350000
1527,1,350000
1528,1,110000
1529,1,110000
1530,1,160000
1531,1,110900
1532,1,110900
1533,1,47000
1534,1,47000
1535,1,47000
1536,1,47000
1537,1,47000
1538,1,47000
1539,1,47000
1540,1,47000
1541,1,47000
1542,1,47000
1543,1,47000
1544,1,7400
1545,1,336500
1546,1,336500
1547,1,336500
1548,1,63000
1549,1,3310
1550,1,22000
1551,1,18540
1552,1,7400
1553,1,27000
1554,1,258900
1555,1,200
1556,1,230
1557,1,7672
1558,1,3400
1559,1,7672
1560,1,7672
1561,1,7672
1562,1,110900
1563,1,110900
1564,1,105000
1565,1,2840000
1566,1,6400
1567,1,48000
1568,1,133010
1569,1,8600
1570,1,1000
1571,1,3310
1572,1,3310
1573,1,3310
1574,1,3310
1575,1,3310
1576,1,3310
1577,1,96010
1578,1,16225
1579,1,22000
1580,1,1763
1581,1,165357
1582,1,96010
1583,1,3310
1584,1,3310
1585,1,16225
1586,1,3310
1587,1,96010
1588,1,19200
1589,1,22000
1590,1,15000
1591,1,12000
1592,1,45700
1593,1,12000
1594,1,30600
1595,1,100
1596,1,54000
1597,1,25000
1598,1,84795
1599,1,31000
1600,1,5769
1601,1,3310
1602,1,96010
1603,1,22918
1604,1,165357
1605,1,180000
1606,1,277961
1607,1,5769
1608,1,5769
1609,1,4392
1610,1,281193
1611,1,155
1612,1,24700
1613,1,155
1614,1,281193
1615,1,281193
1616,1,155
1617,1,155
1618,1,281193
1619,1,96010
1620,1,96010
1621,1,96010
1622,1,340
1623,1,110000
1624,1,75000
1625,1,110000
1626,1,150
1628,1,22000
1629,1,350000
1630,1,1000
1631,1,80000
1632,1,180000
1633,1,110900
1634,1,110900
1635,1,1000
1636,1,1000
1637,1,1000
1638,1,350000
1639,1,110900
1640,1,3200
1641,1,3200
1642,1,180000
1643,1,180000
1644,1,3200
1645,1,180000
1646,1,8952
1647,1,8952
1648,1,60000
1649,1,25900
1650,1,959103
1654,1,115003
1655,1,1349
1656,1,50000
1657,1,438000
1658,1,50000
1659,1,438000
1660,1,258900
1661,1,110000
1662,1,5446
1663,1,5446
1664,1,1000
1665,1,662167
1666,1,258900
1667,1,258900
1668,1,2690
1669,1,6304875
1670,1,5200
1671,1,3000
1672,1,1800
1673,1,6304875
1674,1,155
1675,1,762
1676,1,1800
1677,1,762
1678,1,3000
1679,1,16225
1680,1,258900
1681,1,1683
1682,1,1683
1683,1,162
1684,1,1689674
1685,1,162
1686,1,162
1687,1,110000
1688,1,110000
1689,1,110000
1690,1,48000
1691,1,1000
1692,1,1811541
1693,1,139400
1694,1,16225
1695,1,144165
1696,1,144165
1697,1,22918
1698,1,97999
1699,1,12420
1700,1,12420
1701,1,12420
1702,1,12420
1703,1,4500
1704,1,133010
