"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","GEF.Project.Grant.CEO.endorse.stage","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"334",1817.9151611328,8197.458984375,901.0063663075,0.1657969952,254.4041353383,57.2770195007,0,0,41.5000821,85.5,60.65,0.125,12.4770833333,27.975,-6.95,12.5979166667,0,422.60357666,5.71693666701,7700000,1,1,0.651851553939362,0.651851553939362,1.53409161020889,0.651851553939362,-2.17123630566007,956,"PRC-GEF Partnership: Land Degradation in Dryland Ecosystems: Project I-Capacity Building to Combat Land Degradation"
"345",NA,NA,158.9428571429,8.0675458908,280.3684210526,214.8307952881,0,3.3039678195,13.0000126,122,NA,NA,NA,NA,NA,NA,0,1039.62841797,1.1016424461,3500000,1,0,NA,NA,NA,NA,-2.17123630566007,2127,"CBPF: Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS)"
"351",3105.3937988281,5342.0756835938,83.919527897,1.3591086864,157.5495867769,10.4696130753,0,0,34.0000511,9,47.275,1.925,12.0979166667,32.175,11.1,22.0708333333,0,816.379577637,0.238580382332,3500000,1,3,0.88226491634188,0.88226491634188,3.40033922287066,0.88226491634188,-2.17123630566007,2127,"CBPF: Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS)"
"354",1365.9333496094,3158.2197265625,390.7746252677,2.0584108829,55.7233606557,43.7638168335,0,0.0068190821,34.5000527,8.75,69.25,1.65,16.6291666667,30.15,9.1,19.8708333333,8.0777096115,1133.54699707,0.0898016764212,3500000,1,3,0.889043888985026,0.889043888985026,3.37441158661463,0.889043888985026,-2.17123630566007,2127,"CBPF: Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS)"
"355",3365.7219238281,7617.630859375,1168.7528205128,5.2286267281,200.726744186,407.6556396484,0,7.7085522124,37.6667341,112.25,119.8,0.3,36.0166666667,20.2,-9.2,6.7666666667,12.440545809,1484.60803223,6.75205563539,4545000,1,3,0.835325073669216,0.835325073669216,3.59141619779509,0.835325073669216,2.87617998212688,2369,"PRC-GEF Partnership: An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems - under the PRC-GEF Partnership on Land Degradation in Dryland Ecosystem Program"
"356",4958.548828125,11815.611328125,1587.0890834192,2.1684122086,523.4903100775,47.876411438,0,0,37.2500625,106,82.15,0,25.1166666667,23.45,-7.25,9.5083333333,0,1240.87072754,6.0666981518,4545000,1,2,0.901768928567866,0.901768928567866,2.21786306518265,0.901768928567866,2.87617998212688,2369,"PRC-GEF Partnership: An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems - under the PRC-GEF Partnership on Land Degradation in Dryland Ecosystem Program"
"357",1876.8448486328,2311.4345703125,1725.3913934426,1.1583228111,197.265503876,136.8448028564,0,0.0125810696,37.7500645,102.75,54,1.7,17.7166666667,20.9,-5.6,8.4416666667,4.7533980583,1588.00341797,7.25378300282,4545000,1,2,0.957476744112492,0.957476744112492,2.08882357957827,0.957476744112492,2.87617998212688,2369,"PRC-GEF Partnership: An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems - under the PRC-GEF Partnership on Land Degradation in Dryland Ecosystem Program"
"359",2347.5747070313,3629.1430664063,751.4443829552,4.7910752296,118.1236897275,67.855682373,0,0.000152766,31.3555735,35.78007,103,0,31.2916666667,26.7,6.9,17.6,8.6186440678,1360.48522949,0.107129999121,6445000,1,3,0.430247359084705,0.430247359084705,6.97273309563622,0.430247359084705,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"361",4949.7802734375,3848.2666015625,1163.979966611,7.1532869339,215.1747368421,28.0656814575,0,0.0013634572,30.681512,35.6118899,71.3,0,23.5583333333,25.7,5.4,16.5,4.5881104034,1354.68322754,0.166224018528,6445000,1,3,0.331876350676441,0.331876350676441,9.03951123328101,0.331876350676441,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"363",2700.4914550781,4286.9775390625,902.1813643927,1.8182804585,156.5687103594,42.5550613403,0,0,31.161253,35.82527,103,0,31.2916666667,26.7,6.9,17.6,6.9894957983,1216.02514648,0.300644220006,6445000,1,3,0.685866100771651,0.685866100771651,4.37403160270609,0.685866100771651,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"365",2849.58203125,3214.2980957031,942.9224376731,4.7566518784,136.7205882353,73.8566207886,0,7.56102376262e-05,31.0081726,35.75605,87.15,0,27.425,26.2,6.15,17.05,7.8757894737,1275.40148926,0.450976409286,6445000,1,3,0.496956983072564,0.496956983072564,6.03673980281297,0.496956983072564,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"366",2995.8127441406,2627.5805664063,1268.4180100056,5.0093002319,238.3010526316,23.968416214,0,0,30.4980614,35.5560938,43.725,0,14.5520833333,29.225,8.95,20.19375,5.0295983087,1310.61621094,0.213683603512,6445000,1,3,0.59526835393422,0.59526835393422,5.03974380659167,0.59526835393422,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"367",3283.6921386719,4911.9931640625,1097.6648044693,6.8953428268,321.6404255319,43.2434921265,0,0.0001141992,30.3298608,35.44144,22.65,0,8.1416666667,28.85,8.3,19.9083333333,6.531779661,1306.09899902,0.351164637337,6445000,1,3,0.357936618354494,0.357936618354494,8.3813721373119,0.357936618354494,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"368",3158.6418457031,2274.4812011719,988.7081949059,2.6266317368,98.6991525424,48.9273757935,0,0.0007737114,31.166713,35.75,103,0,31.2916666667,26.7,6.9,17.6,16.0935550936,1401.15808105,0.298340021652,6445000,1,3,0.705424500948733,0.705424500948733,4.2527584397271,0.705424500948733,2.87617998212688,2631,"MENARID: Mainstreaming Sustainable Land and Water Management Practices"
"369",1982.9792480469,3083.7341308594,1145.0102315563,0.652628243,155.4227642276,18.8731994629,1,0,33.8495606,-2.56247,64.55,0,17.3916666667,22.85,6.2,14.575,0,1193.07055664,3.61791367048,5998422,1,0,0.659344860235107,0.659344860235107,0,0.659344860235107,-2.17123630566007,2632,"MENARID: Participatory Control of Desertification and Poverty Reduction in the Arid and Semi Arid High Plateau Ecosystems of Eastern Morocco"
"377",1687.2456054688,3349.4680175781,1071.2721893491,0.2247806937,135.4093686354,15.75756073,1,0,33.8938207,-2.3138,62.05,0,18.9625,22.9,6.85,14.9416666667,0,1188.42102051,3.62461381116,5998422,1,0,0.68135144205837,0.68135144205837,0,0.68135144205837,-2.17123630566007,2632,"MENARID: Participatory Control of Desertification and Poverty Reduction in the Arid and Semi Arid High Plateau Ecosystems of Eastern Morocco"
"381",3190.3547363281,2876.3386230469,629.4379256155,4.5788741112,181.294,58.1802177429,0,7.0658559791,36.1063281,9.61547,67.35,7.45,28.3916666667,28.2,8.8,18.6333333333,1.6640159046,1759.7364502,0.548566103096,5e+06,1,3,0.550439155281125,0.550439155281125,5.45019367030278,0.550439155281125,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"382",2083.9553222656,5378.4077148438,787.0825013137,2.992020607,211.061752988,54.8338813782,0,0.0300868338,35.6480565,9.21237,84,12.5,35.9916666667,25,4.9,14.9833333333,1.828,1107.16772461,0.690669317137,5e+06,1,3,0.726941315881473,0.726941315881473,4.12688058094795,0.726941315881473,-2.17123630566007,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"383",1938.3059082031,3779.8957519531,625.3011035208,3.0698206425,146.6792828685,53.9394454956,0,4.2832311305,35.9826977,9.39902,93.85,12.7,38.1333333333,26.9,6.85,16.9583333333,2.9819639279,1676.59802246,0.640681559299,5e+06,1,3,0.573541846494705,0.573541846494705,5.23065582456623,0.573541846494705,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"384",2162.2868652344,7945.9243164063,475.2643979058,1.8245577812,205.4930966469,53.9569206238,0,0.4221805062,36.1830484,9.15529,103.7,12.9,40.275,28.8,8.8,18.9333333333,2.1267605634,1377.16674805,0.902546533277,5e+06,1,3,0.675300634463799,0.675300634463799,4.44246583950281,0.675300634463799,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"385",2823.2216796875,3693.896484375,614.5749475891,5.0767168999,222.6812749004,68.709487915,0,8.3322443114,35.9921425,9.61572749,67.35,7.45,28.3916666667,28.2,8.8,18.6333333333,2.1312127237,1678.74768066,0.496084132346,5e+06,1,3,0.56894424529127,0.56894424529127,5.27292441188882,0.56894424529127,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
