"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"4",2568.24560547,2927.17529297,867.239855499,5.2010874748,229.042861853,5.6616401672,0,0.2770504454,38.47857,57.03345,59.275,2.575,24.8770833333,28.05,-2.775,14.7333333333,1.3071124222,1421.82897949,5.5989832192,1,3,0.0351677311202214,0.0351677311202214,85.3054747758522,0.0351677311202214,3,1276,"Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas)"
"30",2638.21484375,19564.1621094,274.654522414,6.2203874588,404.004347826,178.406997681,0,49.6868370602,10.6234,125.0552,NA,NA,NA,NA,NA,NA,0.2214930271,1733.12402344,1.66080876539,1,0,NA,NA,NA,NA,-2.9934552952243,NA,""
"31",2786.30126953,100819.148438,216.148655178,5.2929334641,347.963476071,208.239852905,0,46.7612093165,10.73333,125.01667,NA,NA,NA,NA,NA,NA,0.5161554192,1801.2857666,1.77700936095,1,0,NA,NA,NA,NA,-2.9934552952243,NA,""
"33",2954.6965332,123657.171875,235.422279401,5.5880789757,371.852071006,193.754440308,0,50.5792890121,10.706,125.0057,NA,NA,NA,NA,NA,NA,0.4752556237,1827.76025391,1.75633415058,1,0,NA,NA,NA,NA,-2.9934552952243,NA,""
"34",1917.9041748,18237.1621094,754.646873026,8.5292472839,625.443438914,82.9177246094,0,66.4827328162,8.18472,125.30917,357.366666667,74.8,196.158333333,25.2,23.2333333333,24.2611111111,0.4592592593,2535.88256836,1.00189372636,1,0,0.0535884747102032,0.0535884747102032,0,0.0535884747102032,-2.9934552952243,1308,"Strategic Planning and Design for the Environmental Protection and Sustainable Development of Mexico"
"35",2652.20947266,19845.4238281,101.217106569,2.2105484009,200.405718702,365.45300293,1,29.368341775,11.05,125.01667,388.75,98.3,216.5875,27.85,24.95,26.3666666667,2.2254382389,1853.07788086,2.07183382056,1,0,0.283412818282075,0.283412818282075,0,0.283412818282075,-2.9934552952243,1309,"Elaboration of the Second National Communication on Biodiversity of Botswana for the COP in 2001"
"36",1884.29272461,16382.1396484,748.93374763,8.0179405212,535.704480066,91.5727462769,0,59.9505635004,8.15889,125.2825,357.366666667,74.8,196.158333333,25.2,23.2333333333,24.2611111111,0.582955949,2558.00561523,1.03643077699,1,0,0.0683337926858076,0.0683337926858076,0,0.0683337926858076,-2.9934552952243,NA,""
"37",2573.65820312,9370.07617188,898.185809033,7.0429940224,370.674485597,100.448158264,1,48.815031097,8.19556,125.14472,382.666666667,53.7,181.411111111,23.9,21.8,22.9,0.9029605263,2335.17358398,1.07010968655,1,0,0.134918720779719,0.134918720779719,0,0.134918720779719,-2.9934552952243,NA,""
"38",2422.29736328,26260.5214844,253.695472249,5.8794679642,403.307326356,164.594238281,0,30.983324039,10.6405,125.1388,NA,NA,NA,NA,NA,NA,0.1717791411,1304.21704102,1.64531765108,1,0,NA,NA,NA,NA,-2.9934552952243,1312,"Management and Conservation of Wetland Biodiversity in the Esteros del Ibera"
"40",2568.24560547,2927.17529297,867.239855499,5.2010874748,229.042861853,5.6616401672,0,0.2770504454,38.47857,57.03345,59.275,2.575,24.8770833333,28.05,-2.775,14.7333333333,1.3071124222,1421.82897949,5.5989832192,1,3,0.0351677311202214,0.0351677311202214,85.3054747758522,0.0351677311202214,3,1314,"Assessment of Capacity Building Needs for Biodiversity (add on)"
"43",2568.24560547,2927.17529297,867.239855499,5.2010874748,229.042861853,5.6616401672,0,0.2770504454,38.47857,57.03345,59.275,2.575,24.8770833333,28.05,-2.775,14.7333333333,1.3071124222,1421.82897949,5.5989832192,1,3,0.0351677311202214,0.0351677311202214,85.3054747758522,0.0351677311202214,3,NA,""
"114",2611.99414062,56371.0351562,280.58877551,6.5352993012,399.189142857,179.061340332,0,54.8268649937,10.56889,125.0525,NA,NA,NA,NA,NA,NA,0.3683565004,1860.59619141,1.61206551898,1,0,NA,NA,NA,NA,-2.9934552952243,NA,""
"115",2559.32446289,45492,279.494834397,6.4765520096,398.701430274,178.658843994,0,52.4226007878,10.573,125.06356,NA,NA,NA,NA,NA,NA,0.3595413595,1772.27685547,1.611296795,1,0,NA,NA,NA,NA,-2.9934552952243,NA,""
"116",2790.58642578,94867.375,216.857880303,5.3060836792,349.002526848,208.239852905,0,46.7214330703,10.73112,125.01791,NA,NA,NA,NA,NA,NA,0.4965263588,1788.125,1.77448961118,1,0,NA,NA,NA,NA,-2.9934552952243,1434,"Assessment of Capacity Building Needs and Country/Authority Specific Priorities in Biodiversity (Additional Financing)"
"120",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,1439,"Efficient Lighting Initiative (ELI)"
"121",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"122",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"123",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"124",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"125",1922324.125,994009.625,150.000579374,5.6806907654,2825.96046512,106.529708862,0,0,6.924,158.162,NA,NA,NA,NA,NA,NA,0.7814184985,974.345031738,0.0800401636885,1,3,NA,NA,NA,NA,-2.9934552952243,1450,"Development of National Implementation Plan for Vietnam in the Process of Accession, Implementation and Enforcement of the Newly-signed Stockholm Convention on POPs"
"126",2009716.5,573874.5625,5.3131313131,0.0895978361,3672.74074074,1012.75,0,0,7.113,171.236,NA,NA,NA,NA,NA,NA,1.2072667217,588.745544434,4.33941165014,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
"127",2080173.75,7950.95703125,58.009279476,2.1962704659,1664.54347826,109.465354919,0,15.756247414,7.503,134.621,NA,NA,NA,NA,NA,NA,1.0910964551,1091.88183594,0.552675311553,1,3,NA,NA,NA,NA,-2.9934552952243,NA,""
