gef_id,location_count,iba_area
91,6,152674
135,1,15107
178,2,593
502,1,4261
793,17,3128200
839,1,15107
847,3,3000
920,1,0
933,3,332700
947,11,387000
1022,5,1750000
1035,1,590
1047,2,6372
1080,4,452933
1082,1,8952
1163,2,125336
1178,4,1028460
1244,1,1071750
1310,4,113604
1325,12,19812752
1330,2,147000
1343,11,84392
1362,4,16550
1455,23,6970829
1537,3,315744
1588,4,536000
1590,2,547600
1621,37,11179588
1769,2,260000
1809,1,438000
1814,1,0
1855,7,2450000
1872,11,963410
1952,1,350
2045,1,0
2101,12,298802
2132,5,75512
2166,10,354800
2183,6,114750
2275,1,4500
2407,1,4261
2422,2,215600
2485,11,409649
2495,1,4261
2503,1,4261
2520,5,3727000
2600,1,24700
2669,2,274378
2899,1,4261
2900,1,0
3054,3,15000
3129,1,96010
3164,3,549700
3171,1,217135
3357,1,4261
3707,1,38
3830,1,2368
3887,8,129800
3911,1,0
3980,4,106225
3981,4,4000
4029,7,2201656
4080,13,1352000
4256,1,21100
4257,1,0
4259,1,0
4469,6,240040
4581,3,27481
4582,1,0
4605,8,30851
4660,4,256645
4677,2,642414
4766,2,27918
4767,1,230
4799,14,510000
4834,5,38360
4856,1,0
5017,8,263779
5041,9,549658
5131,5,4684762
5225,11,2327241
5281,6,97450
5622,7,2614715
6970,2,4403376
6982,5,4684762
